Aromanian	Aromanian	probability
ˈu_n	ˈɔ_n	1.0
ˈo_j	ˈoː_s	1.0
ˈi_r	ˈiː_r	1.0
ˈe_r	ˈɛ_ɫ	1.0
ˈa_v	ˈau̯	1.0
ˈa_r	ˈaː_r	1.0
ʧ_ˈu	ˈyː	1.0
ʧ	k	1.0
ʦ_i	k_ɛ	1.0
ʃ_t	s_k	1.0
ʃ	s	1.0
ɨ	-	1.0
ŋ	ŋ	1.0
ç	f	1.0
z	ɛ_k	1.0
w	w	1.0
u_r	ɔ_r	1.0
t_i	t_ɛ̃ː	1.0
s_#>	sː_ʊ̃ː_#>	1.0
s	s	1.0
r_ə	r_ãː	1.0
r_u	r_ʊ̃ː	1.0
r_t	r_t	1.0
r_k	r_k	1.0
r_b	r_b	1.0
r_#>	ɫ_ʊ̃ː_#>	1.0
p_t	k_t	1.0
p_#>	p_ʊ̃ː_#>	1.0
p	p	1.0
n_ˈu	n	1.0
n_#>	n_ʊ̃ː_#>	1.0
k_r	k_r	1.0
k_e̯ˈa	p_ˈɛ	1.0
k_#>	k_ʊ̃ː_#>	1.0
i_r	ɛ_r	1.0
i_m	ɪ_m	1.0
e̯ˈa_m	mː	1.0
e_#>	#>	1.0
d	d	1.0
<#_ˈu	<#_ˈʊ	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʦ	<#_kʷ	1.0
<#_v	<#_w	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_ɫ	1.0
<#_k	<#_k	1.0
<#_a_r	<#_r	1.0
t	t	0.906
r	r	0.886
ˈo	ˈɔ	0.846
ɡ	ɡ	0.833
b	b	0.833
n	n	0.795
f	f	0.786
m	m	0.737
l	ɫ	0.714
j	w	0.714
<#	<#_h	0.714
ˈə	ˈiː	0.667
ʦ	k	0.667
ɲ	m	0.667
k	k	0.667
#>	ʊ̃ː_#>	0.667
ə	ãː	0.661
<#_a	<#_a	0.625
ˈa	ˈa	0.618
u	ʊ̃ː	0.6
e̯ˈa	ˈeː	0.5
ˈi	ˈiː	0.485
ˈu	ˈʊ	0.48
ˈe	ˈɛ	0.471
ʣ	ɡ	0.467
i	ɛ	0.451
ˈɨ	ˈaː	0.429
ʎ	ʊ_ɫ	0.412
ˈu	ˈuː	0.4
ʣ	d	0.4
e̯ˈa	ˈɪ	0.4
o̯ˈa	ˈɔ	0.375
<#_a	<#	0.375
ˈɨ	ˈa	0.357
ʎ	ɫ	0.353
ˈə	ˈe	0.333
ʦ	t	0.333
ɲ	n	0.333
a	ˈaː	0.333
a	a	0.333
a	-	0.333
o̯ˈa	ˈoː	0.312
ˈe	ˈɪ	0.294
ʤ	ɡ	0.286
ʤ	j	0.286
ʤ	d_i	0.286
l	lʲː	0.286
<#	<#_k	0.286
i	ɛ̃ː	0.253
ʎ	lʲ	0.235
ˈɨ	-	0.214
ˈi	ˈɛ	0.212
#>	ɛ̃ː_#>	0.212
ˈa	ˈaː	0.206
o̯ˈa	-	0.188
ˈe	-	0.176
ˈa	ˈɛ	0.176
ɡ	-	0.167
k	kː	0.167
b	s_w	0.167
m	-	0.158
ˈo	ˈu	0.154
ʤ	ɡʷ	0.143
j	s	0.143
j	-	0.143
f	-	0.143
ʣ	d_i	0.133
u	ʊ	0.133
o̯ˈa	ˈʊ	0.125
ˈi	ˈeː	0.121
#>	ãː_#>	0.121
ˈu	ˈoː	0.12
r	ɫ	0.114
i	ɪ	0.11
ə	ɛ̃ː	0.107
m	n	0.105
n	ŋ	0.103
u	ɔ	0.1
u	oː	0.1
e̯ˈa	ˈɛ	0.1
ə	a	0.089
k	p	0.083
k	k_a	0.083
f	fː	0.071
u	uː	0.067
t	k_t	0.062
ˈi	ˈɪ	0.061
ˈi	ɪ	0.061
ˈi	-	0.061
ˈe	ˈae̯	0.059
n	nː	0.051
n	-	0.051
