Sassarese	Sassarese	probability
β_u	v_ʊ	1.0
ˈɛ_n	ˈɛ_n	1.0
ˈɔ_ɬ	ˈɔ	1.0
ˈu_m	nː	1.0
ˈu	ˈu	1.0
ˈo_n	ˈu_n	1.0
ˈa_ɡ	ˈa_k	1.0
ʦ	ɕ	1.0
ʣ	ʦː	1.0
ʒ	-	1.0
ʎː	ɟː	1.0
ʃː	ʃː	1.0
ɮ	-	1.0
ɡː	k	1.0
ɡ_j	ɟ	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
z	z	1.0
x	s_k	1.0
w	w	1.0
v	v	1.0
t_r	ɽ	1.0
t_i	t_ɪ	1.0
t	t	1.0
s	s	1.0
r_ˈa	ɾ_ˈa	1.0
r_u	l_ʊ	1.0
r_a	l_a	1.0
pː	p	1.0
p_j	c	1.0
p_a	p_a	1.0
p	p	1.0
o	o	1.0
nː	nː	1.0
n	n	1.0
m_u	m_u	1.0
lː	lː	1.0
l	l	1.0
kː	kː	1.0
k	k	1.0
j_u	ʊ	1.0
j_#>	j_#>	1.0
i_ɬ	ʃ	1.0
fː	fː	1.0
f_j	ç	1.0
f	f	1.0
e	i	1.0
bː	p	1.0
a_dː	a_t	1.0
a	a	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_r	<#_ʐ	1.0
<#_a	<#_a	1.0
ˈa	ˈa	0.963
tː	tː	0.923
m	m	0.889
u	ʊ	0.824
ʧː	cː	0.8
β	v	0.778
a_r	ɪ_ɾ	0.667
ˈɔ	ˈɔ	0.629
ʤ	j	0.625
ɲː	ɲː	0.625
ˈe	ˈɛ	0.613
b	b	0.611
i	ɪ	0.6
ˈi	ˈi	0.595
r	ɾ	0.562
ˈo	ˈu	0.5
ʤː	j	0.5
ʤː	-	0.5
ɬ	s	0.5
ɬ	-	0.5
xː	s_k	0.5
xː	r_k	0.5
rː	ʐː	0.5
rː	ɾ_n	0.5
mː	mː	0.5
mː	m	0.5
<#_i	<#_ʃ	0.5
<#_i	<#	0.5
dː	t	0.476
ˈɛ	ˈɛ	0.458
ˈɛ	ˈi	0.458
d	ɾ	0.429
d	d	0.429
#>	ɪ_#>	0.419
dː	ɖː	0.381
ˈo	ˈɔ	0.375
ʤ	ʤ	0.375
ʦː	ʦː	0.333
ʦː	w_s	0.333
ʦː	-	0.333
sː	sː	0.333
sː	s	0.333
sː	-	0.333
b	v	0.333
a_r	ɾ	0.333
j	ɾ	0.308
j	-	0.308
ˈɔ	ˈu	0.286
ˈe	ˈi	0.258
#>	r_ɪ_#>	0.258
ɲː	n_ɕ	0.25
j	j	0.231
β	-	0.222
r	r	0.219
ʧː	ʧː	0.2
#>	ɾ_ɪ_#>	0.194
i	i	0.186
r	l	0.156
j	ˈi	0.154
dː	-	0.143
d	t	0.143
ˈi	ɪ_ɾ	0.135
ˈi	i	0.135
ˈo	ˈo	0.125
ɲː	ɲ	0.125
m	-	0.111
ˈɔ	ˈo	0.086
i	-	0.086
ˈɛ	ˈe	0.083
ˈi	ɪ_r	0.081
tː	ʈː	0.077
i	ˈi	0.071
ˈe	ˈe	0.065
ˈe	ɾ	0.065
u	u	0.065
#>	ʊ_#>	0.065
#>	a_#>	0.065
r	ɽ	0.062
i	a	0.057
u	ɪ	0.056
u	-	0.056
b	bː	0.056
ˈi	ɪ	0.054
