Štokavian	Štokavian	probability
̌_r	rʲ	1.0
̌	-	1.0
̂_r	rʲ	1.0
̂_p	p	1.0
̂_m	mʲ	1.0
̂	-	1.0
ʨ	ʦ	1.0
ʧ	ʦ	1.0
ʎ	l	1.0
ʋ_j	vʲ	1.0
ʋ_a	v_a	1.0
ʋ_#>	v_ɨ_#>	1.0
ʃ	ʂ	1.0
ɲ	ɲ	1.0
ɡ̊	ɡʲ	1.0
x	x	1.0
uː_̌	u	1.0
u_̂	u	1.0
t_i	ɕ	1.0
s_a	s	1.0
s_#>	s_#>	1.0
s	s	1.0
r̩ː	a_r	1.0
r̩	r	1.0
r_iː	ɕ_i	1.0
o_̌	ɛ	1.0
o_̂	ɛ	1.0
n_j	nʲ	1.0
n_a	n_a	1.0
l_a	w_a	1.0
k	k	1.0
j_eː	ɪ	1.0
j_e	ɪ	1.0
j	-	1.0
iː_̌	ɨ	1.0
eː_̂	ɔ	1.0
e_̂	a	1.0
d̥	d̥	1.0
d_#>	d̥_#>	1.0
b_#>	b̥_#>	1.0
b	b	1.0
aː	ɔ	1.0
a_̂	ɔ	1.0
a_t	ɕ	1.0
a_r	r_ɨ	1.0
a_n	n_ɨ	1.0
<#_t	<#_ɕ	1.0
<#_r	<#_r	1.0
<#_p	<#	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
#>	ɨ_#>	1.0
ɡ	ɡ	0.867
ʦ	ʦ	0.833
z	z	0.824
o	ɔ	0.818
o_#>	ɔ_#>	0.812
ʒ	ʐ	0.8
uː	u	0.8
oː	ɔ	0.8
a	a	0.763
p	pʲ	0.714
m	m	0.684
iː	ɨ	0.667
t	t	0.652
r	r	0.625
d	d	0.625
<#	<#_v	0.6
i_̂	ɨ	0.571
aː_̂	ɔ	0.571
n	ɲ	0.556
ʋ	v	0.538
ɡ_#>	ɡ̊_#>	0.5
ɡ_#>	#>	0.5
u	v	0.5
u	u	0.5
l	w	0.5
i	-	0.5
ʋ	vʲ	0.462
n	n	0.444
eː	ɪ	0.444
e_̌	ɛ	0.444
i_̂	i	0.429
aː_̂	a	0.429
<#	<#_s	0.4
l	l	0.375
d	ʑ	0.375
iː	i	0.333
e_̌	e	0.333
m	mʲ	0.316
i	i	0.3
p	p	0.286
e	e	0.286
eː	e	0.278
r	rʲ	0.25
e	ɛ	0.238
e_̌	ɔ	0.222
t	ɕ	0.217
ʒ	ʒ	0.2
uː	w	0.2
oː	ɛ	0.2
i	ɨ	0.2
e	ɪ	0.19
e	ɔ	0.19
o_#>	#>	0.188
o	w	0.182
ʦ	t͡ʂ	0.167
eː	-	0.167
ɡ	-	0.133
t	ʨ	0.13
r	ʂ	0.125
l	d_w	0.125
z	-	0.118
eː	ɔ	0.111
a	ɛ	0.105
e	-	0.095
a	ɨ	0.079
z	z̥	0.059
a	ɔ	0.053
