Limburgish	Limburgish	probability
β_ˈi	v_ˈæɪ̯	1.0
ˈʏː	ˈʏ	1.0
ˈʊ	ˈʊə̯	1.0
ˈɪː	ˈɪ	1.0
ˈɛːi̯	ˈɛːɪ̯	1.0
ˈœi̯	-	1.0
ˈæ	-	1.0
ˈyː	-	1.0
ˈu	ˈoː	1.0
ˈeː_ʀ	ɐ	1.0
ʃ	s_k	1.0
ʀ_ə	ɐ	1.0
ʀ_s	s_t	1.0
ɪ	ə	1.0
ɦ	h	1.0
ɣ̊	ɣ̊	1.0
ɣ	ɡ	1.0
ɡ	ɡ	1.0
ə_ʀ	ɐ	1.0
ə_l	l	1.0
ŋ_k	ŋ	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
w	l	1.0
v̥	v̥	1.0
v_ə	v	1.0
t	t	1.0
p	p	1.0
n_ə	n_n	1.0
n_d	n	1.0
n	n	1.0
m_ə	m_n	1.0
m	m	1.0
l_ˈeː	l	1.0
k_ə	k_n	1.0
j_#>	#>	1.0
j	d	1.0
i	ɑɪ̯	1.0
d̥_#>	#>	1.0
d̥	d̥	1.0
d	d	1.0
b	b	1.0
<#_ʀ	<#_r	1.0
<#_n	<#_n	1.0
<#_j	<#_j	1.0
<#	<#_ˈoːo̯	1.0
l	l	0.932
v	f	0.926
ˈiː	ˈiː	0.9
k	k	0.828
β	v	0.821
s	s	0.81
z	z	0.8
x	χ_t	0.778
ˈuː	ˈuː	0.727
ˈɑː	ˈɑ	0.667
ˈɛ	ˈɪ	0.6
ˈɔu̯	-	0.6
ˈæː	ˈɑː	0.6
v̥_#>	f_#>	0.6
j_ə	d_n	0.6
ˈɛː	ˈæɪ̯	0.588
ˈɒː	ˈɒː	0.583
ˈɪ	ˈɪ	0.571
ə	n	0.551
ˈɔː	ˈoː	0.5
ˈɑ	ˈɑ	0.5
ˈœ	ˈʏə̯	0.5
ˈœ	-	0.5
ˈoː	ˈɑʊ̯	0.5
ʀ	ɐ	0.5
ˈɔ	ˈɔ	0.455
#>	k_#>	0.455
ˈɪ	-	0.429
ˈɛː	-	0.412
ˈɛ	ˈɛ	0.4
ˈɔu̯	ˈɑːʊ̯	0.4
ˈøː	-	0.4
ˈæː	-	0.4
v̥_#>	#>	0.4
j_ə	d	0.4
ʀ	r	0.375
ˈeː	ˈeː	0.36
ˈaː	ˈɑ	0.35
ˈɑː	ˈɑːɑ̯	0.333
ˈoː	ˈœ	0.333
ˈøː	ˈœy̯	0.3
ˈi	ˈɪ	0.3
ˈi	-	0.3
ˈʊː	ˈʊ	0.273
ˈʊː	ˈɑʊ̯	0.273
ˈɔ	-	0.273
ˈuː	-	0.273
#>	ˈɛːɪ̯_#>	0.273
#>	d̥_#>	0.273
ˈɔː	ˈɔ	0.25
ˈɔː	-	0.25
ˈɒː	ˈɒːɒ̯	0.25
ˈɑ	ˈɑːɑ̯	0.25
ˈɑ	ˈɑː	0.25
ˈaː	ˈɒː	0.25
ˈaː	-	0.25
ˈeː	ˈæɪ̯	0.24
ˈʊː	ˈoː	0.227
x	-	0.222
ˈøː	ˈøː	0.2
ˈi	ˈɛːɪ̯	0.2
ˈi	ˈæːɪ̯	0.2
z	s	0.2
ˈɔ	ˈʊ	0.182
β	w	0.179
ˈɒː	ˈɔː	0.167
ˈoː	ʊ	0.167
ə	-	0.163
ˈeː	ˈɪ	0.16
ˈʊː	-	0.136
ˈeː	ˈeːe̯	0.12
ˈeː	-	0.12
k	ɣ̊	0.103
ə	ɐ	0.102
ˈøː	ˈøy̯	0.1
ˈiː	ˈiːi̯	0.1
ˈaː	ˈɑ_l	0.1
s	s_t	0.095
s	-	0.095
ˈʊː	ˈɒː	0.091
ˈɔ	ˈœːy̯	0.091
v	v	0.074
k	k_n	0.069
ə	ɐ_n	0.061
ə	m	0.061
ə	l	0.061
