Eastern Lombard	Portuguese	probability
u	-	1.0
w	w	1.0
ø	u	1.0
ŋ	-	1.0
f	v_ɨ	0.141
j	ɾ	0.401
l	l	0.51
o	u	0.901
r	ɾ_u	0.161
s	s_u	0.051
z	z	0.051
ʤ	ʒ	0.21
ˈi	ˈe	0.151
ˈo	ˈɔ	0.31
ˈɔ	ˈo	0.801
d	-	0.352
e	u	0.072
j	-	0.222
l	-	0.092
l	l_u	0.162
s	s	0.462
t	ð_u	0.072
ˈa	ˈɐ	0.252
ˈi	ˈi	0.572
ˈo	ˈõ	0.052
ˈø	ˈo	0.32
a	-	0.053
i	i	0.403
j	u	0.093
r	ɾ	0.613
ʧ	u_ʃ	0.203
ˈe	ˈẽ	0.13
ˈi	-	0.053
ˈu	ˈo	0.53
ˈø	ˈɔ	0.153
ˈɛ	ˈɐ	0.073
e	ɐ	0.154
e	ɨ	0.214
p	p	0.934
s	ʃ	0.244
ʋ	β	0.394
ˈy	ˈu	0.954
ˈø	u	0.074
ˈɔ	ˈɔ	0.144
b	v	0.15
b	b	0.85
d	d	0.395
e	j	0.205
e	-	0.275
n	-	0.495
o	-	0.055
r	ʁ	0.095
ɡ	ɣ	0.605
ʧ	ʃ	0.105
ʧ	j_t	0.225
ˈo	ˈo_w	0.085
ˈø	-	0.055
ˈɔ	ˈu	0.055
ˈɛ	ˈĩ	0.105
a	ɐ	0.816
d	ð	0.246
j	j	0.166
t	ð	0.186
t	t	0.396
ɲ	ɲ	0.256
ʋ	v	0.606
ˈi	ˈi_ɣ	0.056
ˈo	ˈu	0.086
ˈɛ	ˈɐ_j	0.126
f	-	0.087
f	f	0.747
i	ɨ	0.597
m	m	0.947
p	-	0.057
r	-	0.077
s	i_ʃ	0.117
t	t_ɨ	0.107
t	t_u	0.17
ɡ	ɡ	0.37
ɲ	ɲ_ɐ	0.147
ʧ	-	0.467
ˈa	ˈa_ɾ	0.187
ˈa	ˈa	0.367
ˈe	ˈi	0.167
ˈe	ˈe	0.387
ˈo	ˈo	0.467
ˈu	ˈu	0.067
ˈu	ˈõ	0.097
ˈu	ˈɐ̃_w̃	0.137
k	ɣ_u	0.058
k	k	0.898
l	ɫ	0.208
ɲ	ɲ_u	0.598
ˈe	ˈɛ	0.258
ˈu	ˈɔ	0.168
ˈø	ˈu	0.398
ˈɛ	ˈe	0.288
ˈɛ	ˈɛ	0.388
e	ɾ_ɨ	0.079
j	ˈi_ʎ	0.069
n	n	0.419
s	-	0.09
z	ʒ	0.869
ʤ	-	0.79
ˈa	ˈɐ̃_w̃	0.109
ˈi	ˈe_ɾ	0.129
