Upper Sorbian	Belarusian	probability
<#_d	<#_d	1.0
<#_k	<#_k	1.0
<#_l	<#_lʲ	1.0
<#_m	<#_m	1.0
<#_mʲ	<#_mʲ	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_pʲ	<#_pʲ	1.0
<#_t	<#_t	1.0
<#_x	<#_x	1.0
<#_z	<#_zʲ	1.0
<#_ɥ	<#_vʲ	1.0
<#_ɦ	<#_ɣ	1.0
<#_ʀ	<#_r	1.0
<#_ʒ	<#_ʐ	1.0
<#_ʤ	<#_ʣʲ	1.0
b	b	1.0
bʲ	bʲ	1.0
d_w	ɫ	1.0
e	ˈe	1.0
i_#>	i_#>	1.0
j	-	1.0
k	k	1.0
k_#>	k_#>	1.0
kʲ	kʲ	1.0
l_#>	lʲ_#>	1.0
m_#>	m_#>	1.0
n	n	1.0
p_#>	p_#>	1.0
s_#>	s_#>	1.0
t_#>	t_#>	1.0
w	ɫ	1.0
w_#>	ɫ_#>	1.0
w_ˈɔ	ʌ_ɫ_a	1.0
x	a	1.0
x_#>	x_#>	1.0
z	z	1.0
ɔ_#>	a_#>	1.0
ɥ	vʲ	1.0
ɦ	ɣ	1.0
ɪ	ˈɨ	1.0
ɪ_#>	ɨ_#>	1.0
ɲ	nʲ	1.0
ɲ_#>	nʲ_#>	1.0
ʀʲ	r	1.0
ʤ	ʣʲ	1.0
ʦ	ʦ	1.0
ʦ_#>	ʧ	1.0
ʧ	ʧ	1.0
ʧ_#>	ʦʲ_#>	1.0
ˈa_z	æ_z	1.0
ˈɔ_w	ˈo_w	1.0
ˈɔ_ʀʲ	ˈo_r	1.0
ˈɪ	ˈɨ	1.0
β	v	1.0
<#_s	<#_s	0.571
t	ʦʲ	0.182
ˈa	a	0.222
ˈa	ˈæ	0.222
ˈo	a	0.182
ˈɛ	a	0.182
ˈɛ	ˈo	0.182
<#_β	<#	0.333
a_#>	a	0.333
ʀ	e_r	0.143
ʀ	a_r	0.143
ʃ	-	0.333
ˈi	ˈɨ	0.333
ˈu	u	0.333
ˈɛ	ˈe	0.273
<#_ʧ	<#_ʦʲ	0.714
d	d	0.714
l	lʲ	0.714
ɔ	ˈo_#>	0.4
ʀ	r	0.714
ˈɛ	æ	0.364
<#_j	<#	0.5
<#_j	<#_j	0.5
s	sʲ	0.5
s	s	0.5
ɛ	a	0.5
ɛ	e	0.5
ˈe	ˈe	0.765
ˈɔ	ˈɵ	0.15
ˈɔ	a	0.35
ˈɔ	ˈo	0.5
<#_ʧ	<#_ʧ	0.286
d	ʣʲ	0.286
l	ʌ_ɫ	0.286
ɔ	a	0.6
ˈa	ˈa	0.556
<#_β	<#_v	0.667
a_#>	ˈa_#>	0.667
ʃ	ʂ	0.667
ˈi	ˈi	0.667
ˈu	ˈu	0.667
t	t	0.818
ˈe	ˈo_w	0.118
ˈe	æ	0.118
ˈo	ˈo	0.818
<#_s	<#_sʲ	0.429
