Campidanese	Campidanese	probability
β	-	1.0
ˈɛ_n	ˈɛ̃	1.0
ˈɔ_ɾ	w_ˈa	1.0
ˈɔ_n	ˈɔ̃	1.0
ˈu_n	ˈɔ̃	1.0
ˈo_ɣ	ˈøː	1.0
ˈo_u	ˈuː	1.0
ˈo_n	ˈɔ̃	1.0
ˈi_ɾ	ˈi	1.0
ˈi_n	ˈẽ	1.0
ˈa_ð	ˈɛː	1.0
ˈa_n	ˈɑ̃	1.0
ˈa_i	ˈe	1.0
ʦ	s	1.0
ʒ	-	1.0
ʃ	-	1.0
ɾ_ˈu	ˈuː	1.0
ɾ_i	j	1.0
ɾ_d	ʀ	1.0
ɲ	ɲ	1.0
ɭː_a	j	1.0
ɛ	-	1.0
ɖː_a	j	1.0
ɖː	-	1.0
ɔ̆	-	1.0
ŋ	-	1.0
ð_u	ˈɛ	1.0
ð_a	j	1.0
ð	-	1.0
w	w	1.0
ŭ_#>	#>	1.0
ŭ	ˈoː_t	1.0
u_ð	ɛː	1.0
u_n	ɔ̃	1.0
t_ɛ	t	1.0
t_i	ʀ	1.0
s_t	s	1.0
s_k	ʃ	1.0
o	-	1.0
nː	-	1.0
n_ʤ	ɲ	1.0
n_a	n	1.0
l_ˈa	l	1.0
l_u_#>	#>	1.0
k_ɾ	k_l	1.0
k_a	ʧ	1.0
j	-	1.0
ĭ	-	1.0
i_ʒ	s	1.0
i_ŋ	ẽ	1.0
f	f	1.0
e_n	ɲː	1.0
e	-	1.0
b_ˈi	v	1.0
ă	-	1.0
a_#>	#>	1.0
<#_n	<#_n	1.0
<#_i	<#_ɛ	1.0
<#_a_r	<#_ʀ	1.0
u_#>	#>	0.918
p	p	0.889
l	l	0.87
u	-	0.857
i_#>	#>	0.849
z	-	0.846
m	m	0.833
d	d	0.769
ʧ	s	0.75
ɣ	-	0.75
s	s	0.724
ɭː	-	0.667
r	ʀ	0.667
t	t	0.645
k	k	0.64
i	-	0.619
ɔ	-	0.6
<#_a	<#_a	0.6
b	v	0.581
ɡ	-	0.571
ɾ	ʀ	0.549
ʤ	ʤ	0.5
ʤ	-	0.5
#>	ʧ_#>	0.5
#>	ʀ_#>	0.5
ˈi	ˈɛ	0.448
ˈo	ˈɔ	0.429
ɡ	ɡ	0.429
b	b	0.419
ɔ	ɔ	0.4
<#_a	<#	0.4
k	ʧ	0.36
t	-	0.355
ˈu	ˈɔ	0.35
ˈɔ	ˈuː	0.333
ˈe	ˈiː	0.333
ɭː	j	0.333
r	-	0.333
n	-	0.333
ˈa	ˈa	0.303
a	-	0.292
ˈo	-	0.286
ɾ	-	0.275
ˈa	ˈɔː	0.273
ˈu	ˈøː	0.25
ˈu	ˈu	0.25
ʧ	-	0.25
ɣ	j	0.25
a	j	0.25
ˈɔ	ɔ	0.238
d	-	0.231
ˈe	ˈɛ	0.222
ˈe	j	0.222
ˈe	-	0.222
n	ˈɛ̃	0.222
i	i	0.19
ˈɛ	ˈiː	0.185
ˈɛ	w	0.185
ˈɛ	-	0.185
s	ʃ	0.172
n	ˈẽ	0.167
n	n	0.167
m	-	0.167
a	a	0.167
z	z	0.154
ˈa	ˈiː	0.152
ˈu	ˈy	0.15
ˈɛ	ˈi	0.148
ˈɔ	ˈa	0.143
ˈo	ˈoː	0.143
ˈo	ɔ	0.143
u	ˈa	0.143
ˈi	ˈiː	0.138
ˈi	ˈi	0.138
ˈi	w	0.138
ˈi	-	0.138
l	-	0.13
a	ɛ	0.125
ˈa	ˈe	0.121
ˈɛ	ˈɛ	0.111
ˈɛ	j	0.111
p	-	0.111
n	ɲ	0.111
s	-	0.103
ɾ	l	0.098
ˈɔ	ˈɔ	0.095
ˈɔ	ˈøː	0.095
ˈɔ	-	0.095
i	ˈe	0.095
i	j_ˈa	0.095
i_#>	ʀ_#>	0.094
ˈa	w	0.091
a	w	0.083
a	f	0.083
u_#>	ˈa_#>	0.082
ˈɛ	j_ˈɛ	0.074
ˈa	ˈɑ̃	0.061
i_#>	ˈɛ_#>	0.057
