West Frisian	East Low German	probability
ˈɪ_r	æ	1.0
ˈɛ_r	ˈaː	1.0
ˈɔː	ˈa	1.0
ˈuə̯	ˈaʊ̯	1.0
ˈu	ˈʊ	1.0
ˈiː_n	ˈɪ	1.0
ˈeː	ˈae̯	1.0
ˈa	ˈa	1.0
ʋ	v	1.0
ɣ_ə	ç	1.0
ɣ	ɡ	1.0
ə_r	æ	1.0
ɕ	z	1.0
ŋ_ə	ŋ	1.0
z_ə	ŋ	1.0
v_ə	m	1.0
t_ə	t_n	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
p	p	1.0
n_d	n	1.0
l	l	1.0
k_ə	k	1.0
j_ˈɪ	ˈae̯	1.0
j_ˈɛ	ˈiː	1.0
j_ˈɔ	ˈɪ	1.0
j_ˈuə̯	ˈyː	1.0
j_ə	n	1.0
h	h	1.0
f	f	1.0
b	b	1.0
<#_t	<#	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
m	m	0.917
d	d	0.9
ˈuː	ˈuː	0.778
ˈiː	ˈiː	0.75
ŋ	ŋ	0.75
n	n	0.717
t	t	0.673
ɡ	ɡ	0.667
v	w	0.667
ˈɪ	ˈɪ	0.609
#>	f_#>	0.6
d̥	t	0.583
k	k	0.579
χ	ç	0.562
ˈi	ˈiː	0.545
ˈɔ	ˈʊ	0.538
ˈɛː	ˈʏ	0.5
ˈɛː	ˈaː	0.5
ˈɛi̯	ˈɪ	0.5
ˈɛi̯	ˈɛ	0.5
ˈoː	ˈuː	0.5
ˈoː	ˈaʊ̯	0.5
ʦ	kʰ	0.5
ʦ	d	0.5
j_#>	ç_#>	0.5
j_#>	#>	0.5
j	-	0.5
r	r	0.486
ˈi	ˈɪ	0.455
χ	x	0.438
s	ʃ	0.438
ˈoə̯	ˈuː_æ	0.429
ə	n	0.424
d̥	d	0.417
s	z	0.406
#>	t_#>	0.4
ə	-	0.394
ˈiə̯	ˈae̯	0.375
ˈɪə̯	ˈaʊ̯	0.368
r	æ	0.351
ˈɛ	ˈʏ	0.333
ˈɛ	ˈɛ	0.333
ˈɛ	ˈiː	0.333
ˈaː	ˈɒː	0.333
ˈaː	ˈae̯	0.333
ˈaː	ˈa	0.333
ɡ	j	0.333
v	tʰ_v	0.333
k	kʰ	0.316
ˈɔ	ˈɔ	0.308
j	ˈiː	0.3
ˈoə̯	ˈɒː	0.286
ˈoə̯	ˈœː	0.286
ˈɪə̯	ˈae̯	0.263
ˈiː	ˈɛː	0.25
ˈiə̯	ˈɔʏ̯	0.25
ˈiə̯	ˈɒː	0.25
ŋ	ŋ_k	0.25
ˈuː	ˈʊ_n	0.222
j	j	0.2
ˈɪ	ˈɛ	0.174
ˈɪə̯	ˈoː	0.158
s	s	0.156
ˈɔ	ˈɛ	0.154
t	d	0.143
ˈɪ	ˈʏ	0.13
ˈiə̯	ˈoː	0.125
t	tʰ	0.122
n	n_d	0.109
r	ɾ_æ	0.108
ˈɪə̯	ˈɒː	0.105
ˈɪə̯	ˈa	0.105
k	-	0.105
d	ɾ	0.1
ə	ɪ	0.091
ə	m	0.091
ˈɪ	ˈae̯	0.087
m	ˈɒː	0.083
t	-	0.061
r	ˈaː	0.054
