Afrikaans	Afrikaans	probability
χ_r	ɡ_ʁ	1.0
ˈɛː	ˈaː	1.0
ˈæː	ˈɛ	1.0
ˈyː	ˈɔʏ̯	1.0
ˈu_j	ˈuː	1.0
ˈoː	ˈoː_t	1.0
ɫ_#>	l_#>	1.0
ɫ	l	1.0
ɦ	h	1.0
ə_ŋ	n	1.0
ə_r	ɐ	1.0
w	-	1.0
v̥	f	1.0
s_t	ʃ_t	1.0
s_k	ʃ	1.0
p_#>	f_#>	1.0
m	m	1.0
k_#>	k_#>	1.0
j	j	1.0
i	eː	1.0
d_ə	t	1.0
b	b	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
n	n	0.925
ˈəɪ̯	ˈaɪ̯	0.882
v	v	0.875
ŋ	ŋ	0.846
ˈə	ˈɪ	0.833
ˈœɪ̯	ˈaʊ̯	0.727
ˈœ	ˈʏ	0.714
ˈa	ˈa	0.714
#>	ə_#>	0.7
ˈu	ˈuː	0.692
ˈɛ	ˈɛ	0.667
v̥_#>	b̥_#>	0.667
ˈœu̯	ˈa_l	0.6
ˈi	ˈiː	0.6
ˈæ	ˈɛ	0.571
r	ɐ	0.561
d	d	0.543
ˈɔ	ˈʊ	0.522
ˈɪø̯	ˈoː	0.5
ˈɪø̯	-	0.5
p	p͡f	0.5
d̥	d̥	0.5
ˈɔ	ˈɔ	0.478
k	kʰ	0.467
d	tʰ	0.457
ˈɑː	ˈaː	0.44
χ	ɡ	0.436
ˈæ	ˈɪ	0.429
ˈɪə̯	ˈaɪ̯	0.421
t	s	0.41
ˈœu̯	ˈaʊ̯	0.4
s	z	0.393
t	ʦ	0.385
d̥	t	0.375
r	ʁ	0.368
ə	ɪ	0.357
ə	ə	0.357
ˈɛ	-	0.333
v̥_#>	#>	0.333
s	ʃ	0.321
ˈʊə̯	ˈoː	0.32
ˈu	ˈyː	0.308
p	f_n	0.3
ˈœ	-	0.286
ə	-	0.286
ˈʊə̯	ˈɔ	0.28
ˈɑː	ˈa	0.28
ˈœɪ̯	ˈɔʏ̯	0.273
k	ç	0.267
ˈɪə̯	ˈeː	0.263
ˈʊə̯	ˈaʊ̯	0.24
#>	ə_n_#>	0.225
ˈɪə̯	ˈɛ	0.211
ˈi	ˈeː	0.2
p	f	0.2
ˈa	ˈaː	0.171
ˈə	-	0.167
k	x	0.167
ˈʊə̯	ˈøː	0.16
χ	ɡ̊	0.154
ŋ	ç	0.154
t	t	0.154
χ	k	0.128
s	z̥	0.125
ˈɑː	ˈɛː	0.12
ˈəɪ̯	n	0.118
ˈɪə̯	-	0.105
χ	x	0.103
ˈi	ˈɔʏ̯	0.1
ˈi	-	0.1
k	k_n	0.1
ˈɑː	ˈoː	0.08
ˈɑː	ˈeː	0.08
χ	ç_t	0.077
#>	ɐ_#>	0.075
s	s_t	0.071
v	v_ˈɪ	0.062
v	-	0.062
d̥	t_n	0.062
d̥	d_n	0.062
ˈa	ˈɛ	0.057
ˈa	-	0.057
s	s	0.054
χ	ç	0.051
χ	x_t	0.051
t	-	0.051
