Lengadocian	Lengadocian	probability
ˈɛ_l	j_u	1.0
ˈɔ_ʀ	ˈɔ_ɾ	1.0
ˈɔ_w	ˈo_u	1.0
ˈi_w	ɛ	1.0
ˈi_l	ˈi_ʣ	1.0
ˈe_l	ˈi_s	1.0
ˈa_#>	ˈa_ɾ_ɛ_#>	1.0
ʀ_t	ɾ	1.0
ʀ_#>	r_u_#>	1.0
ɾ_ɔ	a	1.0
ɥ_ˈɛ	ˈɔ	1.0
ɡ	b	1.0
ŋ_k	m_b	1.0
ð	ð	1.0
y	u	1.0
u_l	ɔ_l	1.0
t_ɔ	t_a	1.0
s_i	k_i	1.0
p_l	p_ɾ	1.0
p	p	1.0
nː	m_i	1.0
n_ˈa	n_ˈa	1.0
n_d	nː	1.0
m_b	m	1.0
m_#>	m_ɛ_n_ɛ_#>	1.0
m	m	1.0
l_s	ɾ_ʦ	1.0
l_#>	l_u_#>	1.0
k_l	k_ɾ	1.0
j_ˈɛ	ˈe	1.0
j_s	s_k	1.0
j_#>	ɣ_ɛ_#>	1.0
f	f	1.0
e_#>	#>	1.0
d	d	1.0
b	b	1.0
a_w	o	1.0
a_l	a_l	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʤ	<#_ʣ	1.0
<#_ʀ	<#_ɾ	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#	1.0
<#_e	<#_i	1.0
<#	<#_i	1.0
ɔ	a	0.955
ˈa	ˈa	0.875
k	k	0.86
n	n	0.833
ˈy	ˈu	0.824
ʀ	ɾ	0.8
a	a	0.792
s_#>	z_ɔ̆_#>	0.778
ˈɔ	ˈo	0.75
ʦ	ɣ_ɛ	0.75
β	-	0.733
ɾ	ɾ	0.703
t	t	0.69
n_#>	n_t_u_#>	0.667
ˈi	ˈi	0.636
z	-	0.6
j	-	0.533
ˈu	ˈu	0.514
s	s	0.512
ˈe	ˈi	0.5
ʧ	t_u	0.5
ʧ	t	0.5
ʎ	ʣ	0.5
ʎ	-	0.5
ɾ_e	ɾ_u	0.5
ɾ_e	ɛ_ɾ	0.5
ɥ	ˈɔ	0.5
ɥ	-	0.5
ɣ	ɣ	0.5
ˈɛ	ˈɛ	0.486
#>	u_#>	0.486
w	-	0.467
ɲ	n_ʣ	0.429
z	j_z	0.4
l	l	0.391
ʤ	b	0.385
ˈɛ	ˈe	0.371
ˈu	ˈɔ	0.351
n_#>	n_t_ɛ_#>	0.333
e	ɛ	0.326
ˈe	ˈɛ	0.312
t	ð	0.31
#>	ɛ_#>	0.308
l	ɖː	0.304
ɣ	-	0.3
ɲ	ɲ	0.286
ɲ	-	0.286
β	β	0.267
w	ɛ	0.267
w	u	0.267
u	ɔ	0.267
u	u	0.267
u	o	0.267
ˈɔ	ˈɔ	0.25
ʦ	t_u	0.25
ʤ	i_ɣ	0.231
ʤ	-	0.231
s_#>	z_ă_#>	0.222
s	k	0.22
ʀ	r	0.2
ɣ	ɡ	0.2
u	-	0.2
j	ɛ	0.2
e	u	0.186
ˈy	ˈu_ɾ	0.176
e	i	0.163
e	e	0.163
ɾ	ɛ_ɾ	0.162
ʤ	ɡ	0.154
k	ɣ	0.14
j	ˈe	0.133
j	j	0.133
l	ɾ	0.13
ˈe	ˈe	0.125
a	-	0.125
ˈi	ɛ	0.121
n	nː	0.1
s	z	0.098
e	ɛ_ɾ	0.093
ˈi	ˈi_ɾ	0.091
ˈi	ˈi_ɛ	0.091
l	ʣ_u	0.087
l	j	0.087
ˈɛ	-	0.086
a	ˈa	0.083
ˈu	ˈɔ_n	0.081
ɾ	e_ɾ	0.081
s	s_k	0.073
e	-	0.07
n	-	0.067
#>	ɾ_ɛ_#>	0.065
ˈe	-	0.062
ˈi	ˈi_n	0.061
ˈɛ	j	0.057
ˈu	ˈo_n	0.054
ˈa	ˈa_n	0.054
ɾ	ɾ_a	0.054
