Slovenian	Russian	probability
ʧ	ʨ	1.0
ʦ	ʦ	1.0
ʒ	ʐ	1.0
ʃ	ʂ	1.0
ɡ	ɡ	1.0
ɛ̀ː	ɪ	1.0
ə́	ˈe	1.0
ə̀	ˈɵ	1.0
ɔ́ː	ˈo	1.0
ɔ́	ˈo	1.0
ɔ̀ː	ɐ	1.0
x	x	1.0
w_#>	lʲ_#>	1.0
s_#>	s_#>	1.0
r_àː	ɐ_r	1.0
óː_#>	ə_#>	1.0
òː	ˈo	1.0
o	ˈo	1.0
j	-	1.0
íː	ˈi	1.0
i	-	1.0
éː_#>	ə_#>	1.0
e	ˈe	1.0
<#_t	<#_tʲ	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_l	<#_lʲ	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
óː	ˈo	0.778
k	k	0.714
w	ɫ	0.667
a	ˈa	0.667
r	r	0.65
d	d	0.643
z	z	0.636
ɔ	ə	0.6
ìː	ˈi	0.6
áː	ə	0.6
àː	ˈa	0.6
ɛ	ɪ	0.571
l	ɫ	0.571
s	sʲ	0.562
ʋ	v	0.545
éː	ˈe	0.538
t	t	0.533
p	pʲ	0.533
m	mʲ	0.533
èː	ˈe	0.5
èː	ɪ	0.5
b	bʲ	0.5
b	b	0.5
t	tʲ	0.467
p	p	0.467
m	m	0.467
ə	-	0.462
ʋ	vʲ	0.455
n	n	0.444
s	s	0.438
ɛ	ˈe	0.429
ɔ	ˈo	0.4
ìː	ˈɨ	0.4
áː	ˈo	0.4
àː	ɐ	0.4
z	zʲ	0.364
d	dʲ	0.357
r	rʲ	0.35
w	ɫ_ɨ	0.333
n	nʲ	0.333
l	lʲ	0.333
a	ə	0.333
éː	ɪ	0.308
k	ɪ_j	0.286
ə	ɪ	0.231
óː	ˈu	0.222
n	n_ɨ	0.222
ə	ˈo	0.154
ə	kʲ	0.154
éː	ˈɛ	0.154
l	ə_ɫ	0.095
