Catalan	Catalan	probability
ˈɛ_l	ˈe_r	1.0
ˈɔ_r	ˈɔ	1.0
ˈɔ_l	ˈo_r	1.0
ˈo_s	ˈu	1.0
ˈi_w	ˈi_u	1.0
ˈi_t	ˈe_tː	1.0
ˈa_t	ˈa_i	1.0
ˈa	ˈa	1.0
ʧ	ʣ	1.0
ʤ	-	1.0
ʎ_ə	a	1.0
ʎ_#>	dː_u_#>	1.0
ʃ	ʃː	1.0
ɾ_ˈɛ	r	1.0
ɾ_ə	r_u	1.0
ɲ	ɲː	1.0
ə_ɣ	i_ɡː	1.0
ə_s	i	1.0
w_ɾ	i_d	1.0
t_ə	t_a	1.0
s_p	pː	1.0
s_k	x	1.0
s_i	ʦ	1.0
s_#>	#>	1.0
r_n	rː_u	1.0
p	p	1.0
n_ə	n_a	1.0
m_u	m_u	1.0
m_b	mː	1.0
l_s	ʦː	1.0
l_#>	r_u_#>	1.0
k_l	ʧ	1.0
j_t	tː	1.0
j	-	1.0
a	a	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
f	f	0.957
d	d	0.875
ˈɔ	ˈɔ	0.867
ˈa_#>	ˈa_#>	0.867
ʒ	ʤ	0.818
ˈi	ˈi	0.778
<#_ə	<#_i	0.778
ə	a	0.772
ɣ	ɡ	0.75
k	k	0.75
<#_s	<#_s	0.75
m	m	0.72
ð	dː	0.7
n	n	0.692
#>	u_#>	0.681
ɡ	-	0.667
ə_#>	ˈi_#>	0.667
i	i	0.667
ˈu	ˈu	0.591
ɾ	r	0.576
ʎ	l	0.559
u	u	0.55
ˈe	ˈɛ	0.548
b	b	0.529
ˈi_#>	ˈi_n_u_#>	0.5
ˈi_#>	ˈi_n_i_#>	0.5
n_#>	n_t_u_#>	0.5
n_#>	n_t_i_#>	0.5
b	v	0.471
ˈo	ˈo	0.458
t	t	0.448
β	β	0.438
ˈɛ	ˈɛ	0.414
r	r	0.4
ˈe	ˈe	0.355
ˈɛ	ˈe	0.345
ɡ	ɡ	0.333
ə_#>	#>	0.333
z	z	0.333
z	j	0.333
z	-	0.333
i	-	0.333
l	r	0.32
l	j	0.32
n	nː	0.308
ð	-	0.3
s	ɬ	0.3
s	sː	0.3
ˈo	ˈɔ	0.292
m	mː	0.28
#>	i_#>	0.253
β	bː	0.25
ɣ	-	0.25
ŋ	ŋ_ɡ	0.25
ŋ	ŋ_k	0.25
ŋ	ŋ	0.25
ŋ	-	0.25
<#_s	<#_ʦ	0.25
ɾ	-	0.242
ˈɛ	-	0.241
t	tː	0.241
t	dː	0.241
<#_ə	<#_ˈa	0.222
w	ʦ_i	0.217
u	-	0.2
r	rː	0.2
β	p	0.188
ˈu	ˈo	0.182
ʒ	ʤː	0.182
ɾ	a_r	0.182
w	β	0.174
w	w	0.174
l	ɬ	0.16
u	o	0.15
ʎ	ʎː	0.147
ə	i	0.139
ˈu	ˈɔ	0.136
ˈɔ	ˈo	0.133
ˈa_#>	ˈa_n_i_#>	0.133
r	ɬ	0.133
r	j	0.133
r	i	0.133
w	β_i	0.13
w	i	0.13
β	b	0.125
ˈo	ˈu	0.125
d	-	0.125
l	-	0.12
ʎ	ʧː	0.118
k	ɡː	0.114
u	r	0.1
s	ʦː	0.1
s	z_u	0.1
s	p_u	0.1
s	i	0.1
ˈe	ˈa	0.097
ˈu	ˈu_n	0.091
w	ʦː_u	0.087
w	u	0.087
ˈo	ˈo_n	0.083
l	i	0.08
ˈi	ˈe	0.074
ˈi	i	0.074
ˈi	-	0.074
t	-	0.069
k	xː	0.068
k	kː	0.068
ə	u	0.063
ʎ	u_r	0.059
ʎ	u	0.059
ʎ	dː	0.059
