Danish	Danish	probability
ˈʌˀ	ˈeo̯	1.0
ˈɛː	-	1.0
ˈɛˀ	-	1.0
ˈɔː	ˈɒː	1.0
ˈɔ	ˈoː	1.0
ˈɒˀ	ˈɒː_ɐ	1.0
ˈɑˀ	-	1.0
ˈœː	-	1.0
ˈyː	ˈɛɪ̯	1.0
ˈy	-	1.0
ˈuː	-	1.0
ˈuˀ	ˈuː	1.0
ˈoː	-	1.0
ˈi	-	1.0
ˈeː	ˈɛː	1.0
ʨ	-	1.0
ʦʰ	d	1.0
ɕ	z	1.0
ɐˀ	ɐ	1.0
ŋˀ	ŋ	1.0
ŋ	ŋ	1.0
wˀ_n	m	1.0
w_ə	ŋ	1.0
s_ɡ̊	ʃ	1.0
s_#>	z̥_#>	1.0
mˀ	-	1.0
m	m	1.0
l_#>	l_#>	1.0
l	l	1.0
kʰ	k	1.0
jˀ	-	1.0
h	h	1.0
f	f	1.0
d̥_#>	t_#>	1.0
b̥_#>	p_#>	1.0
<#_ˈɔ	<#	1.0
<#_ˈeˀ	<#_ˈɛɪ̯	1.0
<#_ʦʰ	<#_t	1.0
<#_ɡ̊	<#_j	1.0
<#_n	<#_n	1.0
ʁ	r	0.92
n	n	0.864
b̥	b	0.808
ʋ	v	0.737
ɐ	ɐ	0.724
ð̞ˠ_ə	t_n	0.714
ˈoˀ	ˈaʊ̯	0.667
ˈæ	ˈa	0.647
ˈe	ˈɪ	0.625
lˀ	l	0.615
ˈœˀ	ˈeo̯	0.6
ˈøː	ˈɔʏ̯	0.6
ˈøˀ	-	0.6
ˈo	-	0.6
n_ə	n	0.6
j_#>	k_#>	0.6
<#	<#_ˈa	0.6
ˈiˀ	ˈiː	0.583
ˈeˀ	ˈɛɪ̯	0.583
ˈiː	-	0.571
ˈɛ	-	0.545
j	-	0.545
s	s	0.514
ˈɔˀ	ˈɒː	0.5
ˈɔˀ	-	0.5
nˀ	n_d̥	0.5
nˀ	n	0.5
d̥	d	0.5
s	z	0.486
ɡ̊	ɣ	0.471
ˈɑ	ˈa	0.462
ˈɛ	ˈɪ	0.455
ˈœ	-	0.444
ð̞ˠ	d̥	0.444
ˈʌ	-	0.429
ˈø	-	0.429
ˈiː	ˈiː	0.429
ˈu	ˈʊ	0.417
ð̞ˠ	t	0.407
ˈœˀ	-	0.4
ˈøː	-	0.4
ˈøˀ	ˈeo̯	0.4
ˈo	v_ˈoː	0.4
n_ə	n_n	0.4
j_#>	#>	0.4
<#	<#_j	0.4
#>	n_#>	0.4
ə	ə	0.395
ˈyˀ	ˈɛɪ̯	0.375
ˈyˀ	-	0.375
ə	n	0.372
d̥	t	0.346
ˈœ	ˈʏ	0.333
ˈoˀ	-	0.333
w	v	0.333
ɡ̊	k	0.294
ˈʌ	ˈɔ	0.286
ˈʌ	ˈœ	0.286
ˈø	ˈʏ	0.286
ˈø	ˈɪ	0.286
ð̞ˠ_ə	n	0.286
ˈyˀ	ˈyː	0.25
ˈu	v_ˈʊ	0.25
ˈiˀ	ˈɪ	0.25
w	k	0.25
w	-	0.25
ˈɑ	-	0.231
lˀ	l_ə	0.231
ˈœ	ˈoː	0.222
#>	f_#>	0.2
#>	d̥_#>	0.2
b̥	p	0.192
ˈe	ˈɛ	0.188
ˈe	-	0.188
j	k	0.182
j	h	0.182
ˈæ	-	0.176
ˈu	ˈɔ	0.167
ˈu	-	0.167
ˈiˀ	n	0.167
ˈeˀ	n	0.167
ˈeˀ	-	0.167
w	b	0.167
ʋ	w	0.158
ˈɑ	ˈʏ	0.154
ˈɑ	ˈɛ	0.154
lˀ	l_d̥	0.154
n	-	0.136
ˈæ	ˈɒː	0.118
ɡ̊	ɡ	0.118
ɡ̊	ŋ_k	0.118
ʋ	f	0.105
ɐ	ˈɛː_ɐ	0.103
ɐ	ə	0.103
#>	t_#>	0.1
#>	p_#>	0.1
ə	-	0.093
j	ɣ̊	0.091
ˈeˀ	ˈaɪ̯	0.083
ʁ	-	0.08
d̥	ç_t	0.077
d̥	x_t	0.077
ð̞ˠ	ˈɔʏ̯	0.074
ð̞ˠ	ˈɔ	0.074
ə	m	0.07
ɐ	d_ɐ	0.069
ˈæ	ˈɛə̯	0.059
