Upper Franconian	Upper Franconian	probability
β	-	1.0
ˈʊ_n	ˈʏ	1.0
ˈɛː	-	1.0
ˈɘ	ʀ	1.0
ˈiː_ɐ_#>	ˈɛ_#>	1.0
ˈa	ˈa	1.0
ʦ	t	1.0
ʃ_v	s	1.0
ʃ_d̥	s_t	1.0
ɾ	d_ə	1.0
ɪ	i	1.0
ɣ̊	-	1.0
ɡ̊_#>	#>	1.0
ə	ə_n	1.0
ɐ_n	ʀ_n	1.0
ç_#>	#>	1.0
x_#>	#>	1.0
v̥	p	1.0
v_ˈɔ	ˈʊ	1.0
v	v	1.0
t	t	1.0
r	ʀ	1.0
l_f	l_v	1.0
l_d̥	lʲ	1.0
i	i	1.0
h	h	1.0
f_#>	p_#>	1.0
f	f	1.0
eː	ɛi̯	1.0
d̥_n	d̥	1.0
b̥͡v̥	p	1.0
b̥_#>	#>	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
m	m	0.885
l	l	0.878
b̥	b	0.8
#>	ə_#>	0.778
a	ə	0.733
s	s	0.732
ˈaʊ̯	ˈʏ	0.667
<#_ˈɒ	<#	0.667
ɐ	ʀ	0.643
n_d̥	n	0.625
ˈʊ	ˈʊ	0.615
ˈaɪ̯	ˈi	0.611
z̥	-	0.6
ʃ	ʃ	0.571
ɡ̊	k	0.517
ˈaː	ˈiː	0.5
ŋ	ŋ	0.5
ç	k	0.5
x	x	0.5
n	n	0.435
ʃ	s	0.429
ˈiː	ˈiː	0.417
z̥	d_ə	0.4
ˈeː	ˈi	0.375
ˈeː	-	0.375
n_d̥	nʲ	0.375
n	ə	0.348
ɡ̊	ɡ	0.345
ˈaʊ̯	-	0.333
x	k	0.333
<#_ˈɒ	<#_ˈeː	0.333
ˈɛ	-	0.318
d̥	t	0.317
ˈɪ	ˈi	0.316
ˈaː	ˈuː	0.3
d̥	d	0.3
ˈuː	ˈœ	0.294
ɐ	ə_ʀ	0.286
ˈɔ	-	0.267
ˈɒ	ˈɒ	0.261
ˈoː	ˈɛi̯	0.25
ˈeː	ˈɛi̯	0.25
ç	ŋ	0.25
ç	x	0.25
ˈuː	ˈyː	0.235
ˈuː	-	0.235
ˈʊ	-	0.231
#>	k_#>	0.222
ˈɒ	ˈɒː	0.217
ˈɒ	ˈœ	0.217
ˈɪ	ˈʊ	0.211
ˈɔ	ˈɔ	0.2
ˈoː	-	0.2
ˈaː	-	0.2
b̥	v̥	0.2
ŋ	-	0.188
ˈɛ	ˈɛː	0.182
ˈɛ	ˈeː	0.182
n	-	0.174
ˈiː	-	0.167
ˈaɪ̯	ˈa	0.167
x	ˈɛ_k	0.167
ˈɪ	ˈa	0.158
ˈʊ	ˈaː	0.154
ˈoː	ˈɔː	0.15
s	tʲ	0.146
ɡ̊	-	0.138
ˈɛ	ˈa	0.136
ˈɔ	ˈʊ	0.133
ˈɔ	ˈɔː	0.133
ˈɔ	ˈœ	0.133
ˈɔ	ˈaː	0.133
d̥	d̥	0.133
a	ə_n	0.133
a	-	0.133
ˈɒ	ˈuː	0.13
ˈiː	ˈɛi̯	0.125
ˈiː	ˈa	0.125
ŋ	j_ə	0.125
ŋ	d_ə	0.125
s	t	0.122
ˈuː	ˈʏ	0.118
ˈuː	ˈuː	0.118
m	v_ə	0.115
ˈaɪ̯	ˈœː	0.111
ˈaɪ̯	ˈai̯	0.111
ˈɪ	ˈeː	0.105
ˈɪ	ˈai̯	0.105
ˈɪ	-	0.105
ˈoː	ˈɛː	0.1
ˈoː	ˈɔu̯	0.1
ˈoː	ˈɒː	0.1
ˈoː	ˈeː	0.1
d̥	dʲ	0.1
d̥	-	0.1
ˈɛ	ˈɒ	0.091
ˈɛ	j_ˈa	0.091
ˈɒ	ˈʊ	0.087
ˈɒ	-	0.087
ˈiː	ˈɛ	0.083
ˈiː	ˈɔː	0.083
l	l_ə	0.073
ɐ	ə	0.071
ŋ	w	0.062
