Proto-Slavic	Štokavian	probability
a	a	1.0
aˀ	â	1.0
ǎ	a	1.0
b	b	1.0
ê	ê	1.0
ẽ	eː	1.0
ẽ̂ː	êː	1.0
i	i	1.0
ĭ̂	-	1.0
ĭ̌ː	-	1.0
ǐ	î	1.0
n	n	1.0
ôː	ôː	1.0
p	p	1.0
s	s	1.0
t	t	1.0
x	x	1.0
z	z	1.0
ɛ	j_e	1.0
ɛˀ	j_ê	1.0
ɛ̂ː	j_êː	1.0
ɛ̌	ê	1.0
ʎ	ʎ	1.0
ʒ	ʒ	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
o	o	0.621
ô	ôː	0.421
ǒ	o	0.171
k	-	0.072
l	l_j	0.12
o	ô	0.102
m	a_m	0.063
r	r̩̂ː	0.063
ŭ	-	0.623
ĭ	a	0.684
d	-	0.095
d	d	0.905
e	-	0.105
ĭ̌	â	0.25
ĭ̌	-	0.75
ɛː	j	0.085
ɛː	j_ěː	0.915
ĭ	-	0.316
r	r	0.616
e	e	0.247
l	-	0.167
l	l	0.67
m	m	0.937
o	ǒ	0.277
r	r̂ː	0.077
ɡ	ɡ	0.987
e	ě	0.648
k	k	0.928
ŭ	iː	0.198
v	ʋ	0.968
j	-	0.969
ô	ô	0.579
ǒ	ô	0.829
r	r̩̂	0.149
ŭ	a	0.139
