Campidanese	Piedmontese	probability
f	f	1.0
l	l	1.0
m	m	1.0
nː	ŋ	1.0
o	u	1.0
p	p	1.0
rː	r	1.0
sː	s	1.0
ŋ	ŋ	1.0
ɖː	l	1.0
ɣ	-	1.0
ʃː	s	1.0
ʒ	s	1.0
ʦ	s	1.0
a	-	0.111
e	a	0.051
r	j	0.081
w	w	0.811
ˈu	ˈu	0.421
j	-	0.402
t	-	0.122
ʤ	ʤ	0.462
ˈa	-	0.182
ˈe	ˈɛ	0.62
b	b	0.193
b	v	0.753
n	-	0.203
n	ŋ	0.3
r	-	0.173
ˈa	ˈa	0.673
ˈi	ˈə	0.053
ˈu	ˈy	0.553
a	a	0.874
b	ʤ	0.054
e	e	0.564
k	k	0.844
z	s	0.134
z	z	0.14
ð	t	0.224
ɡ	ɡ	0.514
ʧ	ʧ	0.24
ˈi	ˈɛ	0.154
ˈi	ˈi	0.654
ˈo	ˈu	0.274
β	v	0.724
d	-	0.145
d	d	0.855
u	-	0.305
ˈe	-	0.065
e	-	0.386
i	e	0.116
k	-	0.156
s	s	0.976
u	a	0.286
z	-	0.726
ɡ	-	0.486
ʧ	s	0.76
ˈe	ˈe	0.286
β	-	0.276
i	ˈe	0.077
n	n	0.487
r	r	0.667
ð	-	0.467
ˈo	ˈɔ	0.527
i	-	0.278
i	j	0.28
j	j	0.598
t	t	0.878
ʤ	-	0.538
i	a	0.099
i	i	0.139
u	j	0.409
w	-	0.189
ð	d	0.309
ˈa	ˈe	0.129
ˈi	ˈe	0.139
ˈo	ˈø	0.199
