Polish	Standard Croatian	probability
ʥ	d	1.0
ʑ	z	1.0
ʂ	-	1.0
ɡ	ɡ	1.0
ɛ_ɲ	eː	1.0
ɛ_r	r̩	1.0
ɕ	s	1.0
ɔ_w̃	uː	1.0
ɔ_m	uː	1.0
ŋ	uː	1.0
z̥	z	1.0
z	z	1.0
x	x	1.0
w_ɔ	l_aː	1.0
w_a	l_a	1.0
v_ɔ	ʋ_o	1.0
v_j	ʋ	1.0
v	ʋ	1.0
t_ɨ	t	1.0
t_a	t_a	1.0
t	t	1.0
s_ɛ	s_a	1.0
r_ɔ	r_a	1.0
p	p	1.0
m_j	m	1.0
m	m	1.0
k	k	1.0
j_ɛ	a	1.0
f	ʋ	1.0
d̥	d̥	1.0
d_w	l	1.0
d	d	1.0
b	b	1.0
a_r	r̩ː	1.0
r	r	0.921
n	n	0.872
s	s	0.87
ɡ̊	ɡ	0.796
j	j	0.792
ɲ	n	0.727
ʦ	ʦ	0.683
ʐ̊	r	0.639
a	a	0.634
ʈ͡ʂ	ʧ	0.614
i	i_̂	0.608
ɛ_w̃	e	0.607
w	l	0.511
ʨ	t_i	0.504
ʨ	t	0.496
ɛ	e	0.413
ʐ	r	0.404
l	l_j	0.404
ɛ_w̃	eː	0.393
i	iː	0.392
ʈ͡ʂ	-	0.386
ɨ	-	0.384
ʐ	ʒ	0.369
ʐ̊	ʒ	0.361
l	l	0.346
w	-	0.329
ɔ	o	0.327
ʦ	ʨ	0.317
ɨ	iː	0.316
ɲ	ɲ	0.273
u	uː	0.272
ɛ	eː	0.243
u	eː	0.231
ʐ	r_j	0.226
j	-	0.208
ɡ̊	ɡ̊	0.204
u	-	0.2
u	oː	0.172
w	u	0.161
ɨ	i_̂	0.158
ɔ	e	0.156
l	ʎ	0.156
ɛ	a	0.143
s	s_a	0.13
ɔ	uː	0.129
ɔ	oː	0.128
n	-	0.128
ɔ	-	0.126
a	eː	0.113
ɛ	-	0.094
l	-	0.094
r	a	0.079
a	aː	0.078
a	e	0.073
a	e_̂	0.072
ɨ	r	0.071
ɨ	i	0.071
ɛ	i	0.066
u	u_̂	0.063
u	aː	0.062
