Luxembourgish	North Frisian	probability
b	b	1.0
h	h	1.0
pʰ	p	1.0
ʑ	j	1.0
ʦ	t	1.0
d	t	0.191
f	f	0.621
kʰ	ʃ	0.131
m	-	0.061
s	z	0.051
t	t	0.741
ŋ	n	0.361
ɡ	j	0.231
ɡ	ɡ	0.751
ˈoː	-	0.101
ˈuː	ˈu	0.11
ˈuː	ˈuː	0.21
ˈɑ	ˈai̯	0.061
ˈɑ	ˈɛi̯	0.061
ˈɑ	ˈi	0.131
ˈɑɪ̯	ˈa	0.11
ˈɑʊ̯	ˈuː	0.111
ˈɑʊ̯	ˈʏ	0.181
ˈɑʊ̯	ˈɔu̯	0.181
ˈə	ˈeː	0.121
ˈəʊ̯	ˈɔu̯	0.371
ˈɛ	ˈeː	0.431
ˈɜɪ̯	ˈiː	0.561
ˈʊ	ˈɔu̯	0.201
d	tʲ	0.072
d̥	z	0.052
e	ɛi̯	0.572
z	s	0.952
ɐ	ə_r	0.292
ʃ	ʃ	0.42
ˈe	ˈʏ	0.062
ˈe	ˈʊ	0.152
ˈiə̯	ˈi	0.152
ˈiə̯	ˈøː	0.272
ˈiə̯	ˈeː	0.272
ˈu	ˈɛ	0.052
ˈu	ˈa	0.152
ˈæːɪ̯	ˈa	0.072
ˈæːʊ̯	ˈøː	0.092
ˈɑ	ˈu	0.062
ˈɑɪ̯	ˈøː	0.212
ˈə	ˈyː	0.082
ˈə	ˈa	0.312
ˈɜɪ̯	ˈɛ	0.092
ˈɜɪ̯	ˈuː	0.092
χ	w	0.122
d̥	-	0.123
j	ˈiː	0.33
k	k	0.623
l	lʲ	0.093
t	d	0.193
v	v	0.83
ə	-	0.103
ˈaː	ˈʊ	0.093
ˈi	ˈeː	0.263
ˈi	ˈi	0.263
ˈu	ˈɔː	0.233
ˈuə̯	ˈɒ	0.543
ˈɜɪ̯	ˈyː	0.053
d	dʲ	0.054
kʰ	k	0.804
v̥	f	0.444
ɐ	r	0.474
ɕ	k	0.584
ə	ə	0.874
ˈe	ˈai̯	0.174
ˈiə̯	ˈɛː	0.304
ˈiː	ˈɔː	0.144
ˈoː	ˈyː	0.084
ˈoː	ˈɛː	0.184
ˈuə̯	ˈɒː	0.124
ˈɛ	ˈɛː	0.284
ˈɛ	ˈɒ	0.284
d	d	0.645
d̥	d	0.5
f	v	0.085
n	nʲ	0.155
p	d	0.285
p	p	0.715
w	v	0.815
ɕ	x	0.345
ˈaː	ˈeː	0.085
ˈiː	ˈeː	0.165
ˈo	ˈʊ	0.375
ˈoː	ˈɛi̯	0.305
ˈæ	ˈeː	0.245
ˈæːɪ̯	ˈʏ	0.055
ˈɑ	ˈɛ	0.075
ˈɔ	ˈyː	0.365
ˈɔ	ˈʊ	0.635
ˈə	ˈɔː	0.155
ˈəʊ̯	ˈuː	0.165
ˈɛː	ˈa	0.25
ˈɛː	ˈeː	0.25
ˈɛː	j_ˈa	0.5
ˈʊ	ˈœ	0.35
ˈʊ	ˈʊ	0.45
χ	k	0.655
k	-	0.06
n	n	0.746
s	d	0.146
s	t	0.196
v̥	v	0.556
ɐ	-	0.16
ˈaː	ˈɒː	0.146
ˈaː	ˈuː	0.216
ˈe	ˈɛi̯	0.176
ˈe	ˈiː	0.176
ˈeː	ˈi	0.106
ˈi	ˈɔu̯	0.066
ˈi	ˈiː	0.146
ˈiː	ˈɒ	0.06
ˈiː	ˈʊ	0.06
ˈo	ˈaː	0.166
ˈoː	ˈeː	0.266
ˈuə̯	ˈɔu̯	0.126
ˈuː	ˈɔː	0.196
ˈuː	ˈœ	0.356
ˈɑɪ̯	ˈyː	0.196
ˈɑɪ̯	ˈiː	0.356
ˈə	ˈiː	0.086
χ	-	0.166
d̥	s	0.057
f	p	0.197
j	j	0.67
k	ŋ	0.317
l	l	0.877
s	tʲ	0.217
v	-	0.17
w	ˈɔu̯	0.097
ˈaː	ˈa	0.077
ˈeː	ˈɒ	0.107
ˈi	ˈa	0.097
ˈi	ˈɛi̯	0.097
ˈiː	ˈɛ	0.057
ˈo	ˈɔ	0.127
ˈuə̯	ˈɔː	0.207
ˈæ	ˈɒ	0.597
ˈæːɪ̯	ˈi	0.857
ˈɑ	ˈɔː	0.087
ˈɑ	ˈœ	0.187
ˈə	ˈi	0.147
χ	x	0.057
d̥	dʲ	0.268
e	i	0.428
f	-	0.088
n	-	0.098
w	-	0.088
ˈaː	ˈɔ	0.148
ˈe	w	0.228
ˈi	ˈɛ	0.068
ˈo	ˈyː	0.08
ˈo	ˈœi̯	0.108
ˈuː	ˈɔ	0.128
ˈæ	ˈuː	0.158
ˈæːʊ̯	ˈyː	0.908
ˈɑɪ̯	ˈai̯	0.08
ˈɑʊ̯	ˈøː	0.528
ˈəʊ̯	ˈyː	0.378
ˈɜɪ̯	ˈɛi̯	0.118
m	m	0.939
s	s	0.39
ŋ	ŋ	0.619
ʀ	r	0.969
ʃ	s	0.559
ˈaː	ˈɒ	0.069
ˈeː	ˈiː	0.589
ˈiː	ˈa	0.079
ˈiː	ˈai̯	0.109
ˈiː	ˈœ	0.109
ˈiː	ˈɔ	0.109
ˈiː	ˈøː	0.109
ˈoː	ˈʊ	0.059
ˈu	ˈeː	0.149
ˈu	ˈœ	0.339
ˈɑ	ˈʊ	0.239
