Old Prussian	Old Prussian	probability
z	z	1.0
w	v	1.0
v	v	1.0
uː	ɯ	1.0
t	t	1.0
s_t	s_t	1.0
s_#>	#>	1.0
r	r	1.0
p_i	p	1.0
oːu̯	i	1.0
o_n	i	1.0
o_#>	#>	1.0
n_a	n	1.0
n_#>	#>	1.0
l	l	1.0
j	-	1.0
iː	-	1.0
i_s	ʊ	1.0
i_l	l_ɪ	1.0
eːi̯	-	1.0
eː	lʲ_ɑ	1.0
e_n	ɛ̃	1.0
d	d	1.0
b	b	1.0
aːu̯	u	1.0
aː	ɪ	1.0
ai̯	j_ɛ	1.0
a_ŋ	ɔ̃	1.0
a_s	ʊ	1.0
<#_v	<#	1.0
<#_s	<#_s	1.0
<#_m	<#_m	1.0
ɡ	ɡ	0.714
m	m	0.667
p	-	0.6
n	n	0.529
s	s	0.5
k	k	0.5
au̯	u	0.5
au̯	-	0.5
i	ɪ	0.467
o	ɔ	0.444
o	ɑ_ˈ	0.444
a	ɔ	0.444
p	p	0.4
i	-	0.4
u	ɯ	0.333
m	-	0.333
a	ʊ	0.333
s	x	0.3
n	-	0.294
ɡ	ʒ	0.286
e	ɛ_ˈ	0.278
k	ʧ	0.25
k	ʃ	0.25
u	ʊ	0.222
u	u	0.222
u	-	0.222
e	ʊ	0.222
e	-	0.222
a	-	0.222
s	ʊ	0.2
n	ɛ̃	0.176
e	ɛ	0.167
i	ʊ	0.133
o	a	0.111
e	i	0.111
