Icelandic	Faroese	probability
a	a	0.92
aːu̯	a	1.0
b̥	b̥	0.956
c	ʃ	0.642
c	ʧ	0.248
c	ʰʧ	0.11
cʰ	ʧʰ	0.711
cʰ	kʰ	0.289
d̥	d̥	0.915
d̥	ʤ̊	0.051
f	f	0.909
f	v	0.062
h	h	1.0
i	ɪ	1.0
j	-	0.411
j	j	0.407
j	ˈɛːa̯	0.074
k	k	1.0
kʰ	kʰ	0.962
l	l	0.92
l̥	l̥	0.664
l̥	l	0.336
m	m	0.969
n	n	0.971
nː	nː	1.0
n̥	n̥	0.883
n̥	n	0.117
p	p	0.599
p	w	0.227
p	ʰp	0.099
p	f	0.075
r	ɹ	0.973
rː̥	ɹː	1.0
r̥	ɹ	0.928
r̥	-	0.07
s	s	0.774
s	-	0.151
s	ʃ	0.075
sː	sː	1.0
t	t	0.844
t	ʰt	0.102
tʰ	tʰ	0.93
tʰ	ʧʰ	0.07
u	ʊ	0.68
u	-	0.32
v	v	0.892
ç	j	0.769
ç	h	0.213
ð	j	0.212
ð	t	0.189
ð	ʰt	0.189
ð	v	0.145
ð	w	0.135
ð	-	0.119
ŋ	ŋ	1.0
ɑu̯	ɛ	1.0
ɛ	ɪ	1.0
ɟ̊	ɡ̊	0.446
ɟ̊	ʤ̊	0.39
ɟ̊	ʧ	0.164
ɟ̊ː	ʤ̊ː	1.0
ɡ̊	ɡ̊	0.943
ɡ̊	-	0.057
ɡ̊ː	ɡ̊ː	1.0
ɣ	w	0.737
ɣ	v	0.193
ɣ	j	0.071
ɪ	ɪ	0.84
ɪ	a	0.12
ɲ	ɲ	1.0
ʏ	ʊ	0.967
ʰc	ʰʧː	1.0
ʰk	ʰkː	0.973
ʰp	ʰp	0.848
ʰp	ʰpː	0.152
ʰt	ʰtː	0.839
ʰt	ʰt	0.142
ˈa	ˈa	0.862
ˈa	ˈœ	0.066
ˈa	ˈɛ	0.058
ˈai̯	ˈa	0.549
ˈai̯	ˈɪ	0.32
ˈai̯	ˈøː	0.131
ˈau̯	ˈɔ	0.668
ˈau̯	ˈɛ	0.332
ˈaː	ˈɛːa̯	0.874
ˈaː	ˈɔ̯aː	0.089
ˈaːi̯	ˈøː	0.483
ˈaːi̯	ˈɛːa̯	0.435
ˈaːi̯	ˈɔ̯aː	0.082
ˈaːu̯	ˈɔ̯aː	1.0
ˈeːi̯	ˈɔːi̯	0.849
ˈeːi̯	ˈaːi̯	0.151
ˈi	ˈɪ	0.844
ˈi	ˈiː	0.156
ˈiː	ˈʊ̯iː	0.583
ˈiː	ˈʊ	0.258
ˈiː	ˈɪ	0.099
ˈou̯	ˈœ	0.607
ˈou̯	ˈɔ	0.393
ˈoːu̯	ˈɔːu̯	0.532
ˈoːu̯	ʊ	0.183
ˈoːu̯	ˈʊ̯iː	0.183
ˈoːu̯	-	0.086
ˈu	ˈʊ	0.808
ˈu	ˈʉːu̯	0.108
ˈu	ˈʏ	0.084
ˈuː	ˈʉːu̯	0.98
ˈœ	ˈɔ	0.359
ˈœ	ˈøː	0.306
ˈœ	ˈœ	0.303
ˈœː	ˈɛːi̯	0.662
ˈœː	ˈøː	0.184
ˈœː	ˈœ	0.154
ˈœːy̯	ˈɛːi̯	1.0
ˈɑu̯	ˈa	0.431
ˈɑu̯	ˈɔ	0.338
ˈɑu̯	ˈɛ	0.23
ˈɑːu̯	ˈɔ̯aː	0.926
ˈɑːu̯	a	0.074
ˈɔ	ˈɔ	0.657
ˈɔ	ˈoː	0.329
ˈɔu̯	ˈœ	0.942
ˈɔu̯	ˈɔ	0.058
ˈɔː	ˈoː	0.886
ˈɔː	ˈɔ	0.114
ˈɛ	ˈɛ	0.564
ˈɛ	ˈœ	0.116
ˈɛ	ˈeː	0.095
ˈɛ	-	0.073
ˈɛ	ˈøː	0.072
ˈɛi̯	ˈai̯	0.79
ˈɛi̯	ˈaːi̯	0.21
ˈɛː	ˈeː	0.615
ˈɛː	ˈɛːa̯	0.23
ˈɛː	ˈøː	0.079
ˈɛːi̯	ˈɔːi̯	0.272
ˈɛːi̯	ˈaːi̯	0.267
ˈɛːi̯	ˈiː	0.251
ˈɛːi̯	ˈai̯	0.211
ˈɪ	ˈɪ	0.873
ˈɪ	ˈiː	0.063
ˈɪ	ˈʏ	0.063
ˈɪː	ˈiː	0.894
ˈɪː	ˈeː	0.106
ˈʏ	ˈʊ	1.0
ˈʏː	ˈuː	0.877
ˈʏː	ˈʊ̯iː	0.076
θ	tʰ	0.79
θ	ʧʰ	0.21
