Swedish	Ripuarian	probability
a	ə	0.596
a	-	0.402
b	b	1.0
d	d	0.371
d	t	0.294
d	k	0.241
d	-	0.055
d	ʦ	0.034
e	ɐ	1.0
f	f	1.0
h	h	0.921
h	k	0.079
j	-	0.433
j	ˈɪ	0.159
j	ɕ	0.138
j	ˈɛː	0.12
j	ɣ	0.077
j_ˈʉː	ˈeː	1.0
jː	ɣ	1.0
k	ɕ	0.506
k	k	0.418
k	x	0.066
kʰ	k	0.903
kʰ	-	0.077
kː	ŋ_k	0.488
l	l	0.919
l	ə_l	0.065
l	l_ə	0.031
lː	l	1.0
m	m	0.971
m	n	0.04
mː	m	1.0
n	n	0.599
n	ŋ	0.21
n	-	0.165
n	n_t	0.034
nː	n	0.64
nː	ŋ	0.138
nː	l	0.138
nː	ˈaʊ̯	0.069
p	p	0.548
p	f	0.415
pʰ	f	1.0
pː	f	1.0
r	ʀ	0.372
r	ɐ	0.294
r	-	0.258
r	d_ɐ	0.072
r_a	ɐ	0.488
rː	ɕ	0.238
s	z	0.363
s	ʃ	0.285
s	s	0.262
s	-	0.068
s	ɕ	0.031
s_k	ʃ	1.0
sː	s	0.116
t	s	0.503
t	t	0.327
t	-	0.075
t	ʦ	0.061
t	d	0.042
tʰ	d	0.488
tʰ	ʦ	0.447
tʰ	b	0.058
tː	x	0.339
tː	s	0.312
tː	ɕ	0.213
tː	ʦ	0.122
v	ʋ	0.47
v	f	0.278
v	v	0.184
v	-	0.051
v_ɵ	p	1.0
ŋ	v	0.275
ŋ	ŋ	0.203
ŋ	-	0.177
ŋ	ɕ	0.154
ŋː	ŋ	1.0
ɕ	d	0.629
ɕ	k	0.361
ɖ	t	0.488
ɛ	-	0.449
ɛ	ɐ	0.437
ɛ	ə	0.102
ɡ	j	0.442
ɡ	ɕ	0.256
ɡ	-	0.097
ɡ	x	0.095
ɡ	ɣ	0.083
ɡː	k	0.803
ɡː	-	0.116
ɧ	ʃ	0.633
ɧ	z	0.347
ɪ	-	0.5
ɪ	ə	0.5
ɳ	n	0.758
ɳ	-	0.18
ɳː	n	0.488
ɵ	ə	0.488
ʈː	ʦ	1.0
ʊ	ŋ	0.574
ʊ	ˈeː	0.28
ˈa	ˈa	0.59
ˈa	ˈaː	0.185
ˈa	ˈɛː	0.108
ˈa	ˈɛ	0.108
ˈeː	ˈeː	0.499
ˈeː	ˈɛ	0.297
ˈeː	ˈe	0.099
ˈeː	ˈeɪ̯	0.049
ˈeː	ˈaː	0.04
ˈiː	ˈiː	0.461
ˈiː	ˈʏ	0.122
ˈiː	ˈɪ	0.122
ˈiː	ˈeɪ̯	0.122
ˈiː	-	0.09
ˈoː	ˈoː	0.472
ˈoː	ˈu	0.16
ˈoː	ˈɔ	0.092
ˈoː	ˈeː	0.092
ˈoː	ˈøː	0.072
ˈuː	ˈoː	0.845
ˈuː	ˈɔ	0.075
ˈuː	ˈaʊ̯	0.046
ˈuː	-	0.045
ˈyː	ˈyː	0.324
ˈyː	ˈeː	0.245
ˈyː	ˈøː	0.186
ˈyː	ˈiː	0.13
ˈyː	ˈɔʏ̯	0.057
ˈæ	ˈɛ	0.488
ˈæː	ˈɛː	0.382
ˈæː	ˈeː	0.123
ˈøː	ˈøː	0.199
ˈøː	ˈiː	0.199
ˈøː	ˈuː	0.187
ˈøː	ˈaʊ̯	0.111
ˈøː	ˈoː	0.086
ˈœ	ˈøː	0.272
ˈœ	ˈoː	0.237
ˈœ	ˈʏ	0.136
ˈœ	ˈo	0.136
ˈœ	-	0.095
ˈœː	ˈuː	0.37
ˈœː	ˈyː	0.18
ˈɑː	ˈa	0.499
ˈɑː	ˈaː	0.347
ˈɑː	-	0.083
ˈɑː	ˈɛː	0.062
ˈɔ	ˈɔ	0.464
ˈɔ	ˈaː	0.122
ˈɔ	ˈe	0.122
ˈɔ	ˈyː	0.082
ˈɔ	ˈɛ	0.059
ˈɛ	ˈɛ	0.16
ˈɛ	ˈɪ	0.147
ˈɛ	ˈe	0.147
ˈɛ	ˈɛː	0.139
ˈɛ	ˈeː	0.128
ˈɛː	ˈaː	0.265
ˈɛː	ˈɛ	0.265
ˈɛː	ˈɛː	0.161
ˈɛː	ˈeː	0.152
ˈɛː	ˈoː	0.076
ˈɪ	ˈe	0.429
ˈɪ	ˈɪ	0.307
ˈɪ	ˈa	0.087
ˈɪ	ʋ	0.087
ˈɪ	ʀ	0.062
ˈɵ	ˈɔ	0.217
ˈɵ	ˈo	0.189
ˈɵ	ˈœ	0.152
ˈɵ	ʋ_ˈɔ	0.152
ˈɵ	ˈuː	0.1
ˈʉː	ˈuː	0.281
ˈʉː	ˈeː	0.245
ˈʉː	ˈɔ	0.167
ˈʉː	ˈaʊ̯	0.096
ˈʉː	ˈiː	0.083
ˈʊ	ˈo	0.252
ˈʊ	ˈoː	0.22
ˈʊ	ˈʊ	0.22
ˈʏ	ˈœ	0.514
ˈʏ	ˈiː	0.232
ˈʏ	ˈɛ	0.1
ˈʏ	ˈʏ	0.061
