Swedish	Ripuarian	probability
a	ə	0.996
b	b	1.0
d	d	0.428
d	t	0.374
d	k	0.164
f	f	1.0
h	h	0.969
j	-	0.224
j	h	0.205
j	j	0.178
j	l	0.114
j	ɣ	0.088
j	ˈeː	0.054
j	ˈiː	0.053
jː	ɣ	1.0
k	ɕ	0.518
k	k	0.22
k	-	0.141
k	x	0.121
kʰ	k	0.956
kː	ŋ_k	0.674
kː	ɕ	0.248
kː	k	0.077
l	l	0.972
lː	l	1.0
m	m	0.842
m	n	0.158
mː	m	1.0
n	n	0.616
n	ŋ	0.322
n	-	0.062
nː	n	0.791
nː	ŋ	0.108
nː	ˈaʊ̯	0.066
p	f	0.706
p	p	0.294
pʰ	f	1.0
pː	f	0.848
pː	p	0.152
r	ɐ	0.556
r	ʀ	0.396
rː	ɕ	1.0
s	z	0.374
s	ʃ	0.348
s	s	0.24
sː	s	1.0
t	s	0.739
t	t	0.168
t	-	0.065
tʰ	d	0.606
tʰ	ʦ	0.334
tʰ	b	0.061
tː	s	0.422
tː	x	0.204
tː	ɕ	0.189
tː	ʦ	0.185
v	ʋ	0.556
v	f	0.226
v	v	0.174
ŋ	ɕ	0.423
ŋ	-	0.16
ŋ	v	0.148
ŋ	ŋ	0.134
ŋ	ɪ	0.134
ŋː	ŋ	1.0
ɔ	e	1.0
ɕ	k	0.784
ɕ	d	0.18
ɖ	t	1.0
ɛ	ɐ	0.572
ɛ	-	0.231
ɛ	ə	0.198
ɡ	j	0.507
ɡ	ɕ	0.253
ɡ	-	0.128
ɡ	x	0.075
ɡː	k	0.583
ɡː	-	0.344
ɡː	j	0.073
ɧ	ʃ	0.629
ɧ	z	0.329
ɪ	-	0.5
ɪ	ə	0.5
ɳ	n	0.859
ɳ	ɐ	0.141
ɳː	n	1.0
ɵ	ə	0.747
ɵ	-	0.253
ʂ	ʃ	1.0
ʈ	-	1.0
ʈː	ʦ	1.0
ʊ	ˈʏ	0.542
ʊ	ˈeː	0.276
ʊ	-	0.182
ˈa	ˈa	0.695
ˈa	ˈaː	0.111
ˈa	ˈɛː	0.109
ˈa	ˈɛ	0.085
ˈeː	ˈeː	0.429
ˈeː	ˈɛ	0.34
ˈeː	ˈeɪ̯	0.134
ˈeː	ˈe	0.057
ˈiː	ˈiː	0.371
ˈiː	ˈɪ	0.188
ˈiː	ˈeɪ̯	0.115
ˈiː	ˈe	0.095
ˈiː	ˈɛ	0.089
ˈiː	-	0.076
ˈiː	ˈyː	0.066
ˈoː	ˈoː	0.467
ˈoː	ˈu	0.096
ˈoː	ˈɔ	0.096
ˈoː	ˈeː	0.078
ˈoː	-	0.067
ˈoː	ˈa	0.067
ˈuː	ˈoː	0.633
ˈuː	ˈɔ	0.13
ˈuː	ˈɛː	0.12
ˈuː	ˈaʊ̯	0.075
ˈyː	ˈyː	0.403
ˈyː	ˈiː	0.266
ˈyː	ˈøʏ̯	0.176
ˈyː	ˈeː	0.092
ˈyː	ˈøː	0.063
ˈæ	ˈɛ	1.0
ˈæː	ˈeː	0.657
ˈæː	ˈɛː	0.343
ˈøː	ˈuː	0.266
ˈøː	ˈøː	0.25
ˈøː	ˈaʊ̯	0.099
ˈøː	ˈoː	0.094
ˈøː	ˈiː	0.085
ˈøː	ˈɛː	0.074
ˈøː	ˈoʊ̯	0.057
ˈœ	ˈoː	0.342
ˈœ	ˈøː	0.229
ˈœ	ɪ	0.112
ˈœ	ˈe	0.088
ˈœ	ˈɔ	0.088
ˈœː	ˈyː	0.897
ˈœː	ˈuː	0.103
ˈɑː	ˈaː	0.506
ˈɑː	ˈa	0.366
ˈɑː	-	0.089
ˈɔ	ˈɔ	0.294
ˈɔ	ˈyː	0.275
ˈɔ	ˈu	0.154
ˈɔ	ˈaː	0.09
ˈɔ	ˈʊ	0.09
ˈɔ	ˈe	0.059
ˈɛ	ˈɛ	0.183
ˈɛ	ˈœ	0.173
ˈɛ	ˈɪ	0.133
ˈɛ	ˈeː	0.128
ˈɛ	ˈɛː	0.101
ˈɛ	ˈe	0.087
ˈɛ	ˈaː	0.077
ˈɛ	ˈeɪ̯	0.06
ˈɛː	ˈɛː	0.328
ˈɛː	ˈaː	0.317
ˈɛː	ˈɛ	0.186
ˈɛː	ˈoː	0.085
ˈɛː	ˈeː	0.084
ˈɪ	ˈe	0.412
ˈɪ	ˈɪ	0.371
ˈɪ	ˈa	0.088
ˈɪ	ʀ	0.065
ˈɪ	ʋ	0.064
ˈɵ	ˈo	0.245
ˈɵ	ˈuː	0.161
ˈɵ	ˈœ	0.14
ˈɵ	ˈɔ	0.12
ˈɵ	ˈʊ	0.101
ˈɵ	ˈɪ	0.093
ˈɵ	ʋ_ˈɔ	0.063
ˈʉː	ˈeː	0.33
ˈʉː	ˈuː	0.203
ˈʉː	-	0.138
ˈʉː	ˈaʊ̯	0.069
ˈʉː	ˈɔ	0.06
ˈʉː	ˈʏ	0.059
ˈʉː	ˈɪ	0.059
ˈʊ	ˈo	0.644
ˈʊ	ˈoː	0.25
ˈʊ	ˈʊ	0.106
ˈʏ	ˈœ	0.52
ˈʏ	ˈiː	0.244
ˈʏ	ˈaʊ̯	0.137
ˈʏ	ˈʏ	0.066
