Catalan	Catalan	probability
β_ə	b_a	1.0
ˈɛ_ʎ	e	1.0
ˈɛ_r	ˈɛ_r	1.0
ˈo_#>	ˈo_n_e_#>	1.0
ˈi_t	ˈɛ_tː	1.0
ˈi_#>	ˈi_r_e_#>	1.0
ˈe_j	ˈe	1.0
ˈa_#>	ˈa_r_e_#>	1.0
ʤ	-	1.0
ʎː	ʎː	1.0
ʎ_ˈo	l_ˈu	1.0
ʎ_#>	lː_o_#>	1.0
ʃ	ʃː	1.0
ɾ_ˈɛ	r_ˈe	1.0
ɾ_ˈa	r_ˈa	1.0
ɾ_ə	r_o	1.0
ə_ɣ	i_k	1.0
ə_s	e	1.0
ə_n	e_n	1.0
ə_#>	#>	1.0
ð_ə	t_a	1.0
ð	t	1.0
w_ˈa	w_ˈa	1.0
u_m	o_m	1.0
s_#>	j_#>	1.0
r_k	r_k	1.0
r_#>	r_o_#>	1.0
p_i	pː	1.0
p	p	1.0
n_d	n_e	1.0
n	n	1.0
mː	tː_i	1.0
m_#>	m_e_#>	1.0
l_#>	l_o_#>	1.0
j_t	tː_o	1.0
j	-	1.0
d	d	1.0
b_ə	v_i	1.0
a	a	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#_l	1.0
<#_t	<#_t	1.0
<#_s	<#_ʧ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
f	f	0.96
m	m	0.938
ˈi	ˈi	0.903
k	k	0.887
ʒ	ʤ	0.875
r	r	0.875
ɡ	ɡ	0.857
ɾ	r	0.824
ɲ	ɲː	0.818
u	o	0.8
ˈa	ˈa	0.786
ʧ	-	0.75
s	s	0.75
i	i	0.75
ə	a	0.746
ɣ	ɡ	0.714
n_#>	n_t_o_#>	0.667
t	t	0.636
ŋ	ŋ	0.625
ˈe	ˈɛ	0.622
#>	o_#>	0.622
ˈu	ˈu	0.6
<#_ə	<#	0.6
ˈo	ˈo	0.571
l	l	0.556
b	v	0.545
ˈɛ	ˈe	0.5
z	z	0.5
z	-	0.5
<#	<#_u	0.5
<#	<#_l	0.5
ˈɔ	ˈɔ	0.487
b	b	0.455
β	v	0.444
β	p	0.444
ʎ	ʎː	0.412
<#_ə	<#_a	0.4
ŋ	ŋ_ɡ	0.375
n_#>	n_t_e_#>	0.333
l	j	0.333
#>	e_#>	0.306
ʎ	kː_j	0.294
ɣ	-	0.286
ˈɛ	ˈɛ	0.281
ˈu	ˈɔ	0.267
ʧ	ʣː	0.25
i	-	0.25
t	tː	0.242
ˈɔ	ˈo	0.231
ˈɔ	w_ˈɔ	0.231
ˈe	ˈe	0.216
ˈo	ˈo_r	0.19
ɲ	nː	0.182
ʎ	lː	0.176
ə	e	0.167
ˈa	ˈa_n	0.161
w	v_e	0.148
ˈo	ˈu	0.143
ɡ	k	0.143
ʒ	j	0.125
r	rː	0.125
ʎ	o	0.118
β	p_e	0.111
w	ʦː_o	0.111
w	e	0.111
w	-	0.111
l	lː	0.111
ˈe	ˈa	0.108
u	ˈo	0.1
u	-	0.1
ˈi	ˈɛ	0.097
ˈo	ˈɔ	0.095
ˈɛ	j_ˈɛ	0.094
t	-	0.091
k	kː	0.075
w	ˈɔ_v	0.074
w	ˈe	0.074
w	ʧ_e	0.074
w	w	0.074
w	o	0.074
w	d_e	0.074
w	b_e	0.074
s	ʧː	0.071
s	sː	0.071
s	i	0.071
ˈu	ˈu_r	0.067
ˈu	ˈo	0.067
ˈɛ	ˈo_ʧ	0.062
ˈɛ	e_d	0.062
m	-	0.062
ɾ	e_r	0.059
ɾ	e	0.059
ɾ	-	0.059
ˈe	-	0.054
ˈa	ˈa_d	0.054
ˈɔ	w	0.051
