Swabian	Swabian	probability
ˈʌ	ˈœ_ʀ	1.0
ˈɪ	-	1.0
ˈəi̯_d	ˈi_d̥	1.0
ˈəi̯	ˈi	1.0
ˈuː	-	1.0
ˈu	-	1.0
ˈeə̯	-	1.0
ʦ	t	1.0
ʣ	t	1.0
ʕ	ʀ	1.0
ʋ_ˈo	ˈʊ	1.0
ʃ_ʋ	s	1.0
ʃ_d	s_t	1.0
ʁ	ʀ	1.0
ɪ	-	1.0
ɡ_a	nʲ	1.0
ɡ_#>	#>	1.0
ŋ	ŋ	1.0
ç	k	1.0
t	d̥	1.0
l_d	lʲ	1.0
l	l	1.0
kʰ	k	1.0
i	i	1.0
h	h	1.0
f_#>	v_ə_n_#>	1.0
eə̯	ɛi̯	1.0
e	-	1.0
d_ʁ	d_ʀ	1.0
d_#>	#>	1.0
b_ˈɛ	b	1.0
b_#>	v̥_#>	1.0
a	ə	1.0
<#_ˈa	<#	1.0
<#_ʁ	<#_ʀ	1.0
<#_kʰ	<#	1.0
#>	ˈʏ_#>	1.0
m	m	0.905
ʋ	v	0.9
n	n	0.852
b	b	0.762
ˈe	-	0.714
ʌ	ə_ʀ	0.7
ˈiə̯	ˈiː	0.667
x	x	0.667
n_d	n_ə	0.667
f	f	0.655
ˈɔe̯	ˈiː	0.636
ˈoː	-	0.636
ʃ	ʃ	0.632
ˈɛː	-	0.6
ˈiː	-	0.6
ˈaː	-	0.6
s	s	0.591
ˈɔː	ˈɔː	0.5
ˈɔː	-	0.5
ˈɔ	ˈɔː	0.5
ˈɔ	ˈɔ	0.5
ˈeː	ˈiː	0.5
ˈeː	ˈi	0.5
ˈo	ˈʊ	0.467
ˈuə̯	ˈœ	0.444
ˈae̯	-	0.444
ˈao̯	ˈʏ	0.438
ˈɛː	ˈɛi̯	0.4
ˈiː	ˈiː	0.4
ˈi	ˈi	0.385
ˈi	-	0.385
ɡ	ɡ	0.379
ʃ	s	0.368
ˈoː	ˈyː	0.364
d	d	0.34
ˈuə̯	-	0.333
ˈo	-	0.333
ˈiə̯	ˈɛ	0.333
ˈae̯	ˈiː	0.333
x	k	0.333
n_d	nʲ	0.333
ˈao̯	ˈuː	0.312
ʌ	ʀ	0.3
d	t	0.298
ˈe	ˈeː	0.286
f	p	0.276
ˈao̯	-	0.25
ˈi	ˈa	0.231
ˈɛ	ˈɛː	0.222
ˈɛ	-	0.222
ˈuə̯	ˈɛ	0.222
ˈae̯	ˈi	0.222
ˈo	ˈʏ	0.2
ˈaː	ˈɛi̯	0.2
ˈaː	ˈɒː	0.2
ˈa	ˈʊ	0.192
ˈɔe̯	ˈiː_nʲ	0.182
ˈɔe̯	-	0.182
ˈɛ	ˈɒ	0.167
ˈɛ	ˈeː	0.167
s	tʲ	0.159
ˈa	ˈɒː	0.154
ˈa	ˈɒ	0.154
ˈa	ˈeː	0.154
b	v	0.143
ɡ	k	0.138
ɡ	j	0.138
s	t	0.136
d	d̥	0.128
d	dʲ	0.128
ˈa	ˈœ	0.115
ˈa	ˈuː	0.115
ˈa	-	0.115
ˈɛ	ˈa	0.111
ˈɛ	j_ˈa	0.111
ʋ	-	0.1
m	-	0.095
b	-	0.095
n	ˈi	0.074
n	-	0.074
ɡ	ŋ	0.069
ɡ	x	0.069
ɡ	j_ə	0.069
ɡ	d	0.069
ɡ	-	0.069
f	v̥	0.069
s	z	0.068
d	n	0.064
