Brazilian Portuguese	Bellunese	probability
e	e	1.0
f	f	1.0
j	-	1.0
k	k	1.0
l	l	1.0
m	m	1.0
n	n	1.0
p	p	1.0
t	t	1.0
v	v	1.0
w̃	ŋ	1.0
z	z	1.0
ɡ	ɡ	1.0
ɦ	-	1.0
ʒ	ð	1.0
ʤ	d	1.0
ʧ	-	1.0
ˈa	ˈa	1.0
ˈi	ˈi	1.0
ˈĩ	ˈi	1.0
ˈõ	ˈo	1.0
d	-	0.071
i	o	0.471
j̃	n	0.271
ɾ	r	0.861
ˈɐ̃	ˈa	0.931
ˈɔ	ˈɔ	0.201
ˈɛ	ˈɛ	0.731
a	ˈa	0.163
a	a	0.563
b	v	0.33
d	t	0.113
h	r	0.883
o	-	0.203
ˈẽ	ˈe_ŋ	0.103
ˈo	ˈo	0.723
ˈu	ˈu	0.83
a	-	0.274
j̃	ŋ	0.634
s	θ	0.404
w	-	0.124
w	o	0.174
w	w	0.234
ɐ	n_a	0.104
ˈe	e	0.14
b	b	0.485
j̃	-	0.095
u	-	0.05
ʎ	ʧ	0.495
ʎ	j	0.505
b	-	0.186
s	s	0.596
u	o	0.86
d	d	0.817
h	e_r	0.117
o	o	0.797
ɐ	-	0.137
ˈe	ˈe	0.77
ˈẽ	ˈe	0.897
ˈo	ˈɔ	0.277
ˈu	ˈo	0.17
w	l	0.468
ʃ	s	0.848
i	e	0.529
u	o_l	0.09
ɐ	a	0.759
ɾ	-	0.139
ʃ	j	0.129
ˈe	ˈi	0.089
ˈɐ̃	ˈa_ŋ	0.069
ˈɔ	ˈo	0.799
ˈɛ	j_ˈe	0.269
