Bulgarian	Lower Sorbian	probability
b	b	1.0
f	v_ɨ	1.0
i	ˈɨ	1.0
j	-	1.0
l	l	1.0
lʲ	l	1.0
mʲ	mʲ	1.0
s	s	1.0
u	ˈu	1.0
vʲ	vʲ	1.0
z	z	1.0
ʃ	ʂ	1.0
ʒ	ʐ	1.0
ʧ	ʦ	1.0
ˈu	ˈu	1.0
p	p	0.711
t	ʨ	0.101
x	x_ɨ	0.201
ɡ	ɡ	0.951
ˈɔ	ˈɛ	0.351
ˈɛ	e	0.081
ˈɛ	ˈɛ	0.121
ˈɤ	ˈu	0.161
d	d	0.672
o	ˈɛ	0.412
p	pʲ	0.242
t	t	0.572
v	vʲ	0.622
ɐ	a	0.262
ɛ	ɨ	0.112
ˈi	ˈɨ	0.272
d	ʑ	0.313
m	mʲ	0.233
o	ɔ	0.483
ɐ	-	0.713
ɛ	ˈa	0.053
ɛ	ˈɔ	0.063
ɛ	ɛ	0.183
ɛ	ˈe	0.223
ɫ	-	0.073
ɫ	d_w	0.073
ˈi	ˈi	0.433
ˈɛ	ˈɔ	0.063
ˈɛ	-	0.073
k	kʲ_i	0.134
n	ɲ	0.434
r	rʲ	0.244
ɫ	w	0.584
ˈa	ˈa	0.204
o	ˈɔ	0.105
ɛ	e	0.095
ʦ	<#_j	0.095
ˈa	ˈɔ	0.185
ˈa	ˈɪ	0.285
ˈi	i	0.295
ˈɛ	ˈe	0.25
ˈɤ	ˈe	0.225
k	k	0.866
r	ʂ	0.076
ˈa	a	0.326
ˈɤ	ˈa	0.296
m	m	0.767
n	n	0.507
t	ɕ	0.327
ʦ	ʦ	0.817
ˈɔ	ɔ	0.27
v	v	0.368
ɛ	ɔ	0.08
ʦ	<#_v	0.088
ˈɛ	ˈɪ	0.138
ˈɛ	ˈa	0.238
n	n_ɨ	0.059
r	r	0.669
x	x	0.799
ɛ	ˈɪ	0.19
ɫ	l	0.269
ˈɔ	ˈɔ	0.379
ˈɤ	ˈɔ	0.189
