Campidanese	Campidanese	probability
ˈɔ_n	ˈɔ_n	1.0
ˈo_ɣ	ˈɔ_k	1.0
ˈa_ɾ	ˈa	1.0
ˈa_ð	ˈa	1.0
ˈa_i_#>	ˈa_#>	1.0
ɾ_ˈo	ˈɔ_r	1.0
ɾ_i	e	1.0
ɲ	ɲ	1.0
ɖː	lː	1.0
ɔ̆	-	1.0
ɔ_z	i	1.0
ɔ	u	1.0
ŋ	ŋ	1.0
z_u	z_u	1.0
z	-	1.0
w	w	1.0
u_f	fː	1.0
s_u	sː_u	1.0
p	p	1.0
o	r	1.0
n_ʤ	ɲ	1.0
n_u	n_u	1.0
m_i	m_u	1.0
l_i	l_e	1.0
k_ɾ	c	1.0
i_n	e	1.0
i_#>	#>	1.0
f	f	1.0
e	-	1.0
d	d	1.0
ă	-	1.0
a_ɾ	a_r	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_d	<#	1.0
<#_a_r	<#_r	1.0
<#_a	<#_a	1.0
#>	e_#>	1.0
m	m	0.969
ˈa	ˈa	0.956
a	a	0.95
l	l	0.931
ð	t	0.929
s	s	0.875
k	k	0.868
n	n	0.842
u	u	0.781
ɡ	ɡ	0.778
ɾ	r	0.755
ʒ	ʧ	0.727
ˈɔ	ˈɔ	0.724
ʤ	ɟ	0.714
ɛ	e	0.714
z_ŭ_#>	#>	0.714
ʧ	ʧ	0.7
ʃ	-	0.667
ɭː	ʎ	0.667
ˈɛ	ˈɛ	0.629
ˈi	ˈi	0.605
t	t	0.605
nː	nː	0.6
ˈu	ˈu	0.595
ˈo	ˈɔ	0.562
i	e	0.539
ˈe	ˈɛ	0.5
ˈe	ˈe	0.5
ʦ	t	0.5
ʦ	-	0.5
ɣ	k	0.5
j	j	0.5
j	-	0.5
b	v	0.5
b	b	0.444
β	p	0.429
r	r_n	0.429
nː	n	0.4
t	tː	0.342
ʃ	ʃ	0.333
ɭː	lː	0.333
ˈɛ	ˈe	0.314
ʧ	-	0.3
ˈu	ˈɔ	0.297
β	v	0.286
β	p_r	0.286
ʤ	-	0.286
ɛ	-	0.286
z_ŭ_#>	j_#>	0.286
r	rː	0.286
r	r	0.286
ˈi	ˈɛ	0.279
ɣ	c	0.278
ˈo	ˈo	0.25
i	i	0.224
ɣ	-	0.222
ɡ	-	0.222
ˈɔ	ˈo	0.207
ˈo	-	0.188
ʒ	-	0.182
n	-	0.158
k	kː	0.132
ɾ	j	0.122
ɾ	-	0.122
ˈu	ˈo	0.108
ʒ	ʒ	0.091
s	-	0.075
ð	dː	0.071
ˈi	ˈe	0.07
ˈɔ	-	0.069
l	-	0.069
u	a	0.062
ˈɛ	-	0.057
b	v_i	0.056
t	-	0.053
i	d_e	0.053
