Old Frisian	Proto-Germanic	probability
θ	θ	1.0
ˈu	ˈu	1.0
ˈi_n	ɑi̯	1.0
ˈe_t	ˈɑ_t	1.0
ˈaː_j	jː	1.0
ˈa	ˈɑ	1.0
ʦ	k	1.0
ʣ	ɣ	1.0
ɡː	ɣ_j	1.0
ə_x	ɑ_ɣ	1.0
ŋ	ŋ	1.0
ð	θ	1.0
z	s	1.0
w	w	1.0
v	β	1.0
tː	tː	1.0
t	t	1.0
s_ˈe	s_ˈe	1.0
s	s	1.0
r_x	r_ɣ	1.0
r_s	sː	1.0
r_n	r_n	1.0
r_d	r_ð	1.0
pː	p	1.0
nː	nː	1.0
n_ə	n_i	1.0
mː	mː	1.0
m	m	1.0
lː	lː	1.0
kː	kː	1.0
k_s	x_s	1.0
iː	-	1.0
i	i	1.0
h_w	xʷ	1.0
h	x	1.0
dː	ð_j	1.0
bː	β_j	1.0
b	b	1.0
a	ɑ_n	1.0
p	p	0.947
l	l	0.938
n	n	0.932
ˈi	ˈi	0.924
k	k	0.91
ɡ	ɡ	0.908
ˈi̯aː	ˈeu̯	0.875
r	r	0.867
f	ɸ	0.861
ˈuː	ˈuː	0.822
x	x	0.801
ˈoː	ˈɔː	0.784
ɣ	ɣ	0.769
ˈo	ˈu	0.709
j	ɣ	0.705
ˈɛː	ˈɑi̯	0.688
ˈaː	ˈɑu̯	0.678
ˈiː	ˈiː	0.67
e	-	0.531
d	ð	0.512
ə_n	u_n	0.5
ə_n	n	0.5
ˈɔː	ˈu	0.471
ə_r	r	0.471
e	ɑ	0.469
ˈe	ˈe	0.434
ˈɔː	ˈɑ	0.379
ˈi̯uː	ˈe	0.376
ˈi̯uː	-	0.353
ˈe	ˈɑ	0.35
d	d	0.339
ˈiː	-	0.33
ˈeː	ˈɛː	0.297
ˈo	-	0.291
ə	ɑ_n	0.281
ˈi̯uː	ˈiu̯	0.271
ə_r	r_ɑ	0.264
ə_r	r_u	0.264
ɣ	-	0.231
ˈɛː	ˈɑu̯	0.223
ˈoː	ˈɑ_n	0.216
ˈe	ˈu	0.216
x	ɣ	0.199
ˈeː	ˈɔː	0.195
ˈaː	ˈɑi̯	0.191
ˈuː	ˈu	0.178
ˈeː	ˈe	0.162
ˈɔː	ˈɛː	0.15
ˈeː	ˈɑ	0.15
f	β	0.139
ˈaː	ˈɑ_x	0.131
j	j	0.13
ˈi̯aː	ˈe_xʷ	0.125
ˈeː	-	0.107
ə	ɛː	0.105
ə	ɔːː	0.099
ə	ɔː	0.099
d	θ	0.099
ɡ	ɡʷ	0.092
k	kʷ	0.09
ˈɛː	ˈɑi̯_w	0.089
ə	i	0.087
ə	ɔ̃ː	0.085
j	ɑː	0.083
j	-	0.083
r	-	0.08
n	-	0.068
l	ɑ_l	0.062
ə	u	0.059
ə	ɑ	0.057
ə	e	0.055
p	pː	0.053
ˈi	-	0.05
d	θ_i	0.05
