Megleno-Romanian	Megleno-Romanian	probability
ˈɛ	-	1.0
ʧ	k	1.0
ʤ	ɡ	1.0
ʒ	j	1.0
ɲ	-	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
v	w	1.0
t_#>	t_ʊ̃ː_#>	1.0
r_ə	r_ãː	1.0
r_n	r_n	1.0
r_#>	ɫ_ʊ̃ː_#>	1.0
p_t	k_t	1.0
p_#>	p_ʊ̃ː_#>	1.0
n_#>	n_ʊ̃ː_#>	1.0
m	m	1.0
kʲ	p	1.0
k_#>	k_ʊ̃ː_#>	1.0
j_n	n	1.0
i_r	ɛ_r	1.0
f	f	1.0
e	ɛ̃ː	1.0
d	d	1.0
b	b	1.0
a	-	1.0
<#_ˈi	<#_f_ˈiː	1.0
<#_ˈa	<#_ˈa	1.0
<#_w	<#	1.0
<#_t	<#_t	1.0
<#_p	<#_p	1.0
<#_l	<#_ɫ	1.0
<#_k	<#_k	1.0
<#_j	<#	1.0
t	t	0.933
s	s	0.895
<#_n	<#_n	0.833
r	r	0.812
n	n	0.773
p	p	0.75
#>	ʊ̃ː_#>	0.7
ˈo	ˈɔ	0.667
ə	ãː	0.667
z	d	0.667
l	ɫ	0.667
e̯ˈa	ˈɪ	0.667
k	k	0.615
i	ɛ̃ː	0.615
ʃ	s	0.6
w	w	0.6
ʦ	k	0.571
ˈa	ˈa	0.562
ˈu	ˈʊ	0.524
ˈɔ	ˈaː	0.5
ˈɔ	ˈa	0.5
ˈi	ˈiː	0.5
o̯ˈa	ˈɔ	0.5
o̯ˈa	ˈoː	0.5
j	-	0.5
ˈe	ˈɛ	0.429
ʃ	s_i	0.4
w	-	0.4
ˈi	ˈɛ	0.375
z	ɡ	0.333
l	lʲː	0.333
j	w	0.333
e̯ˈa	-	0.333
ˈe	ˈɪ	0.286
ʦ	t	0.286
ʎ	ʊ	0.286
ʎ	ɫ	0.286
u	ɫ_ʊ̃ː	0.286
ˈa	ˈɛ	0.281
p	kʷ	0.25
k	kː	0.231
ˈe	-	0.214
ˈu	ˈuː	0.19
j	ĩː	0.167
<#_n	<#	0.167
ˈa	ˈaː	0.156
k	-	0.154
i	ɛ	0.154
ˈu	ˈɔ	0.143
ˈu	ˈu	0.143
ʦ	kʷ	0.143
ʎ	ʊ_ɫ	0.143
ʎ	lʲ_i	0.143
ʎ	lʲ	0.143
u	ʊ̃ː	0.143
u	ʊ	0.143
u	ɔ	0.143
u	oː	0.143
u	i_ʊ̃ː	0.143
ə	a	0.139
n	ŋ	0.136
#>	ãː_#>	0.133
ˈi	-	0.125
ˈo	ˈɛ	0.111
ˈo	ˈu	0.111
ˈo	-	0.111
ə	ɛ̃ː	0.111
s	sː	0.105
i	ɪ	0.103
#>	ɛ̃ː_#>	0.1
r	ɫ	0.094
n	nː	0.091
ə	-	0.083
ˈe	ˈae̯	0.071
t	tʰ	0.067
#>	s_#>	0.067
r	b	0.062
i	eː	0.051
i	-	0.051
