Western Lombard	Sassarese	probability
ˈɔ_s	ˈɔ_sː	1.0
ˈɔ_l	ˈa_ɬ	1.0
ˈɑː	ˈa	1.0
ˈœ	ˈo	1.0
ˈøː	ˈɔ	1.0
ˈỹ	ˈu_n	1.0
ˈy	ˈo	1.0
ˈoː	ˈɔ	1.0
ˈo	ˈɔ	1.0
ˈĩ	ˈi_n	1.0
ˈa	ˈa	1.0
ʤ	ʤ	1.0
ɲ	ɲː	1.0
y	u	1.0
w	w	1.0
l_s	ʦː	1.0
k_ˈu	k_ˈɔ	1.0
ẽ	a_n	1.0
e_r	r_u	1.0
d_ˈu	d_ˈo	1.0
p	p	0.949
a	a	0.948
u	u	0.829
ˈiː	ˈi	0.825
ˈyː	ˈu	0.822
n	n	0.817
b	b	0.793
f	f	0.774
m	m	0.773
ˈuː	ˈo	0.752
i	i	0.718
ˈɛ	ˈɛ	0.714
ˈeː	ˈe	0.714
r	r	0.696
d	d	0.696
ˈũ	ˈo_n	0.661
z	-	0.661
k	k	0.65
ˈã	ˈa_n	0.632
e	i	0.63
ˈẽ	ˈɛ_n	0.608
ʒ	-	0.569
ˈe	ˈe	0.56
ˈɔ	ˈɔ	0.55
ˈi	ˈu	0.508
t	t	0.508
j	j	0.495
ˈi	ˈi	0.492
ɡ	ɡ	0.485
v	v	0.482
ˈu	ˈɔ	0.469
ˈe	ˈɛ	0.44
ʧ	tː	0.439
ʒ	ʤ	0.431
ˈẽ	ˈɛ	0.392
ʧ	ʧː	0.381
j	ʎː	0.377
l	r	0.37
ˈã	ˈa_ŋ	0.368
ˈũ	ˈɔ_n	0.339
z	z	0.339
ˈɔ	ˈo	0.296
ˈɛ	ˈe	0.286
ˈeː	ˈɛ	0.286
e	a	0.285
ˈu	ˈu	0.283
i	u	0.282
v	β	0.278
s	ʦ_i	0.272
ɡ	-	0.267
t	dː	0.252
ɡ	ɡː	0.249
ˈuː	ˈɔ	0.248
ˈu	ˈo	0.248
l	r_u	0.245
m	mː	0.227
d	dː	0.221
l	dː_u	0.208
b	-	0.207
ʧ	ʧ	0.18
ˈyː	ˈo	0.178
ˈiː	-	0.175
u	i	0.171
t	tː	0.162
ˈɔ	ˈa	0.154
v	bː	0.151
j	-	0.128
n	nː	0.122
k	ɡː	0.121
s	ʦː	0.115
s	ʃː	0.115
s	sː	0.115
r	rː	0.11
s	ɬ	0.108
s	ʦ	0.095
f	β	0.092
v	-	0.09
l	lː	0.089
l	dː	0.089
d	-	0.083
f	β_i	0.079
r	j	0.074
k	kː	0.07
k	xː	0.068
s	j	0.064
r	-	0.061
n	i	0.061
t	tː_i	0.058
e	-	0.057
f	fː	0.055
p	pː	0.051
