Neapolitan	Neapolitan	probability
ˈɔ_v	w	1.0
ˈu_j	ˈoː_s	1.0
ˈi_n	ˈeː_n	1.0
ˈe_k	ˈiː_k	1.0
ʧ	k	1.0
ʦː	t_i	1.0
ʦ	t	1.0
ʤː	ɡ	1.0
ʎː	lʲ_i	1.0
ʃ_ə	k_ɛ̃ː	1.0
ʃ_p	s_p	1.0
ʃ_k	s_k	1.0
ɾ_ə	r_ʊ̃ː	1.0
ɾ_t	r_t	1.0
ɾ_n	r_n	1.0
ɲ	-	1.0
ə_ɾ	ɛ_r	1.0
ə_n	ɛ_n	1.0
ə_l	ɛ_ɫ	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
z	s	1.0
w_ˈɔ	ˈɔ	1.0
v_j	w	1.0
u_t	t	1.0
t_ɾ	t_r	1.0
s	s	1.0
rː	rː	1.0
r_k	r_k	1.0
r	r	1.0
p_ˈu	p_ˈʊ	1.0
p	p	1.0
m	m	1.0
lː	lʲː	1.0
kː_ə	kː_ãː	1.0
kː	k_ʊ	1.0
k_ɾ	k_r	1.0
k_j	p_ɫ	1.0
j_ˈɛ	ˈɛ	1.0
j_ˈe	ɡ_ˈɛ	1.0
j_ə	ɫ_ʊ̃ː	1.0
i_#>	iː_#>	1.0
fː	fː	1.0
f	f	1.0
e	-	1.0
dː	ɡ_ɪ_d	1.0
d	d	1.0
bː	b	1.0
b	b	1.0
<#_ˈa	<#_ˈa	1.0
<#_w	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_ɫ	1.0
<#_a	<#	1.0
#>	s_#>	1.0
t	t	0.971
n	n	0.955
k	k	0.909
ˈɛ	ˈɛ	0.85
mː	m	0.833
ɡ	ɡ	0.778
l	ɫ	0.778
w	-	0.75
v	w	0.704
ɾ	r	0.7
ˈɔ	ˈɔ	0.684
a	a	0.667
<#	<#_h	0.667
ʃː	s_k	0.6
sː	sː	0.6
tː	k_t	0.583
ˈi	ˈiː	0.538
ˈu	ˈuː	0.5
ˈa	ˈa	0.5
ʤ	ɡ	0.5
ʃ	k	0.5
u	ʊ	0.5
u	ɔ	0.5
o	ʊ̃ː	0.5
o	-	0.5
ˈo	ˈoː	0.471
j	ɫ	0.462
i	ɪ	0.462
ˈe	ˈɪ	0.444
nː	n	0.429
ʃː	k	0.4
sː	p_s	0.4
ˈe	ˈeː	0.389
ɲː	ŋ_ɡ	0.375
ɲː	n_i	0.375
ə	ʊ̃ː	0.367
<#	<#_ɡ	0.333
ˈa	ˈaː	0.306
ˈo	ˈʊ	0.294
ˈu	ˈʊ	0.289
nː	nː	0.286
nː	n_d	0.286
ə	ãː	0.284
v	b	0.259
ˈi	ˈɪ	0.256
ʤ	j	0.25
ʤ	-	0.25
ɾ	d	0.25
ɲː	n_e	0.25
w	ɫ	0.25
tː	tː	0.25
a	aː	0.238
j	d_i	0.231
i	ɛ	0.231
ɡ	ɡʷ	0.222
l	lʲ	0.222
ˈɔ	ˈau̯	0.211
ə	ɛ̃ː	0.197
ʃ	s	0.167
ʃ	kʷ	0.167
ʃ	f_ɫ	0.167
tː	t	0.167
mː	mː	0.167
ˈu	ˈoː	0.158
j	ˈɛ	0.154
j	j	0.154
i	eː	0.154
i	-	0.154
ˈa	ˈaː_r	0.129
ˈo	ˈɔ	0.118
ˈo	-	0.118
ˈe	ˈɛ	0.111
ˈɔ	w	0.105
ˈɛ	ˈeː	0.1
a	-	0.095
k	kʷ	0.091
ˈi	ˈiː_r	0.077
ˈi	-	0.077
ə	ɛ	0.064
ˈe	ˈoe̯	0.056
ˈu	-	0.053
ˈi	ˈeː	0.051
