Russian	Czech	probability
b	b	1.0
bʲ	b	1.0
d	d	1.0
j	iː	1.0
lʲ	l	1.0
m	m	1.0
n	n	1.0
p	p	1.0
pʲ	p	1.0
r	r	1.0
s	s	1.0
sʲ	s	1.0
t	t	1.0
v	v	1.0
x	x	1.0
z	z	1.0
zʲ	z	1.0
ɐ	ˈo	1.0
ɡ	ɦ	1.0
ʂ	ʃ	1.0
ʊ	ˈu	1.0
ʐ	ʒ	1.0
ˈæ	ˈɛ	1.0
ˈɛ	ˈɛ	1.0
ˈɵ	ˈɛ	1.0
k	k	0.941
rʲ	r̝̊	0.21
tʲ	c	0.211
vʲ	v_j	0.631
ə	ˈaː	0.091
ə	a	0.261
ʨ	ʧ	0.681
ˈi	ɪ	0.251
dʲ	ɟ	0.112
ə	ɛ	0.22
ɪ	ˈɛ	0.512
ɫ	l	0.922
ˈe	ɛ	0.172
ˈe	ˈɛ	0.642
ˈo	ˈa	0.072
mʲ	m	0.903
nʲ	ɲ	0.303
ɪ	ɛ	0.293
ˈu	ˈou̯	0.473
ˈa	a	0.684
ˈe	ˈiː	0.144
ˈo	ˈɛː	0.054
ˈɨ	ˈɪ	0.84
ɪ	-	0.195
ˈo	ˈuː	0.25
ˈa	ˈa	0.226
ˈo	ˈo	0.406
ˈɨ	ˈiː	0.16
mʲ	m̩	0.097
nʲ	n	0.697
ʦ	ʦ	0.47
ˈo	ˈɛ	0.077
ˈu	ˈu	0.527
dʲ	d	0.888
ə	o	0.428
ɫ	d_l	0.078
k	x	0.059
rʲ	r̝	0.79
tʲ	t	0.789
vʲ	v	0.369
ʦ	-	0.49
ʨ	ʦ	0.319
ˈa	ɛ	0.09
ˈi	ˈɪ	0.749
