Alsatian	Alsatian	probability
ˈɛ	ˈe	1.0
ˈœ	-	1.0
ˈøː	-	1.0
ˈøi̯	ˈaʊ̯_z	1.0
ˈø	-	1.0
ˈæː	ˈiː	1.0
ˈu_ʁ	ˈɜː	1.0
ˈoː_ʁ	ˈɪ_ə	1.0
ˈo_ʁ	ˈɔː	1.0
ˈei̯_#>	ˈiː_#>	1.0
ˈei̯	-	1.0
ˈaː_ʋ	ˈeɪ̯	1.0
ˈai̯	ˈiː	1.0
ʁ_ˈu	ɹ	1.0
ə_ʁ	ə	1.0
ŋ	ŋ	1.0
x_t	t	1.0
x	-	1.0
w	w	1.0
s_ə	t	1.0
n_#>	#>	1.0
m	m	1.0
l_b̥_#>	f_#>	1.0
j_ə_#>	#>	1.0
j	j	1.0
h	h	1.0
f_ə	p	1.0
eː	-	1.0
e	-	1.0
<#_ʁ	<#_ɹ	1.0
<#_n	<#_n	1.0
#>	ˈaɪ̯_#>	1.0
ə	-	0.913
ʋ	w	0.875
kʰ	kʰ	0.818
t	d	0.808
n	n	0.805
b̥	b	0.8
z̥	s	0.778
ˈəi̯	ˈəʊ̯	0.75
ˈyː	ˈaʊ̯	0.75
ɡ̊	ɡ	0.75
f	f	0.741
ʃ_t	s_t	0.714
ˈu	ˈɐ	0.684
ʃ_#>	k_#>	0.667
ʃ	ʃ	0.667
d̥	d	0.645
ʁ	ɹ	0.615
ˈæ	-	0.6
s	s	0.6
ˈiː	ˈaɪ̯	0.579
ˈi	ˈɪ	0.577
ˈo	-	0.571
l	l	0.526
ˈe	ˈe	0.5
ʦ	tʰ	0.5
ʦ	t	0.5
i	ɪ	0.5
i	-	0.5
l	ɫ	0.474
ˈʊː	-	0.462
ˈɒː	-	0.444
k	ʤ	0.444
ˈo	ˈʊ	0.429
ˈæ	ˈɪ	0.4
ˈoː	ˈe	0.4
s	t	0.4
ˈʊː	ˈiː	0.385
ˈeː	ˈəʊ̯	0.375
ˈeː	-	0.375
ˈɒː	ˈɑː	0.333
ʃ_#>	#>	0.333
ʃ	s	0.333
k	k	0.333
ˈe	ˈɪ	0.3
ʃ_t	t	0.286
ˈɒ	ˈæ	0.28
ˈi	ˈaɪ̯	0.269
d̥	θ	0.258
ˈəi̯	-	0.25
ˈyː	ˈɐ	0.25
ˈeː	ˈiː	0.25
ɡ̊	-	0.25
ˈɒː	ˈeɪ̯	0.222
z̥	z	0.222
k	-	0.222
ˈiː	ˈiː	0.211
ˈoː	ˈɐ	0.2
ˈoː	ˈiː	0.2
ˈoː	-	0.2
ˈe	-	0.2
kʰ	ʧ	0.182
ˈɒ	ˈɑː	0.16
ˈɒ	ˈeɪ̯	0.16
ˈu	ˈɪ	0.158
ˈu	-	0.158
ˈʊː	ˈɐ	0.154
ʁ	ə	0.154
f	p	0.148
n	-	0.146
ʋ	-	0.125
ˈɒ	ˈɔː	0.12
ˈɒ	ˈɒ	0.12
ˈi	ˈe	0.115
ʁ	ˈɔː	0.115
ʁ	-	0.115
t	ð	0.115
f	v	0.111
ˈiː	ˈɪ	0.105
ˈiː	-	0.105
b̥	v	0.1
b̥	b_ˈɛ	0.1
d̥	ð	0.097
ə	ə_n	0.087
ˈɒ	ˈəʊ̯	0.08
ˈɒ	-	0.08
t	θ	0.077
