Emilian	Spanish	probability
a	a	0.882
a	-	0.064
a	e	0.054
b	b	0.594
b	β	0.244
b	-	0.059
b	k	0.059
d	d	0.421
d	ð	0.356
d	-	0.223
e	-	0.511
e	ˈe	0.169
e	e	0.166
e	ˈi	0.07
f	f	0.431
f	θ	0.358
f	ɟ͡ʝ	0.148
f	r	0.062
i	i	0.423
i	e	0.254
i	o	0.102
i	u	0.089
i	j	0.073
i	ˈe	0.058
j	-	0.366
j	l	0.23
j	x	0.175
j	o	0.103
j	j	0.079
k	k	0.953
l	l	0.561
l	ʝ	0.159
l	ʝ_o	0.078
l	l_o	0.077
m	m	0.965
n	n	0.824
n	m	0.109
o	o	0.641
o	ˈo	0.359
p	p	0.731
p	β	0.144
p	ɟ͡ʝ	0.083
r	ɾ	0.832
r	-	0.087
r	ɾ_o	0.053
s	s	0.791
s	θ	0.092
t	t	0.558
t	ð	0.123
t	t_o	0.121
t	ʧ_o	0.094
t	ʧ	0.078
u	o	0.784
u	u	0.103
u	a	0.05
v	b	0.515
v	β	0.414
w	w	0.819
w	o	0.181
z	θ	0.759
z	s	0.071
z	ˈe_θ	0.064
ð	-	0.494
ð	x	0.273
ð	ɟ͡ʝ	0.109
ð	θ	0.084
ŋ	n	0.514
ŋ	n_o	0.222
ŋ	-	0.107
ŋ	ŋ	0.097
ŋ	m	0.059
ɡ	ɣ	0.401
ɡ	ɡ	0.296
ɡ	ɣ_o	0.191
ɡ	x	0.075
ɲ	ɲ	0.8
ɲ	n	0.2
ʤ	l	0.828
ʤ	ɲ	0.059
ʤ	θ	0.058
ʤ	x	0.056
ʧ	x_o	0.518
ʧ	ɟ͡ʝ	0.27
ʧ	x	0.212
ˈa	ˈa	0.632
ˈa	ˈe	0.289
ˈa	e	0.066
ˈaː	ˈa	0.759
ˈaː	ˈe	0.181
ˈe	ˈi	0.731
ˈe	ˈe	0.197
ˈi	j	0.855
ˈi	ˈi	0.145
ˈiː	ˈi	0.559
ˈiː	ˈe	0.397
ˈo	ˈu	0.423
ˈo	ˈo	0.21
ˈo	-	0.167
ˈo	w	0.103
ˈo	o	0.096
ˈuː	ˈu	0.433
ˈuː	ˈo	0.273
ˈuː	w_ˈe	0.213
ˈuː	w	0.081
ˈæ	j	0.56
ˈæ	ˈe	0.378
ˈæ	ˈi	0.061
ˈɔ	ˈo	0.608
ˈɔ	w_ˈe	0.392
ˈɔː	w_ˈe	0.561
ˈɔː	ˈo	0.28
ˈɔː	-	0.074
ˈɔː	o	0.057
ˈɛ	ˈa	0.735
ˈɛ	ˈe	0.183
ˈɛ	ˈi	0.057
ˈɛː	j	0.668
ˈɛː	ˈa	0.175
ˈɛː	ˈe	0.157
ˈʌ	ˈo	0.584
ˈʌ	ˈe	0.175
ˈʌ	ˈu	0.132
ˈʌ	w_ˈe	0.109
ˈʌu̯	ˈo	0.851
ˈʌu̯	ˈu	0.149
θ	θ	0.822
θ	-	0.12
θ	t	0.057
