Swiss German	Swiss German	probability
ˈɒ	ˈa	1.0
ˈøː	ˈɔː	1.0
ˈæː	-	1.0
ˈy	-	1.0
ˈuː	ˈuː	1.0
ˈuə̯	ˈoː	1.0
ˈiː	ˈiː	1.0
ˈiə̯	-	1.0
ˈi	ˈi	1.0
ˈeː	ˈɛː_w	1.0
ˈei̯	ˈiː_s	1.0
ˈe	ˈɛː	1.0
ˈau̯	ˈɔː	1.0
ʦ	t	1.0
ʒ̊	s_k	1.0
z̥	s	1.0
v̥	f	1.0
r_n	r_n	1.0
r_#>	#>	1.0
p͡f	p	1.0
n_d̥	n	1.0
m_ˈæ	m_ˈa	1.0
m	m	1.0
kː	-	1.0
j	j	1.0
i	-	1.0
h	h	1.0
<#_ˈɒ	<#_ˈa	1.0
<#_ˈoː	<#_ˈɔː	1.0
<#_ˈi	<#_ˈi	1.0
<#_ʦ	<#_t	1.0
<#_ʒ̊	<#_s	1.0
<#_ɣ̊	<#_k	1.0
<#_ɡ̊	<#_ɡ	1.0
<#_z̥	<#_s	1.0
<#_tː	<#_d	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d̥	<#_θ	1.0
<#	<#_h	1.0
ʋ	w	0.9
l	l	0.893
r	r	0.842
n	n	0.842
b̥	b	0.824
sː	t	0.778
d̥	θ	0.692
ˈæi̯	ˈɛː	0.667
ˈɒː	ˈa	0.636
fː	p	0.636
#>	s_#>	0.625
ʃː	s	0.6
χː	h	0.583
ˈu	ˈu	0.583
ˈyː	ˈiu̯	0.556
ˈo	ˈu	0.556
ə	a	0.543
ˈø	ˈa	0.5
ˈø	-	0.5
ˈæ	ˈɛ	0.5
ˈyː	-	0.444
ŋ	ŋ_ɡ	0.444
ɡ̊	ɡ	0.429
χː	k	0.417
ʃː	i_s	0.4
tː	t	0.391
ˈoː	ˈɔː	0.375
ˈoː	ˈɔ	0.375
ˈɒː	ˈeː	0.364
fː	f	0.364
ˈæi̯	ˈɛː_n	0.333
d̥	d	0.308
#>	n_#>	0.3
ˈæ	ˈi	0.25
ˈæ	ˈa	0.25
ˈu	-	0.25
ˈoː	-	0.25
ˈo	ˈɔ	0.222
ˈo	-	0.222
ŋ	ŋ	0.222
ŋ	n_d	0.222
sː	t_s	0.222
tː	θ	0.217
ɡ̊	ɣ	0.214
ɡ̊	x	0.214
b̥	β	0.176
ˈu	ˈɔ	0.167
n	nː	0.158
ɡ̊	-	0.143
ə	oː	0.13
ə	n	0.13
tː	θ_s	0.13
tː	ð	0.13
tː	t_s	0.13
ŋ	ɡʷ	0.111
ə	j_a	0.109
l	lː	0.107
r	s	0.105
ʋ	ʍ	0.1
ə	-	0.065
r	r_ˈi	0.053
