Aragonese	Aragonese	probability
θ_#>	z_#>	1.0
ˈu_j	ˈɔ	1.0
ˈo_s	ˈo_s	1.0
ˈo_n	ˈõũ̯	1.0
ˈo_m	ˈo	1.0
ˈe_n	n_t	1.0
ˈe_j	ˈɛə̯	1.0
ˈe_#>	ˈɛ_#>	1.0
ˈa_ɾ	ˈeə̯	1.0
ˈa_n	ˈʌ̃	1.0
ˈa_l	ˈeə̯_l	1.0
ʃ	s	1.0
ɾ_o	ɐ_r	1.0
ɾ_e	ɐ_r	1.0
ɲ	ɲ	1.0
ɣ	ɡ	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
z	z_u	1.0
w_ˈa	v_ˈa	1.0
t_o_#>	t_#>	1.0
s_#>	#>	1.0
r	r	1.0
p_o_#>	p_#>	1.0
o_s	i	1.0
o_#>	#>	1.0
n_o_#>	n_#>	1.0
n_o	ˈõũ̯	1.0
m	m	1.0
k_o_#>	k_#>	1.0
k_l	ʧ	1.0
k	k	1.0
j_t	t	1.0
f	f	1.0
e_n	n	1.0
e_#>	#>	1.0
d_ˈi	d_ˈɛ	1.0
d	d	1.0
b_ɾ	m	1.0
b_w	b	1.0
a_#>	#>	1.0
<#_θ	<#_θ	1.0
<#_ˈe	<#	1.0
<#_ˈa	<#_ˈeə̯	1.0
<#_ɡ	<#_ɡ	1.0
<#_w	<#_ˈɔ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_b	<#_v	1.0
p	p	0.933
n	n	0.906
a	ɐ	0.87
s	s	0.857
t	t	0.833
o	u	0.8
ɾ	r	0.792
b	b	0.786
j_ˈe	ˈɛə̯	0.75
#>	ɐ_#>	0.75
ʝ	-	0.714
ð	d	0.688
l	l	0.655
ɾ_#>	#>	0.636
j	-	0.636
ʧ	ð	0.6
i	-	0.6
ˈi	ˈi	0.556
e	-	0.536
ˈo	ˈou̯	0.526
β	v	0.524
θ	θ	0.5
u	u_j	0.5
u	j	0.5
ʎ	l	0.478
i	i	0.4
ˈa	ˈʌ̃	0.395
ˈa	ˈeə̯	0.372
ɾ_#>	ˈeə̯_#>	0.364
w_ˈe	ˈɔə̯	0.35
ˈu	ˈo	0.333
ˈe	ˈɛ	0.327
e	ɐ	0.321
ð	t	0.312
w	ˈɔə̯	0.308
ʝ	ð	0.286
ˈo	ˈɔə̯	0.263
ʎ	ʧ	0.261
θ	z_ɐ	0.25
θ	-	0.25
w_ˈe	ˈɔ	0.25
w_ˈe	ˈo	0.25
j_ˈe	ˈeː	0.25
#>	t_#>	0.25
l	j	0.241
β	b	0.238
β	-	0.238
ˈu	ˈu	0.238
w	-	0.231
b	-	0.214
ˈe	-	0.212
ʧ	ʤ	0.2
ʧ	-	0.2
o	-	0.2
ˈu	ˈou̯	0.19
ˈa	ˈa	0.186
ˈi	ˈẽ	0.185
ʎ	j	0.174
t	-	0.167
w	ˈou̯	0.154
w	v_ɐ	0.154
w	v	0.154
w_ˈe	ˈu	0.15
ˈi	ˈɛ	0.148
ˈu	-	0.143
s	-	0.143
j	ˈẽ	0.136
ˈe	ˈi	0.135
ˈe	ˈeː	0.135
ˈi	-	0.111
ˈo	ˈo	0.105
ˈo	-	0.105
l	-	0.103
ˈu	ˈɔ	0.095
n	j̃	0.094
j	ˈi	0.091
j	d	0.091
ʎ	-	0.087
ɾ	ɐ_r	0.075
ɾ	-	0.075
e	ˈɛ	0.071
e	i	0.071
p	-	0.067
a	-	0.065
ˈe	ˈɛə̯	0.058
ˈe	ˈẽ	0.058
ɾ	ɐ	0.057
