German	Saterland Frisian	probability
a	-	1.0
eː	i	1.0
j	j	1.0
p͡f	p	1.0
ŋ	ŋ	1.0
ɡ̊	x	1.0
ʃ	s	1.0
p	p	0.391
ɐ	r	0.591
ɪ	-	0.121
ɪ	ɪ	0.671
ˈa	ˈɔ	0.061
ˈaɪ̯	ˈiː	0.071
ˈaʊ̯	ˈoːu̯	0.051
ˈaː	ˈaː	0.061
ˈaː	ˈaːi̯	0.131
ˈɔ	ˈiː	0.051
ˈɔʏ̯	ˈeː	0.21
ˈɛ	ˈɛː	0.051
ˈɛ	ˈiː	0.151
ˈɛ	ˈa	0.301
d	d	0.612
d̥	d	0.942
h	h	0.962
k	x	0.582
n	n	0.712
z	s	0.832
ç	x	0.482
ɡ	ɡ	0.072
ʁ	r	0.92
ˈaʊ̯	ˈuː	0.32
ˈaː	ˈɛɪ̯	0.132
ˈeː	ˈeːu̯	0.072
ˈiː	ˈi	0.252
ˈøː	ˈeː	0.592
ˈœ	ˈɔ	0.842
ˈɔʏ̯	ˈyː	0.182
ˈɛ	ˈeː	0.122
b	-	0.073
b̥	f	0.813
f	p	0.243
l	l	0.973
s	s	0.473
tʰ	j	0.083
x	k	0.393
ɐ	-	0.123
ɡ	j	0.233
ˈa	ˈa	0.063
ˈa	ˈoː	0.113
ˈa	ˈoːu̯	0.233
ˈaɪ̯	ˈɛɪ̯	0.073
ˈaː	ˈɛ	0.163
ˈaː	ˈɔː	0.163
ˈeː	ˈʊ	0.053
ˈeː	ˈi	0.053
ˈiː	ˈaːu̯	0.063
ˈoː	ˈɛ	0.063
ˈoː	ˈoːu̯	0.303
ˈuː	ˈu	0.053
ˈɔ	ˈuː	0.213
ˈɔ	ˈoːu̯	0.423
ˈɔʏ̯	j_ˈuː	0.3
ˈɛ	ˈʊ	0.063
ˈɛː	ˈiː	0.133
ˈʊ	ˈʊ	0.593
ˈʏ	w	0.163
b̥	x	0.054
b̥	-	0.054
kʰ	s	0.144
ˈaː	ˈiː	0.064
ˈeː	ˈiːu̯	0.074
ˈeː	ˈeː	0.244
ˈuː	ˈoːu̯	0.744
ˈyː	ˈɔː	0.154
ˈyː	ˈɛɪ̯	0.694
ˈɔ	ˈɔ	0.174
ˈɔʏ̯	ˈuː	0.274
ˈɛ	ˈɛɪ̯	0.064
ˈɪ	j_ˈʊ	0.094
ˈɪ	ˈiː	0.284
ˈʊ	ˈuː	0.174
ˈʊ	ˈɔː	0.184
ʁ	z	0.05
ˈaː	-	0.05
ˈeː	ˈɛɪ̯	0.15
ˈoː	ˈuː	0.295
ˈuː	ˈɛɪ̯	0.075
ˈøː	ˈœː	0.375
ˈɛː	ˈaːi̯	0.215
ˈɛː	ˈɔː	0.415
k	k	0.376
kʰ	k	0.856
n	j_ə	0.056
ə	ə	0.966
ɡ	z	0.06
ɡ	ɣ	0.526
ʦ	t	0.976
ˈaɪ̯	ˈeː	0.376
ˈaː	ˈoː	0.236
ˈeː	ˈoː	0.316
ˈɛ	ˈɛ	0.116
ˈʏ	ˈɔ	0.276
f	f	0.697
n	ə	0.197
s	t	0.527
t	d	0.537
tʰ	d	0.87
x	x	0.607
ɐ	ə_r	0.247
ˈa	ˈɛː	0.077
ˈa	ˈɔː	0.237
ˈiː	ˈɛɪ̯	0.057
ˈiː	ˈyː	0.057
ˈiː	ˈiː	0.07
ˈiː	ˈoː	0.087
ˈɛː	ˈoː	0.237
b̥	v	0.08
d̥	-	0.058
m	m	0.978
z	z	0.168
ɪ	ə	0.208
ˈaʊ̯	ˈoː	0.408
ˈiː	j	0.368
ˈuː	ˈuː	0.128
ˈyː	ˈoː	0.118
ˈœ	ˈeː	0.158
ˈɪ	ˈɪ	0.548
b	v	0.089
b	b	0.789
d	t	0.349
p	-	0.609
t	t	0.429
v	v	0.939
ç	k	0.49
ɡ	-	0.109
ˈaɪ̯	ˈi	0.229
ˈoː	ˈoː	0.339
ˈɔ	ˈʊ	0.139
ˈɛ	ˈɔː	0.09
ˈʏ	ˈɛː	0.549
