Middle High German	Bokmål Norwegian	probability
ˈɑː	ˈoː	1.0
ˈɑ_t	ˈɑː	1.0
ˈɑ_n	ˈɑ_nː	1.0
ˈuə̯	ˈuː	1.0
ˈoː	ˈøː	1.0
ˈiː	ˈiː	1.0
ˈeː	-	1.0
ʦː	tː	1.0
ʃː	s_k	1.0
ɛ	ˈɛ_tː	1.0
ə_t	d_ə	1.0
ə_r	ɾ	1.0
ɑː	ˈoː	1.0
ɑ	-	1.0
ŋ_ɡ	ŋː	1.0
xː	k	1.0
x_t	tː	1.0
v	f	1.0
tː	ˈeː	1.0
rː	ˈœ	1.0
r_ˈiː	ɾ	1.0
r_ʦ	ʈː	1.0
r_n	ɳ	1.0
p	p	1.0
oː	ə	1.0
ou̯	ˈøː	1.0
nː	nː	1.0
n_d̥	nː	1.0
n_d	nː	1.0
mː	ˈœ_mː	1.0
lː	lː	1.0
l_d̥	lː	1.0
kʰ	kʰ	1.0
k	kː	1.0
i	i	1.0
h_ˈɛ	j_ˈɛ	1.0
fː	p	1.0
b_ə	ʋ_ə	1.0
r	ɾ	0.969
s	s	0.883
ə	ə	0.863
h	h	0.849
w	ʋ	0.798
b	b	0.755
ˈuː	ˈʉː	0.747
m	m	0.739
s̻	t	0.736
kː	ɡː	0.716
n	n	0.703
d	tʰ	0.701
ɡ	ɡ	0.692
ʦ	tʰ	0.685
l	l	0.679
ŋ	ŋː	0.667
ˈiə̯	ˈyː	0.656
p͡f	p	0.643
s̻ː	t	0.622
f	p	0.611
ˈe	ˈɛ	0.59
ˈyː	-	0.588
ˈi	ˈɪ	0.588
ˈyə̯	ˈœ	0.578
ˈɑ	ˈɑ	0.575
ʃ	s	0.558
x	k	0.552
ˈou̯	-	0.533
ˈu	ˈʉ	0.515
ˈei̯	ˈæɪ̯	0.507
ˈy	-	0.504
ˈy	ˈʏ	0.496
t	-	0.493
ˈo	ˈuː	0.451
x	j	0.448
ˈyə̯	ˈøː	0.422
ˈyː	ˈyː	0.412
ˈe	-	0.41
s̻ː	-	0.378
t	t	0.375
p͡f	pʰ	0.357
ˈiə̯	-	0.344
ˈei̯	ˈɛ	0.338
ŋ	-	0.333
l	lː	0.321
ʃ	ʂ	0.32
ʦ	-	0.315
ɡ	-	0.308
ˈou̯	ˈøː	0.304
d	-	0.299
f	ʋ	0.29
kː	-	0.284
s̻	tː	0.264
m	mː	0.261
ˈɛ	-	0.258
ˈuː	-	0.253
b	-	0.245
ˈi	-	0.24
ˈo	ˈʉː	0.22
ˈo	ˈʉ	0.22
ˈɑ	ˈɑː	0.207
w	-	0.202
ˈu	ˈɔ	0.199
ˈɛ	ˈɛ	0.19
ˈɛ	j	0.179
n	nː	0.178
ˈu	ˈœ	0.177
ˈi	ˈiː	0.172
ˈou̯	ˈœʏ̯	0.164
ˈei̯	ˈeː	0.155
ˈɛ	ˈeː	0.153
h	-	0.151
ə	-	0.129
ʃ	s_k	0.122
s	ʂ	0.117
ˈɛ	ˈæː	0.11
ˈɛ	j_ˈæː	0.11
ˈo	-	0.11
ˈu	-	0.109
ˈɑ	ˈɛ	0.102
f	pː	0.099
t	s	0.076
n	ˈiː	0.068
ˈɑ	ˈɔ	0.058
ˈɑ	ˈoː	0.058
t	d	0.055
n	ə	0.051
