Bavarian	Bavarian	probability
β	v	1.0
ˈɑː	ˈaː	1.0
ˈɑ	ˈa	1.0
ˈuɐ̯	ˈoː	1.0
ˈoː	-	1.0
ˈou̯	ˈuː	1.0
ˈo_ɐ	ˈɔː	1.0
ˈeː_#>	ˈiː_#>	1.0
ˈeɐ̯	-	1.0
ˈai̯_#>	ˈeɪ̯_#>	1.0
ʦ	ʦ	1.0
ʋ	ʋ	1.0
ʃ_d̥	s_t	1.0
ʃ	ʃ	1.0
ɡ̊_a	k	1.0
ə	-	1.0
ɑ	ə	1.0
ɐ_d̥	d̥	1.0
ç	ɕ	1.0
x_d̥	ɕ	1.0
s_n	s_ə	1.0
r	ʀ	1.0
n_d̥	ŋ	1.0
kʰ	k	1.0
i	ɪ	1.0
h	h	1.0
f_a	f_ə	1.0
f	f	1.0
eɐ̯	e_ŋ	1.0
b̥͡v̥	p	1.0
b̥_#>	v̥_#>	1.0
a_#>	#>	1.0
<#_ˈo	<#	1.0
<#_ɡ̊	<#_j	1.0
<#_n	<#_n	1.0
<#_j	<#_j	1.0
<#_d̥	<#_d	1.0
l	l	0.92
b̥	b	0.909
m	m	0.833
j	ɫ	0.8
ɐ	ɐ	0.733
ˈa	ˈa	0.667
a	ɐ	0.647
ˈiɐ̯	ˈeː	0.636
x	x	0.636
ˈe	ˈɛ	0.6
d̥_n	d_ə	0.6
ˈau̯	ˈuː	0.556
ˈɒː	ˈaː	0.5
ˈiː	ˈe	0.5
ˈiː	-	0.5
ˈaː	-	0.5
#>	n_#>	0.5
n	n	0.488
ŋ	ŋ	0.474
ˈau̯	ˈɔʊ̯	0.444
d̥	d̥	0.442
ɡ̊	k	0.429
ˈi	ˈe	0.423
ˈo	ˈɔ	0.421
ˈoɐ̯	ˈeɪ̯	0.417
d̥_n	ə	0.4
s	z	0.375
ˈo	ˈa	0.368
x	ɕ	0.364
ˈai̯	ˈiː	0.353
ˈoɐ̯	ˈeː	0.333
ˈeː	ˈeː	0.333
ˈa	-	0.333
s	s	0.325
ˈu	ˈo	0.318
ˈai̯	-	0.294
a	ə	0.294
n	ŋ	0.293
ɡ̊	ɕ	0.286
ɐ	-	0.267
ˈɒː	ˈoː	0.25
ˈɒː	ˈa	0.25
ˈoɐ̯	ˈeː_n	0.25
ˈeː	ˈɛ	0.25
ˈeː	ˈyː	0.25
ˈe	ˈɛː	0.25
ˈaː	ˈɔʊ̯	0.25
ˈaː	ˈoː	0.25
s	z̥	0.25
#>	ɕ_#>	0.25
#>	v̥_#>	0.25
ˈi	ˈɪ	0.231
ˈi	-	0.231
ŋ	n	0.211
d̥	ɡ̊	0.209
j	l	0.2
ˈu	ˈœ	0.182
ˈiɐ̯	ˈøː	0.182
ˈiɐ̯	-	0.182
ˈai̯	ˈyː	0.176
ˈeː	ˈɛː	0.167
ŋ	ɣ	0.158
ŋ	j_ə	0.158
ˈe	-	0.15
n	ə	0.146
ɡ̊	ɣ̊	0.143
ɡ̊	ɡ̊	0.143
d̥	t	0.14
ˈu	ˈu	0.136
ˈu	ˈoː	0.136
ˈu	-	0.136
ˈai̯	ˈʏ	0.118
d̥	d	0.116
ˈi	ˈʏ	0.115
ˈo	ˈo	0.105
ˈo	-	0.105
m	v_ə	0.1
d̥	-	0.093
ˈu	ˈʊ	0.091
b̥	p	0.091
l	-	0.08
n	-	0.073
m	ə	0.067
ˈai̯	ˈøʏ̯	0.059
a	-	0.059
