Old Frisian	Alsatian	probability
ˈɛː_k	ʃ	1.0
ˈaː_ɣ	ˈœ	1.0
ʦ	kʰ	1.0
ɡː	k	1.0
ɡ_ə	ə	1.0
ə_n	ə	1.0
ŋ	ŋ	1.0
ð	d̥	1.0
z_ə	s	1.0
tː	ʦ	1.0
s_ˈa	s_ˈɒ	1.0
s_t	ʃ_t	1.0
s_k	ʃ	1.0
r	ʁ	1.0
pː	p͡f	1.0
nː_ə	n_ə	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
k_ə	x	1.0
k_s	k_s	1.0
k	ʃ	1.0
j_ə	ə	1.0
iː	eː	1.0
i_ɣ̥	i	1.0
h_w	ʋ	1.0
h	h	1.0
f	f	1.0
d_r	t_ʁ	1.0
bː	n	1.0
b	b̥	1.0
n	n	0.947
p	f	0.867
t_ə	s_ə	0.834
ˈoː	ˈʊː	0.833
ˈuː	ˈyː	0.78
θ	d̥	0.775
w	ʋ	0.757
s	s	0.734
ˈi	ˈi	0.697
ˈa	ˈɒ	0.694
ˈi̯uː	ˈiː	0.667
ɡ	ɡ̊	0.664
ˈɛː	ˈəi̯	0.646
ˈu	ˈu	0.631
ɣ	-	0.612
ˈi̯aː	ˈiː	0.588
ˈaː	ˈoː	0.57
x	x	0.563
v	-	0.553
ə	ə	0.541
t	ʦ	0.534
d	t	0.5
d	d̥	0.5
ˈɔː	ˈɒ	0.483
ˈiː	ˈiː	0.48
v	b̥	0.447
ə	-	0.446
ˈeː	ˈoː	0.441
x	ʃ	0.437
j	-	0.424
ˈi̯aː	-	0.412
ˈo	ˈu	0.398
j	j	0.391
ɣ	j	0.388
ˈɛː	ˈeː	0.354
ˈo	ˈo	0.348
ɡ	-	0.336
ˈi̯uː	ˈi	0.333
ˈɔː	ˈo	0.324
ˈa	ˈɒː	0.306
t	s	0.291
s	ʃ	0.266
ˈo	-	0.254
ˈe	ˈe	0.251
ˈeː	-	0.25
ˈiː	-	0.242
ˈaː	ˈʊː	0.236
ˈeː	ˈiː	0.224
ˈu	-	0.222
ˈiː	ˈei̯	0.214
ˈaː	ˈəi̯	0.194
ˈɔː	ˈoː	0.193
j	ɡ̊	0.185
t	t	0.175
ˈoː	ˈɒ_n	0.167
t_ə	s	0.166
ˈuː	ˈu	0.156
w	w	0.147
ˈe	ˈæ	0.136
θ	t	0.133
p	p	0.133
ˈu	ˈo	0.122
ˈe	-	0.117
ˈe	ˈi	0.116
ˈe	ˈæː	0.115
ˈi	-	0.114
ˈe	ˈu	0.102
w	-	0.096
θ	-	0.092
ˈe	ˈɒː	0.089
ˈeː	ˈai̯	0.085
ˈi	ˈiː	0.077
ˈe	ˈɒ	0.075
ˈuː	ˈøi̯	0.065
ˈiː	e	0.065
ˈi	ˈæ	0.058
ˈi	ˈu	0.053
n	ˈeː_n	0.053
