Galician	Spanish	probability
a	a	0.87
a	-	0.096
b	b	1.0
d	d	1.0
e	e	0.812
e	o	0.078
f	-	0.661
f	f	0.332
f_a	a	1.0
f_ˈa	ˈa	1.0
i	i	0.619
i	e	0.171
i	j	0.113
i	u	0.087
j	ʧ	0.386
j	-	0.254
j	j	0.252
k	k	0.977
l	l	0.767
l	ʝ	0.195
m	m	1.0
n	n	0.859
n	ɲ	0.122
o	o	0.902
o	l	0.054
o	u	0.05
p	p	0.975
r	r	0.806
r	ɾ	0.176
s	s	0.894
s	ˈe_s	0.055
t	t	0.783
t	-	0.215
u	o	0.361
u	u	0.361
u	w	0.217
v	β	0.395
v	b	0.206
w	-	0.597
w	w	0.184
w	ˈo	0.111
w	o	0.067
w_t	t	1.0
ð	ð	1.0
ŋ	n	0.377
ŋ	n_o	0.347
ŋ	ŋ	0.223
ŋ	-	0.05
ɐ	a	0.987
ɑ	a	0.521
ɔ	o	0.521
ɡ	ɡ	1.0
ɣ	ɣ	0.899
ɣ	k	0.057
ɣ	ð	0.051
ɪ	e	0.654
ɪ	ɾ_e	0.142
ɪ	-	0.134
ɲ	ɲ	0.511
ɲ	n	0.416
ɲ	ŋ	0.066
ɾ	ɾ	0.978
ʃ	x	0.479
ʃ	s	0.155
ʃ	θ	0.138
ʃ	ʝ	0.135
ʃ	-	0.068
ʊ	o	0.982
ʎ	x	0.858
ʎ	-	0.089
ʎ	l	0.062
ʧ	ɟ͡ʝ	0.871
ʧ	ʝ	0.118
ˈa	ˈa	0.976
ˈe	ˈe	0.904
ˈi	ˈi	0.864
ˈi	ˈe	0.088
ˈo	ˈo	0.696
ˈo	w	0.206
ˈo	ˈu	0.093
ˈu	ˈu	0.961
ˈu	ˈo	0.051
ˈɑ	ˈa	1.0
ˈɔ	w	0.675
ˈɔ	ˈo	0.323
ˈɛ	j	0.865
ˈɛ	ˈi	0.081
ˈɛ	ˈe	0.055
β	β	0.736
β	ˈe_β	0.183
β	p	0.052
θ	θ	0.965
