Western Lombard	Western Lombard	probability
ˈɛ_s	ɛɪ̯	1.0
ˈɛ_r	æɛ̯_ʁ	1.0
ˈɛ_l	oʊ̯	1.0
ˈɔ_s	o	1.0
ˈɔ_l	u	1.0
ˈɑː_d	æɛ̯	1.0
ˈøː_k	øʏ̯	1.0
ˈy	u	1.0
ˈũ	ɒ̃ʊ̯̃	1.0
ˈu_l	u	1.0
ˈoː	-	1.0
ˈo	a	1.0
ˈĩ	ẽɪ̯̃	1.0
ˈeː_d	w	1.0
ˈã_k	ã	1.0
ˈa_l	oʊ̯	1.0
ʃ	œ_ʦ	1.0
ɛ	-	1.0
z	-	1.0
w	-	1.0
v_ˈỹ	œ̃ʏ̯̃	1.0
ũ	ɒ̃ʊ̯̃	1.0
t_e	t	1.0
t_#>	#>	1.0
s_ˈɛ	s_ɛ	1.0
s_#>	#>	1.0
r_#>	#>	1.0
p_#>	#>	1.0
n_#>	#>	1.0
m	m	1.0
l_#>	#>	1.0
k_#>	#>	1.0
j_ˈøː	ɪ	1.0
f_#>	#>	1.0
f	f	1.0
ẽ	n	1.0
ã	ã	1.0
a_d	æɛ̯	1.0
a_#>	#>	1.0
<#_ˈœ	<#_œ	1.0
<#_ˈa_n	<#_ã	1.0
<#_u	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_l	<#_l	1.0
<#_ĩ	<#	1.0
<#_a	<#_a	1.0
p	p	0.931
r	ʁ	0.918
b	b	0.9
t	t	0.824
v	v	0.821
n	n	0.793
i	-	0.778
ˈẽ	ã	0.75
ˈã	ẽɪ̯̃	0.727
ˈøː	œ	0.714
ɡ	ɡ	0.688
s	s	0.674
j	l	0.643
ʒ	ʒ	0.6
ˈuː	-	0.583
l	l	0.583
ˈe	-	0.571
ɲ	ɲ	0.571
ˈɔ	ɑɔ̯	0.545
k	k	0.537
ˈiː	ɪ	0.5
y	u	0.5
y	-	0.5
a	a	0.5
k	ʃ	0.463
ˈyː	y	0.462
d	d	0.455
ˈa	e	0.444
e	-	0.444
ˈɛ	w_ɛ	0.438
ˈe	j	0.429
ʤ	ʒ	0.429
ɲ	ẽɪ̯̃	0.429
ʧ	-	0.421
d	-	0.409
ʧ	s	0.368
ˈu	-	0.364
u	ɔ	0.364
u	u	0.364
ˈi	i_ʁ	0.357
ˈɑː	æɛ̯	0.333
ɡ	-	0.312
ˈiː	w_ɛ	0.3
ˈeː	w	0.3
ˈeː	j	0.3
ˈa	æɛ̯	0.296
ˈøː	-	0.286
ʤ	ɡ	0.286
ʤ	-	0.286
#>	ʁ_#>	0.286
ˈɔ	-	0.273
ˈu	u	0.273
ˈã	ã	0.273
u	-	0.273
ˈɛ	ɛ	0.25
ˈɑː	e	0.25
ˈɑː	a	0.25
ˈuː	aœ̯	0.25
ˈẽ	ẽɪ̯̃	0.25
ˈyː	-	0.231
i	i	0.222
ˈi	-	0.214
j	j	0.214
l	ɛ_l	0.208
ˈiː	i	0.2
ˈeː	ɪ	0.2
ˈeː	æɛ̯	0.2
ʒ	z	0.2
ʒ	-	0.2
#>	e_#>	0.19
ˈɛ	i	0.188
ˈa	a	0.185
ˈɔ	ɔ	0.182
ˈu	ʊ	0.182
ˈu	ɔ	0.182
t	-	0.176
ˈuː	œ	0.167
ˈyː	ʏ	0.154
ˈyː	ɥ	0.154
e	œ	0.148
e	æɛ̯	0.148
ˈi	ɪ	0.143
ˈi	w	0.143
ˈi	i	0.143
j	-	0.143
#>	øʏ̯_#>	0.143
s	e	0.14
n	-	0.138
d	ʣ	0.136
a	j	0.136
ˈɛ	-	0.125
l	-	0.125
e	ɛ	0.111
v	ɥ	0.107
ʧ	ʁ	0.105
ʧ	k_l	0.105
b	-	0.1
#>	ʒ_#>	0.095
#>	ɛ_#>	0.095
#>	l_#>	0.095
#>	j_#>	0.095
a	ɛ	0.091
a	œ	0.091
a	æɛ̯	0.091
a	-	0.091
ˈɑː	ɑ	0.083
ˈɑː	-	0.083
l	oʊ̯	0.083
ˈa	-	0.074
e	ʁ	0.074
e	w_ɛ	0.074
v	-	0.071
s	ɛ	0.07
s	t_ʁ	0.07
p	-	0.069
n	ã	0.069
