West Flemish	Gothic	probability
z	s	1.0
ç	x	1.0
ʃ	s	1.0
ˈuə̯	ˈoː	1.0
p	p	0.951
v̥	β	0.121
ʋ	ʍ	0.121
ʋ	w	0.831
ˈiə̯	ˈoː	0.1
ˈoː	ˈɔː	0.281
ˈyː	ˈuː	0.41
ˈæ	ˈɛː	0.1
ˈœ	ˈu	0.621
ˈɒː	ˈeː	0.271
ˈɔ	ˈɔː	0.171
k	ɡ	0.052
v̥	f	0.72
ɦ	j	0.082
ɦ̥	x	0.372
ˈeː	ˈɛː	0.402
ˈiə̯	ˈiu̯	0.392
ˈoː	ˈi	0.122
ˈu	ˈu	0.622
ˈyː	ˈu	0.092
ˈæ	ˈi	0.152
ˈøː	ˈɔː	0.362
ˈɔ	ˈa	0.262
ˈɛ	ˈɛ	0.182
ˈɛː	ˈɛː	0.882
b	b	0.983
d	s	0.083
d	θ	0.493
l	l	0.853
n	a_n	0.273
n	n	0.653
v	kʷ	0.053
v	f	0.773
ŋ	ŋ	0.83
ɡ̊	s	0.663
ˈiə̯	ˈi	0.103
ˈoː	ˈɔ	0.403
ˈu	ˈuː	0.113
ˈɑ	ˈu	0.083
ˈɑ	h_ˈa	0.103
d	ð	0.064
d̥	d	0.304
h	h	0.544
m	m	0.984
ə	u	0.064
ɦ̥	ɡ	0.414
ˈi	ˈiː	0.944
ˈoː	ˈa	0.084
ˈæ	ˈa	0.134
ˈœ	w	0.14
ˈɑ	ˈa	0.814
j	ˈɛː	0.375
j	j	0.625
k	kʷ	0.065
v	β	0.135
w	l	0.975
ə	i	0.075
ə	a	0.245
ə	oː	0.305
ˈeː	ˈa	0.095
ˈeː	ˈiu̯	0.095
ˈu	ˈi	0.075
ˈæ	ˈɛ	0.615
ˈɔ	ˈɔ	0.055
ˈɛ	ˈɛː	0.145
ˈɛ	ˈiː	0.285
ˈɪ	ˈi	0.785
d	d	0.36
h	k	0.456
s	i_s	0.116
v̥	b	0.16
ɦ̥	h	0.086
ˈi	ˈuː	0.056
ˈiə̯	ˈɛː	0.086
ˈoː	h_ˈɔː	0.06
ˈɪ	ˈa	0.086
ˈɪ	ˈiː	0.086
d̥	t	0.127
l	lː	0.147
s	s	0.857
ŋ	h	0.17
ɡ̊	ɡ	0.337
ˈɔ	ˈu	0.267
d̥	θ	0.528
ə	ɡ_oː	0.088
ə	-	0.158
ɦ	h	0.078
ɦ	ɡ	0.688
ɦ̥	ɣ	0.128
ɾ	a_r	0.088
ɾ	r	0.748
ˈiə̯	ˈɛ	0.188
ˈyː	ˈiu̯	0.498
ˈøː	ˈu	0.638
ˈɛ	ˈi	0.388
k	k	0.859
t	t	0.939
ɦ	-	0.139
ɾ	-	0.089
ˈeː	ˈi	0.409
ˈiə̯	j	0.089
ˈu	ˈa	0.19
ˈœ	ˈi	0.239
ˈɒː	ˈa	0.729
ˈɔ	-	0.219
ˈɛː	ˈɛ	0.09
