Elfdalian	Elfdalian	probability
ˈʏ	ˈʏ	1.0
ˈʉ̃ːə̯	-	1.0
ˈɪ̃ː	ˈiː	1.0
ˈɪː_ð	ˈɛː	1.0
ˈɪ	ˈɪ	1.0
ˈɔ̃ː	-	1.0
ˈɔ	ˈa	1.0
ˈɑːu̯	ˈuː	1.0
ˈɑ_r	ˈaː	1.0
ˈœ	ˈɪ	1.0
ˈæː	-	1.0
ˈyːœ̯	ˈɔʏ̯	1.0
ˈyœ̯	-	1.0
ʨː	-	1.0
ʥː	ç	1.0
ʏ	v	1.0
ʉ_ŋ	ɪ	1.0
ʉ	-	1.0
ɽ	l	1.0
ɪ	-	1.0
ɣ_ɛ	ɡ	1.0
ɣ_#>	ç_#>	1.0
ɡ	ɡ	1.0
ɛ_r	ɐ	1.0
ɛ_n	m	1.0
ɛ	-	1.0
ɔ̃	aɪ̯	1.0
ɔ_#>	#>	1.0
ɔ	-	1.0
ɑ̃	-	1.0
ɑ_#>	#>	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
ð_ɑ	d_n	1.0
w	v	1.0
s_ʨ	ʃ	1.0
s_t	s	1.0
s_k	ʃ	1.0
s_j	z	1.0
s_#>	z̥_#>	1.0
p_ɑ	b_m	1.0
p_#>	b_#>	1.0
p	p	1.0
n_ɑ	n	1.0
n_d	n	1.0
m	m	1.0
l̥	s_l	1.0
lː	l	1.0
l	l	1.0
kː	-	1.0
kʰ	kʰ	1.0
k_#>	ɡ_#>	1.0
k	-	1.0
j_ˈʉːə̯	ˈaɪ̯	1.0
f	f	1.0
d	d	1.0
b	b	1.0
a	-	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
n	n	0.833
nː	n	0.8
ˈɑːi̯	ˈiː	0.75
ˈœː	ˈaʊ̯	0.75
ˈɑ	ˈa	0.727
ð	d	0.706
ɑ	n	0.682
<#	<#_h	0.682
ˈo	-	0.667
ʥ	-	0.667
ɡ_#>	#>	0.667
t	d	0.667
ˈɛː	-	0.6
ɡː	-	0.6
tʰ	d	0.588
ˈæ	-	0.571
ˈoː	-	0.571
ˈɛ	-	0.533
r	ɐ	0.511
ˈʏː	ˈyː	0.5
ˈʏː	-	0.5
ˈʉːə̯	ˈaʊ̯	0.5
ˈʉː	-	0.5
ˈʉə̯	-	0.5
ˈɑː	ˈoː	0.5
ˈɑː	ˈa	0.5
ʨ	ɡ	0.5
ʨ	-	0.5
tː	t	0.5
s	z	0.5
ˈɔː	ˈoː	0.455
ˈiːe̯	ˈaɪ̯	0.444
#>	n_#>	0.44
ˈæ	ˈeː	0.429
ˈoː	ˈaʊ̯	0.429
ˈʉ	ˈʊ	0.412
tʰ	tʰ	0.412
ˈɛː	ˈɛ	0.4
ɡː	ɡ	0.4
v	m	0.385
v	f	0.385
ɣ	x	0.375
ɣ	-	0.375
ˈɪː	ˈiː	0.364
ˈɔː	-	0.364
ˈʉə̯	ˈaʊ̯	0.333
ˈo	ˈɔ	0.333
ˈiːe̯	ˈɪ	0.333
ʥ	j	0.333
ɡ_#>	ç_#>	0.333
s	ʃ	0.333
j	-	0.333
r	r	0.311
ˈʉː	ˈuː	0.3
ð	-	0.294
ˈɪː	ˈɪ	0.273
ˈɑ	ˈoː	0.273
ˈɛ	ˈaɪ̯	0.267
ˈɑːi̯	-	0.25
ˈœː	ˈɔʏ̯	0.25
ɣ	ɡ	0.25
tː	x_d	0.25
tː	d	0.25
t	t	0.25
j	ˈaɪ̯	0.25
j	h	0.25
v	-	0.231
ɑ	ŋ	0.227
ˈiːe̯	ˈɛɪ̯	0.222
ˈʉːə̯	-	0.214
ˈʉː	ˈøː	0.2
ˈɛ	ˈɛ	0.2
nː	ɐ	0.2
#>	d_#>	0.2
ˈɪː	ˈeː	0.182
ˈɪː	ˈaɪ̯	0.182
ˈɔː	ˈaː	0.182
ˈʉ	ˈʏ	0.176
ˈʉ	v_ˈʊ	0.176
ˈʉə̯	ˈɔː	0.167
j	ˈɪ	0.167
ˈʉːə̯	ˈaɪ̯	0.143
ˈʉːə̯	l	0.143
<#	<#_v	0.136
r	-	0.133
#>	ç_#>	0.12
ˈʉ	ˈoː	0.118
ˈʉ	-	0.118
s	s	0.1
ɑ	-	0.091
<#	<#_ɡ	0.091
<#	<#_d	0.091
t	d_n	0.083
n	ɐ	0.083
n	-	0.083
#>	x_#>	0.08
#>	t_#>	0.08
#>	f_#>	0.08
s	-	0.067
