Old High German	Limburgish	probability
ˈɑ_l	ˈaː	1.0
ˈu_ŋ	ˈʊ	1.0
ˈou̯	ˈɔː	1.0
ˈiu̯	-	1.0
ˈio̯	ˈeː	1.0
ˈie̯	ˈeː	1.0
ˈeː	ˈi	1.0
ʦː	t	1.0
ʦ	t	1.0
ə	-	1.0
ɑ_r	ʀ	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
xː_ɑ	k	1.0
xː	k	1.0
x_t	x	1.0
w_i	ˈœi̯	1.0
v	β	1.0
tː	ˈɛ_j	1.0
s̻ː	t	1.0
s̻	t	1.0
s_l	s_l	1.0
rː	ʀ	1.0
r_ˈou̯	ʀ	1.0
r_ˈiu̯	ʀ	1.0
r_ɑ	ʀ	1.0
p͡f	p	1.0
p	p	1.0
oː	-	1.0
o	-	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
kː_ɑ	ɣ̊	1.0
kː	k	1.0
kʰ_n	k_n	1.0
kʰ	k	1.0
k	k	1.0
j	j	1.0
h_ɑ	n	1.0
h	ɦ	1.0
fː	p	1.0
eː	ə	1.0
e	ə	1.0
b_ɑ	v_ə	1.0
r	ʀ	0.897
w	β	0.895
b	b	0.874
ˈɑː	ˈɒː	0.873
l	l	0.861
ɛ	ə	0.846
ˈuː	ˈuː	0.799
f	v	0.799
u	ə	0.79
d	d	0.79
i	ə	0.783
ɑ	ə	0.754
n	n	0.741
ˈei̯	ˈɛː	0.732
ˈiː	ˈiː	0.73
x	x	0.677
ˈoː	ˈu	0.676
s_k	ʃ	0.624
s	z	0.594
ɡ	ɣ	0.58
t	d̥	0.562
t_ɑ	d_ə	0.556
s_t	s_t	0.517
s_t	s	0.483
ˈɛ	ˈeː	0.471
ˈe	ˈɪ	0.451
t_ɑ	j	0.444
ˈu	ˈʊː	0.436
ˈuo̯	ˈøː	0.434
ˈi	ˈɪː	0.419
ˈuo̯	ˈʊː	0.377
s_k	s	0.376
ˈo	ˈʊː	0.345
ˈɛ	-	0.343
ˈo	ˈɔ	0.33
ˈoː	-	0.324
x	-	0.323
ˈɑ	ˈaː	0.321
s	s	0.319
ˈe	-	0.316
t	-	0.292
ˈiː	-	0.27
ɡ	ɡ	0.268
ɑ	-	0.246
ˈɑ	ˈɑ	0.245
ˈe	ˈæ	0.233
i	j	0.217
u	-	0.21
d	-	0.21
ˈuː	ˈɔu̯	0.201
ˈuo̯	ˈoː	0.189
ˈɛ	ˈæː	0.186
n	ə	0.183
ˈɑ	ˈɑː	0.178
ˈu	-	0.161
ɛ	i	0.154
ɡ	ŋ	0.153
t	t	0.146
ˈo	ˈoː	0.143
ˈei̯	ˈɛːi̯	0.134
ˈei̯	-	0.134
ˈi	ˈeː	0.133
ˈi	-	0.13
ˈɑː	ˈi	0.127
b	v	0.126
f	v̥	0.118
ˈu	ˈøː	0.117
ˈi	ˈɛː	0.113
ˈo	ˈɔː	0.112
ˈu	ˈɔ	0.109
w	-	0.105
r	ʀ_ə	0.103
ˈu	ˈœ	0.1
l	l_ə	0.092
s	z̥	0.087
ˈi	ˈɛ	0.083
f	p	0.083
ˈu	ˈœː	0.077
n	-	0.076
ˈɑ	ˈɒː	0.075
ˈo	-	0.069
ˈi	ˈi	0.063
ˈi	ˈɪ	0.059
ˈɑ	ˈæː	0.054
