Lengadocian	Lengadocian	probability
β	β	1.0
ˈɛ_ʦ	ˈɛ_w	1.0
ˈɛ_s	ˈe_s	1.0
ˈɔ	ˈɔ	1.0
ˈu_n	ˈɔ_n	1.0
ˈu_#>	ˈɔ_#>	1.0
ˈi_ɔ	ˈi_ə	1.0
ˈe_#>	ˈɛ_#>	1.0
ˈa_ʦ	ˈa_w	1.0
ˈa_w	ˈɔ	1.0
ˈa_t	ˈa_t	1.0
ˈa_k	ˈa_k	1.0
ˈa_j	ˈa	1.0
ʦ_#>	#>	1.0
ʀ_e	r_u	1.0
ʀ_#>	r_n_#>	1.0
ʀ	r	1.0
ɲ	ɲ	1.0
ɥ_ˈɛ	ˈu	1.0
ɥ_ˈɔ	ˈɔ	1.0
ɥ	-	1.0
ɡ	ɡ	1.0
ŋ_k	ŋ	1.0
ŋ	ŋ	1.0
ð	ð	1.0
z_ˈu	ˈo	1.0
z_ˈi	ˈi	1.0
z	z	1.0
w_t	l_t	1.0
u	u	1.0
t_ɔ	t_ə	1.0
t	t	1.0
s_ˈɛ	s_ˈɛ	1.0
s_k	s_k	1.0
p_#>	p_#>	1.0
p	p	1.0
nː	b_r	1.0
n_ˈe	n_ˈɛ	1.0
n_#>	#>	1.0
mː	mː	1.0
m	m	1.0
l_ɔ	l_ə	1.0
l_e	ʎ_ə	1.0
k_a	k_ə	1.0
j_ʀ	w_ɾ	1.0
j_s	ʃ	1.0
j_#>	j_#>	1.0
f	f	1.0
e_n	ə_n	1.0
d	d	1.0
b_e	b_ə	1.0
b	b	1.0
a	ə	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈe	<#_ˈe	1.0
<#_e	<#_ə	1.0
s	s	0.971
k	k	0.957
ɔ	ə	0.956
ˈi	ˈi	0.944
ɾ	ɾ	0.941
n	n	0.93
ˈa	ˈa	0.919
ˈy	ˈu	0.905
ʎ	ʎ	0.889
ɣ	ɣ	0.833
e	ə	0.82
ʤ	ʒ	0.818
i	i	0.778
<#_ˈa	<#_ˈa	0.778
<#_a	<#_ə	0.727
ˈu	ˈo	0.697
w	w	0.682
ˈɛ	ˈe	0.679
ˈe	ˈɛ	0.607
j_ˈɛ	ˈi	0.571
j	j	0.571
l	ʎ	0.513
l	l	0.487
j_ˈɛ	ˈe	0.429
j	-	0.429
ʧ	t	0.4
ˈe	ˈe	0.393
ˈɛ	ˈɛ	0.321
ʧ	j_t	0.3
ʧ	-	0.3
<#_a	<#	0.273
i	-	0.222
<#_ˈa	<#	0.222
ʤ	ʤ	0.182
ɣ	ɡ	0.167
w	u	0.136
ˈu	ˈɔ	0.121
ˈu	ˈu	0.121
ʎ	ʎː	0.111
e	-	0.1
ˈy	ˈo	0.095
w	ˈɔ	0.091
w	-	0.091
e	i	0.08
n	ɲ	0.07
ˈu	ˈɛ_w	0.061
ɾ	-	0.059
ˈi	-	0.056
