Spanish	Spanish	probability
θ_a	ə	1.0
β_o	f	1.0
β_e	f	1.0
β_a	b_ə	1.0
ˈo_ð	ˈu_t	1.0
ˈo_t	ˈu	1.0
ˈo_n	ˈũ_n	1.0
ˈe_ɾ	r_ə	1.0
ˈe_ɣ	w	1.0
ˈa_β	ˈa	1.0
ˈa_ð	ˈɛ	1.0
ˈa_l	ˈa_w	1.0
ʧ	t	1.0
ʝ_o	l	1.0
ɾ_t	r_t	1.0
ɾ_o	r_ə	1.0
ɾ_n	r	1.0
ŋ	ŋ	1.0
ð_a	ə	1.0
ð_#>	θ_#>	1.0
t_a	t_ə	1.0
t	t	1.0
r	r	1.0
p	p	1.0
n_o	j_n	1.0
l_#>	l_#>	1.0
j_#>	j_#>	1.0
f	f	1.0
e_#>	#>	1.0
d_o	t	1.0
d	d	1.0
a_β	ə_v	1.0
a_n	ã_n	1.0
a_#>	#>	1.0
<#_θ	<#_ʦ	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈã	1.0
<#_ɡ	<#	1.0
<#_x	<#_ʤ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_o	<#_ɔ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_e	1.0
<#_a	<#_f_ˈa	1.0
#>	ə_#>	1.0
o_#>	#>	0.922
m	m	0.861
ɾ	r	0.859
i	-	0.857
s	s	0.846
x	ʎ	0.818
w	w	0.818
<#	<#_f	0.818
n	n	0.805
s_#>	s_#>	0.8
a	ə	0.783
l	l	0.778
ð	-	0.727
j	j	0.692
ʝ	l	0.667
ɡ	ɡ	0.636
ɲ	ɲ	0.625
β	v	0.6
w_ˈe	ˈɔ	0.588
b	v	0.571
ˈu	ˈy	0.556
k	k	0.521
e	ə	0.517
ˈa_ɣ	ˈɛ	0.5
ˈa_ɣ	ˈa	0.5
ɣ	ɡ	0.5
ɣ	j	0.5
u	u	0.5
u	-	0.5
ˈi	ˈi	0.486
k	ʧ	0.479
j_ˈe	ˈɛ	0.462
w_ˈe	ˈũ	0.412
j_ˈe	ˈẽ	0.385
ɲ	-	0.375
ɡ	k	0.364
ɟ͡ʝ	p_l	0.364
b	b	0.343
ʝ	-	0.333
ˈa	ˈã	0.316
ˈo	ˈu	0.3
ɟ͡ʝ	l	0.273
ð	t	0.273
β	-	0.267
o	u	0.25
ˈe	ˈɛ	0.246
ˈa	ˈa	0.228
θ	ʦ	0.222
θ	z	0.222
θ	s	0.222
θ	j_s	0.222
ˈu	j	0.222
l	-	0.222
ˈa	ˈe	0.211
s_#>	#>	0.2
ɟ͡ʝ	ʤ	0.182
ɟ͡ʝ	k_l	0.182
x	-	0.182
w	ˈɛ	0.182
<#	<#_e	0.182
a	a	0.174
e	j	0.172
ˈi	ˈĩ	0.171
ˈi	-	0.171
ˈo	ˈy	0.167
ˈe	ˈɔ_j	0.158
ˈe	ˈẽ	0.158
s	-	0.154
j_ˈe	ˈi	0.154
j	ˈĩ	0.154
j	-	0.154
o	ə	0.15
n	j_n	0.146
i	ĩ	0.143
ˈe	ˈi	0.14
m	-	0.139
β	b	0.133
ˈo	ˈɔ	0.133
ˈo	w	0.133
o	j	0.125
o	-	0.125
θ	j	0.111
ˈu	ˈũ_j	0.111
ˈu	-	0.111
e	-	0.103
ˈo	w_ˈɛ	0.1
ˈe	ˈe	0.088
ˈe	-	0.088
ˈi	ˈɛ	0.086
ˈi	r	0.086
b	-	0.086
o_#>	n_#>	0.078
o	ˈɔ	0.075
o	w	0.075
o	ũ	0.075
o	s	0.075
ɾ	-	0.071
ˈe	j	0.07
ˈa	ˈɛ	0.07
ˈa	j_ˈɛ	0.07
e	ˈẽ	0.069
e	ɛ	0.069
e	e	0.069
ˈo	ˈũ	0.067
ˈo	-	0.067
ˈe	ˈɔ	0.053
ˈa	j_ˈe	0.053
ˈa	j	0.053
