Bavarian	Swabian	probability
a	ʌ	0.664
a	a	0.297
b̥	b	0.846
b̥	-	0.154
d̥	d	0.942
d̥	t	0.058
f	f	1.0
h	h	0.964
i	i	0.68
i	l	0.2
i	ɪ	0.12
j	l	0.885
j	j	0.115
k	ɡ	0.907
k	k	0.093
kʰ	kʰ	0.966
l	l	0.965
m	m	0.915
m	b_a	0.063
n	n	0.524
n	a	0.296
n	-	0.159
p	b̥	0.62
p	b	0.306
p	p͡f	0.074
p͡f	b̥͡f	0.804
p͡f	b	0.123
p͡f	p͡f	0.072
r	ʁ	0.91
r	ʕ	0.09
s	s	0.929
s	ʃ	0.071
t	d	0.934
t	t	0.066
x	x	0.622
x	ç	0.378
ç	ç	1.0
ŋ	ŋ	0.622
ŋ	ɡ_a	0.156
ŋ	ɪ	0.151
ŋ	ɡ	0.071
ɐ	-	0.648
ɐ	ʌ	0.204
ɐ	ˈʌ	0.148
ə	l	0.354
ə	m	0.354
ə	e	0.293
ɡ̊	ɡ	0.983
ʃ	ʃ	1.0
ʋ	ʋ	1.0
ʦ	ʦ	1.0
ˈa	ˈa	0.759
ˈa	ˈaː	0.206
ˈai̯	ˈəi̯	0.672
ˈai̯	ˈae̯	0.283
ˈau̯	ˈao̯	1.0
ˈaː	ˈoː	0.43
ˈaː	ˈao̯	0.291
ˈaː	ˈɔː	0.252
ˈe	ˈɛ	0.32
ˈe	ˈeə̯	0.241
ˈe	ˈeː	0.234
ˈe	ˈe	0.134
ˈe	ˈiə̯	0.072
ˈeɐ̯	ˈi	0.436
ˈeɐ̯	ˈeə̯	0.342
ˈeɐ̯	ˈɔə̯	0.221
ˈeː	ˈeː	0.487
ˈeː	ˈeə̯	0.388
ˈeː	ˈɛː	0.124
ˈi	ˈe	0.262
ˈi	ˈi	0.254
ˈi	ˈɪ	0.212
ˈi	ˈeː	0.166
ˈiɐ̯	ˈiə̯	0.773
ˈiɐ̯	ˈi	0.227
ˈiː	ˈiː	0.733
ˈiː	ˈi	0.267
ˈo	ˈo	0.522
ˈo	ˈa	0.385
ˈo	ˈɛ	0.084
ˈou̯	ˈoː	0.913
ˈou̯	ˈao̯	0.087
ˈoɐ̯	ˈɔe̯	0.563
ˈoɐ̯	ˈoː	0.163
ˈoɐ̯	ˈɔ	0.143
ˈoɐ̯	ˈa	0.053
ˈoː	ˈoː	0.359
ˈoː	ˈaː	0.322
ˈoː	ˈa	0.319
ˈu	ˈo	0.499
ˈu	ˈu	0.173
ˈu	ˈi	0.151
ˈu	ˈoː	0.093
ˈu	ˈiː	0.084
ˈuɐ̯	ˈuə̯	0.808
ˈuɐ̯	ˈu	0.192
ˈy	ˈi	1.0
ˈɑː	ˈɛː	1.0
ˈɒ	ˈa	0.755
ˈɒ	ˈɛ	0.245
ˈɒː	ˈɔː	0.664
ˈɒː	ˈaː	0.336
ˈɔ	ˈɔ	0.321
ˈɔ	ˈo	0.206
ˈɔ	ˈa	0.17
ˈɔ	ˈaː	0.17
ˈɔ	ˈɔː	0.075
ˈɔ	ˈao̯	0.059
ˈɛ	ˈɛ	0.426
ˈɛ	ˈoː	0.291
ˈɛ	-	0.125
ˈɛ	ˈe	0.095
ˈɛ	ˈɛː	0.063
ˈɛː	ˈeː	0.622
ˈɛː	ˈɛː	0.378
ˈʏ	ˈɪ	1.0
