Corsican	Sicilian	probability
a	a	0.909
a	-	0.075
b	b	0.66
b	v	0.234
b	-	0.087
bː	ɟː	1.0
c	cː	0.758
c	ɕ	0.242
d	d	0.468
d	ɾ	0.3
d	-	0.136
d	t	0.088
dː	dː	1.0
e	ɪ	0.881
e	i	0.066
e	-	0.053
f	f	0.877
f	ç	0.123
i	i	0.53
i	ɪ	0.404
j	-	0.471
j	j	0.29
j	ɪ	0.105
j	ˈi	0.068
j	ˈa	0.066
k	k	0.934
kː	kː	1.0
l	l	0.873
lː	ɖː	0.862
lː	lː	0.106
m	m	0.89
m	mː	0.07
mː	mː	1.0
n	n	0.916
n	nː	0.084
nː	nː	0.919
nː	n	0.081
o	ʊ	0.417
o	o	0.328
o	a	0.129
o	w	0.126
p	p	0.893
p	c	0.107
r	ɾ	0.625
r	r	0.145
r	ɽ	0.097
r	ʐ	0.059
r	-	0.051
rː	ʐː	1.0
s	s	0.854
s	ʃ	0.127
sː	sː	0.616
sː	ʃː	0.384
t	t	0.84
t	ʈ	0.144
tː	tː	0.958
u	ʊ	0.877
v	v	0.961
w	w	0.795
w	ʊ	0.205
z	z	0.666
z	ʃː	0.334
ŋ	ŋ	0.74
ŋ	n	0.241
ɟ	j	0.379
ɟ	ʤ	0.196
ɟ	ʤː	0.121
ɟ	ɟ	0.083
ɟ	ɡ	0.078
ɟ	ɕ	0.058
ɟ	-	0.053
ɡ	ɡ	0.805
ɡ	-	0.108
ɡ	k	0.087
ɲ	ɲː	0.922
ɲ	ɲ	0.078
ʃ	ʃ	0.716
ʃ	ʃː	0.284
ʃː	ʃː	1.0
ʎ	ɟː	1.0
ʒ	z	1.0
ʣ	ʦː	1.0
ʤ	ʤː	0.715
ʤ	v	0.285
ʦ	ʦ	0.688
ʦ	s	0.312
ʦː	ʦː	1.0
ʧ	ɕ	0.986
ʧː	ʧː	1.0
ˈa	ˈa	1.0
ˈe	ˈɛ	0.812
ˈe	ˈi	0.119
ˈi	ˈi	0.952
ˈo	ˈu	0.533
ˈo	ˈɔ	0.323
ˈo	ˈo	0.09
ˈo	w	0.054
ˈu	ˈu	1.0
ˈɔ	ˈɔ	0.665
ˈɔ	ˈu	0.247
ˈɔ	ˈo	0.051
ˈɛ	ˈi	0.488
ˈɛ	ˈɛ	0.346
ˈɛ	-	0.061
