English	Old Frisian	probability
θ	θ	1.0
ʤ	ɡː	1.0
ʃ	s_k	1.0
ɡ	ɡ	1.0
ɜː	r_ˈe	1.0
əʊ̯	-	1.0
ə_n	ə_n	1.0
z	z	1.0
w_ˈe	w	1.0
s_l	s_l	1.0
s	s	1.0
b	b	1.0
d	d	0.986
f	f	0.973
l	l	0.951
ɫ	l	0.942
ɹ	r	0.922
h	h	0.921
m	m	0.92
p	p	0.916
w	w	0.894
n	n	0.886
t	t	0.832
ˈaʊ̯	ˈuː	0.775
k	k	0.726
ʧ	ʦ	0.671
ˈɛ	ˈe	0.662
ˈəʊ̯	ˈɛː	0.638
ˈɔː	ˈo_r	0.638
v	v	0.615
ŋ	ŋ_ɡ	0.614
ˈʊ	ˈoː	0.6
ˈɜː	r	0.587
ˈɐ	ˈu	0.58
ɪ	ə	0.562
ˈɒ	-	0.553
ˈɪ	ˈi	0.536
ˈiː	ˈeː	0.507
ð	ð	0.5
ð	d_ə	0.5
ˈe	ˈe	0.485
ˈɑː	ˈe_r	0.457
ˈɒ	ˈo	0.447
ɪ	ə_x	0.438
ˈæ	ˈɔː	0.432
ˈuː	-	0.424
ˈeɪ̯	ˈe_j	0.419
ˈuː	ˈoː	0.417
ˈɜː	ˈo_r	0.413
ˈeɪ̯	ˈa	0.406
ˈʊ	ˈu	0.4
ˈaɪ̯	ˈiː	0.392
ə	ə_r	0.386
ŋ	ŋ	0.386
ə	r	0.339
ˈɛ	-	0.338
ˈæ	ˈa	0.338
ʧ	k_ə	0.329
v	f	0.238
ˈɑː	ˈe	0.233
ˈæ	ˈe	0.23
ˈaʊ̯	-	0.225
ˈe	ˈaː	0.223
ˈaɪ̯	ˈi	0.218
ˈəʊ̯	-	0.215
ˈɪ	ˈe	0.2
ˈɔː	r	0.187
ˈɔː	ˈa_r	0.175
ˈeɪ̯	ˈaː	0.175
k	k_ə	0.175
ˈuː	w	0.159
ˈiː	ˈaː	0.158
ˈɑː	ˈa_l	0.155
ˈɑː	ˈa	0.155
ˈɐ	ˈuː	0.152
ˈəʊ̯	ˈa	0.147
v	bː	0.147
ˈɐ	-	0.142
ə	ə	0.138
ə	r_ə	0.138
ˈiː	ˈi̯aː	0.133
ˈɐ	ˈoː	0.127
ˈaɪ̯	ɣ	0.123
ˈe	ˈi̯uː	0.112
ˈe	ˈi̯aː	0.112
w	h_w	0.106
k	ə	0.099
n	nː	0.086
ˈaɪ̯	ˈi̯aː_ɣ	0.084
p	pː	0.084
h	h_ˈɛː	0.079
ɹ	h_r	0.078
ˈiː	ˈɛː	0.077
ˈiː	-	0.077
t	x_t	0.071
t	tː	0.07
ˈe	-	0.068
ˈɪ	ˈe_n	0.063
ˈɪ	ˈi̯aː	0.061
ˈaɪ̯	ˈi_x	0.061
ˈaɪ̯	ˈa_x	0.061
ˈaɪ̯	x	0.061
ˈɪ	ˈeː	0.06
ɫ	lː	0.058
