East Low German	West Flemish	probability
b	b	0.86
b	v	0.117
d	d	0.62
d	t	0.357
f	v	0.841
f	f	0.154
h	k	0.538
h	z	0.462
j	ɦ	0.819
j	j	0.181
k	k	0.805
k	ɦ	0.171
kʰ	k	0.993
l	l	0.881
l	w	0.079
m	m	0.744
m	n	0.136
m	-	0.056
m	m_n	0.056
n	n	0.905
p	p	0.95
r	ɾ	1.0
s	s	0.87
s	z	0.13
t	t	0.885
t	-	0.081
tʰ	t	1.0
v	ʋ	0.951
w	ʋ	1.0
x	h	0.888
x	ɦ	0.112
z	z	0.982
æ	ɾ	0.808
æ	ɾ_ə	0.136
ç	h	0.363
ç	ɦ	0.266
ç	k	0.113
ç	-	0.113
ç	ŋ	0.074
ç	ç	0.071
ŋ	ŋ	0.772
ŋ	ɦ_n	0.228
ɡ	ɦ	1.0
ɣ	ɦ	1.0
ɪ	ə	0.518
ɪ	ɪ	0.251
ɪ	m	0.231
ɾ	d	0.41
ɾ	-	0.3
ɾ	ə	0.29
ʃ	s	0.641
ʃ	ʃ	0.258
ʃ	z	0.101
ˈa	ˈɑ	0.872
ˈa	ˈɒː	0.096
ˈae̯	ˈɛː	0.525
ˈae̯	ˈiə̯	0.443
ˈaɪ̯	ˈiə̯	1.0
ˈaʊ̯	ˈuə̯	0.464
ˈaʊ̯	ˈoː	0.448
ˈaː	ˈɑ	0.553
ˈaː	ˈæ_ɾ	0.368
ˈaː	ˈɒː	0.078
ˈeː	ˈiə̯	0.5
ˈeː	ˈɛː	0.5
ˈiː	ˈi	0.515
ˈiː	ˈiə̯	0.17
ˈiː	ˈæ	0.147
ˈiː	ˈyː	0.064
ˈiː	ˈɛː	0.055
ˈoː	ˈɒː	0.661
ˈoː	ˈoː	0.339
ˈuː	ˈyː	0.493
ˈuː	ˈoː	0.343
ˈuː	ˈu	0.104
ˈuː	ˈɔ	0.06
ˈyː	ˈiə̯	0.556
ˈyː	ˈoː	0.271
ˈyː	ˈyː	0.173
ˈøː	ˈoː	1.0
ˈœ	ˈɔ	0.49
ˈœ	ˈɛ	0.371
ˈœ	ˈoː	0.139
ˈœː	ˈøː	0.607
ˈœː	ˈoː	0.226
ˈœː	ˈeː	0.168
ˈɒː	ˈɒː	0.815
ˈɒː	ˈoː	0.127
ˈɒː	ˈøː	0.059
ˈɔ	ˈɔ	0.753
ˈɔ	ˈɛː	0.133
ˈɔ	ˈoː	0.114
ˈɔʏ̯	ˈuə̯	0.523
ˈɔʏ̯	ˈoː	0.477
ˈɛ	ˈæ	0.474
ˈɛ	ˈeː	0.268
ˈɛ	ˈɛ	0.258
ˈɛɪ̯	ˈɒː	1.0
ˈɛː	ˈeː	0.859
ˈɛː	ˈɑ	0.077
ˈɛː	ˈøː	0.064
ˈɪ	ˈɪ	0.681
ˈɪ	ˈiə̯	0.161
ˈɪ	ˈɛ	0.082
ˈʊ	ˈu	0.656
ˈʊ	ˈœ	0.288
ˈʊ	ˈuə̯	0.056
ˈʏ	ˈiə̯	0.51
ˈʏ	ˈœ	0.25
ˈʏ	ˈɪ	0.155
ˈʏ	ˈʏ	0.085
