Lombard	Sicilian	probability
a	a	0.936
ã	a	1.0
b	b	0.593
b	-	0.197
b	ʤ	0.158
b	v	0.051
d	d	0.352
d	t	0.299
d	ɾ	0.167
d	nː	0.061
d	-	0.061
d	ʈ	0.06
e	ɪ	0.441
e	ɽ	0.181
e	ˈɛ	0.125
e	-	0.113
e	i	0.112
ẽ	ʊ	1.0
f	f	0.634
f	v	0.231
f	ç	0.066
i	i	0.695
i	ʊ	0.181
i	a	0.093
ĩ	n	0.634
ĩ	i	0.271
ĩ	-	0.095
j	-	0.405
j	ʈ	0.176
j	ɟː	0.159
j	j	0.084
j	ɕ	0.058
k	k	0.791
k	kː	0.095
l	l	0.564
l	ɖː	0.268
l	w	0.056
l	ɾ	0.052
m	m	0.721
m	mː	0.093
m	nː	0.093
m	-	0.058
n	n	0.895
n	nː	0.105
o	u	1.0
p	p	0.83
p	c	0.17
r	ɾ	0.6
r	-	0.136
r	ɽ	0.112
r	r	0.065
r	ʐ	0.055
s	s	0.5
s	ɕ	0.178
s	ʃː	0.135
s	z	0.063
t	t	0.405
t	n_t	0.226
t	tː	0.155
t	nː	0.062
u	u	0.26
u	ʊ	0.216
u	w	0.137
u	a	0.134
u	r	0.133
u	o	0.119
ũ	u	1.0
v	v	1.0
w	w	1.0
z	ɕ	0.925
z	ʤ	0.075
ɛ	ɪ	0.714
ɛ	-	0.286
ɡ	ɡ	0.371
ɡ	-	0.267
ɡ	w	0.244
ɡ	v	0.118
ɲ	ɲː	0.582
ɲ	n	0.336
ɲ	ɲ	0.082
ʃ	z	0.726
ʃ	ɕ	0.189
ʃ	ʃ	0.086
ʋ	v	0.693
ʋ	-	0.202
ʋ	ɪ	0.055
ʤ	j	0.376
ʤ	cː	0.233
ʤ	ʤ	0.14
ʤ	d	0.093
ʤ	ɟ	0.087
ʤ	ɟː	0.06
ʦ	ɕ	0.396
ʦ	ʦː	0.367
ʦ	ʧː	0.193
ʧ	ɕ	0.413
ʧ	cː	0.231
ʧ	tː	0.129
ʧ	kː	0.069
ʧ	dː	0.054
ʧ	j	0.054
ʧ	t	0.051
ˈa	ˈa	0.939
ˈaː	ˈa	1.0
ˈãː	ˈa	1.0
ˈe	ˈi	0.533
ˈe	ˈɛ	0.333
ˈe	-	0.094
ˈeː	ˈi	1.0
ˈẽː	ˈɛ	0.461
ˈẽː	ŋ	0.265
ˈẽː	ˈi	0.165
ˈẽː	ˈa	0.109
ˈi	ˈi	0.654
ˈi	ˈu	0.198
ˈi	ɪ	0.148
ˈĩː	ˈi	0.754
ˈĩː	ŋ	0.246
ˈo	ˈo	0.5
ˈo	ˈɔ	0.5
ˈu	ˈu	0.842
ˈu	ˈɔ	0.088
ˈu	ˈo	0.071
ˈuː	ˈa	0.889
ˈuː	ˈu	0.111
ˈũː	ˈu	0.498
ˈũː	ˈo	0.279
ˈũː	n	0.223
ˈy	ˈu	0.739
ˈy	ˈi	0.261
ˈyː	ˈu	1.0
ˈỹː	ʊ	1.0
ˈø	ˈɔ	1.0
ˈøː	ˈɔ	1.0
ˈɔ	ˈɔ	0.648
ˈɔ	ˈa	0.23
ˈɔ	ˈi	0.086
ˈɛ	ˈɛ	0.758
ˈɛ	ˈi	0.152
ˈɛ	-	0.059
ˈɛ̃ː	m	1.0
ˈˈi	ɪ	1.0
