Bokmål Norwegian	West Frisian	probability
ˈʊ	-	1.0
ˈœʏ̯	ˈɪə̯	1.0
ˈæː	-	1.0
ʈː	t	1.0
ʈ	t	1.0
ɾ_ə	ə	1.0
ɳ	n	1.0
ɪ	ɪ	1.0
ŋː	ŋ	1.0
ŋ	ɣ̥	1.0
ç	ʦ	1.0
tʰ	ʦ	1.0
t	t	1.0
sː	s	1.0
s_ˈʏ	ɕ	1.0
s_l	s_l	1.0
pː	p	1.0
p	p	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
kː	k	1.0
i	ɪ	1.0
h	h	1.0
f	f	1.0
b	b	1.0
s	s	0.963
l	l	0.962
d	d	0.945
nː	n	0.933
ɾ	r	0.892
ə	ə	0.824
lː	l	0.712
ˈeː	-	0.701
ɡː	-	0.687
ɡ	ɡ	0.667
tː	t	0.642
ʂ	s	0.64
k	k	0.634
ˈøː	ˈɪə̯	0.615
ˈuː	ˈuə̯	0.586
ˈɪ	ˈɪ	0.573
ʋ	ʋ	0.52
ˈʉː	-	0.488
ˈœ	-	0.481
ˈæɪ̯	ˈɛi̯	0.463
ˈʏ	ˈɪ	0.446
ˈɔ	-	0.435
ˈɑ	ˈa	0.42
ˈuː	ˈoə̯	0.414
ˈoː	ˈiə̯	0.394
ˈʉː	ˈuː	0.365
ˈiː	ˈi	0.361
ʂ	s_k	0.36
ʋ	v	0.358
tː	χ_t	0.358
ˈʉ	ˈɔ	0.342
ˈʉ	ˈu	0.326
j	-	0.322
ˈyː	j	0.317
ˈiː	j	0.315
ˈɑː	ˈa	0.314
ɡː	ɣ̥	0.313
ˈœ	ˈɪ	0.309
ˈɑː	ˈɛː	0.307
ˈɔ	ˈɔ	0.305
ˈʏ	ˈɛː	0.277
ˈʏ	ˈy	0.277
ˈæɪ̯	-	0.276
ˈɛ	ˈɛ	0.262
ˈæɪ̯	ˈiə̯	0.261
ˈɔ	ˈoə̯	0.26
ˈɑː	ˈaː	0.25
ˈyː	ˈiə̯	0.249
ˈyː	j_ˈuə̯	0.243
j	h	0.235
ˈʉ	ˈuː	0.208
ˈɛ	ˈɪ	0.208
ˈeː	ˈɪ	0.203
ˈoː	ˈoə̯	0.195
ɡ	-	0.195
ˈyː	-	0.19
ˈiː	ˈiː	0.185
ˈɑ	ˈɔː	0.178
ˈoː	ˈaː	0.177
ˈɑ	-	0.176
ə	-	0.176
lː	l_d̥	0.175
ˈɪ	ˈiː	0.171
k	ˈiː_k	0.17
ˈœ	ˈoə̯	0.163
j	ɡ	0.157
ˈɛ	ˈiə̯	0.156
ˈøː	-	0.156
ˈʉː	ˈoː	0.148
j	ɣ̥	0.148
ˈiː	ˈɪ	0.139
ɡ	ɣ_j	0.138
j	ˈɪə̯	0.138
ˈɪ	ˈi	0.131
ˈɑː	-	0.129
ˈʉ	-	0.125
ˈɪ	-	0.124
ʋ	-	0.123
ˈøː	ˈiə̯	0.121
ˈoː	-	0.118
ˈoː	ˈɪə̯_n	0.117
ˈɑ	ˈɪə̯	0.115
lː	d̥	0.113
ˈɑ	ˈaː	0.111
ˈøː	ˈeː	0.109
k	ˈɪə̯_k	0.101
ˈeː	ˈai̯	0.096
k	χ	0.095
ˈɛ	ˈɛː	0.092
ˈɛ	ˈa	0.091
nː	n_d	0.067
ˈɛ	ˈøə̯	0.064
ˈɛ	ˈɛi̯	0.063
ˈɛ	ˈɔ	0.063
d	d̥	0.055
ɾ	-	0.05
