Old West Norse	Eastphalian	probability
θ	d	1.0
ˈɛː	-	1.0
ˈɛ	ˈa	1.0
ˈɔː	ˈaʊ̯	1.0
ˈɒu̯	ˈeo̯	1.0
ˈøː	ˈɔʏ̯	1.0
ˈuː	ˈuː	1.0
ˈa	-	1.0
ʦ	t	1.0
ʝː	j	1.0
ɣ_ɑ	ŋ	1.0
ɣ_r̥	ç	1.0
ɡː	-	1.0
ɡ_r̥	ɐ	1.0
ɟː	ɡ	1.0
ɟ	-	1.0
ɑː	ɒː	1.0
ŋ_ɡ	ŋ	1.0
ŋ_ɟ	ŋ	1.0
ð_r	ɐ	1.0
ð_i	d	1.0
ç	h	1.0
x	v	1.0
w	-	1.0
v_n	m	1.0
u	-	1.0
t_ɑ	t_n	1.0
t	t	1.0
sː	z̥	1.0
s_k	ʃ	1.0
r̥ː	ɐ	1.0
r̥	ə	1.0
r_i	ɐ	1.0
pː	p	1.0
p	p	1.0
n̥	n	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kː	ŋ_k	1.0
kʰ	k	1.0
k	k	1.0
j_ˈɔ	ˈeː	1.0
j_ˈuː	ˈɛɪ̯	1.0
j_ˈoː	ˈɛɪ̯	1.0
j_ɑ	n	1.0
i_r̥	ɐ	1.0
h	h	1.0
f	f	1.0
e	ˈɪ	1.0
d_r̥	d̥	1.0
d	d̥	1.0
cː	k	1.0
cʰ	k	1.0
b	b	1.0
ˈɛi̯	ˈɛɪ̯	0.923
ˈi	ˈɪ	0.906
i	-	0.763
ˈeː	ˈiː	0.717
ð	d̥	0.717
a	n	0.714
ˈiː	ˈiː	0.694
v	v	0.685
c	ʃ	0.681
ˈɑu̯	ˈeo̯	0.678
j	-	0.667
tː	t	0.648
ŋ	ŋ	0.626
nː	n	0.625
r	ɐ	0.61
ɡ	ɣ	0.569
ˈøy̯	-	0.562
ɣ	-	0.551
ˈoː	ˈaʊ̯	0.529
ˈɑː	ˈɒː	0.494
ˈyː	-	0.494
s	z	0.494
ˈɔ	ˈɛː	0.485
ˈu	ˈʊ	0.471
ˈɑ	ˈa	0.451
ɑ	n	0.451
ˈøy̯	ˈeo̯	0.438
s	s	0.434
ɡ	-	0.431
ˈo	ˈoː	0.423
ˈe	-	0.379
ŋ	-	0.374
ˈy	ˈoː	0.37
tː	x	0.352
ˈoː	ˈɔ	0.337
j	ˈeː	0.333
ɑ	ə	0.331
ˈyː	ˈyː	0.329
ˈɑː	-	0.323
ˈɑu̯	-	0.322
c	k	0.319
r	r	0.315
ˈe	ˈɛ	0.296
ˈɔ	-	0.287
a	ə	0.286
ˈeː	ç	0.283
ð	-	0.283
ɣ	ɣ̊	0.262
ˈy	ˈʏ	0.242
i	ə	0.237
nː	-	0.236
ˈɔ	ˈa	0.229
ˈy	ˈɪ	0.227
ˈo	ˈɔ	0.217
ˈo	ˈœ	0.217
ˈe	ˈɛː	0.194
ɣ	ɣ	0.187
ˈɑ	-	0.185
ˈɑː	ˈa	0.183
ˈiː	ˈɛɪ̯	0.183
ˈyː	ˈʏ	0.177
ˈy	-	0.161
v	f	0.159
v	w	0.156
ˈo	-	0.144
ˈɑ	ˈɒː	0.141
nː	n_ə	0.139
ˈoː	ˈʊ	0.134
ˈe	ˈɪ	0.131
ˈiː	n	0.124
ˈu	ˈɔ	0.122
ˈu	ˈuː	0.121
ˈu	ˈœ	0.115
ˈu	ˈʏ	0.114
ˈɑ	ˈaː	0.098
ˈi	-	0.094
ɑ	-	0.09
ˈɛi̯	ˈaɪ̯	0.077
s	n	0.072
ɑ	ɪ	0.07
ˈɑ	ˈɔ	0.064
ɑ	m	0.057
ˈu	-	0.056
