Ukrainian	Russian	probability
ˈ	ˈ	1.0
ʧʲ	ʨ	1.0
ʦʲ	ʦ	1.0
ʦ	ʦ	1.0
ʤ	ʨ	1.0
ʒʲ	ʐ	1.0
ʍ	ɫ	1.0
ʋʲ	vʲ	1.0
ʊ	ʊ	1.0
ʃʲ	ʂ	1.0
ʃ	ɕː	1.0
ɫ_ɪ	lʲ_i	1.0
ɪ_ˈ	ɨ	1.0
ɦʲ	ɡ_ə	1.0
ɔ_ɫ	ɪ_ɫ	1.0
ɔ_tʲ	ə_tʲ	1.0
zʲ	z	1.0
tʲ	tʲ	1.0
sʲ	sʲ	1.0
rʲ	rʲ	1.0
pʲ	-	1.0
nʲ_i	n_o	1.0
nʲ	nʲ	1.0
n	n	1.0
mʲ	mʲ	1.0
lʲ	lʲ	1.0
kʲ	k	1.0
k_e	kʲ_ɪ	1.0
dʲ	dʲ	1.0
a	a	1.0
j	j	0.966
ɔ_ˈ	o_ˈ	0.909
ʋ	v	0.889
u	u	0.875
k	k	0.852
ɫ	ɫ	0.82
ɑ	a	0.806
w	v	0.797
s	s	0.785
x	x	0.784
ʧ	ʨ	0.721
t	tʲ	0.7
ɦ	ɡ	0.655
ʒ	ʐ	0.614
ɔ	ɐ	0.608
r	r	0.601
m	m	0.589
p	pʲ	0.555
ɛ	e	0.538
z	z	0.522
d	d	0.502
b	b	0.497
e	ɨ	0.488
p	p	0.445
i	e	0.437
ɪ	ɨ	0.423
m	mʲ	0.411
r	rʲ	0.399
ʒ	ʐ̊	0.386
b	bʲ	0.358
ɐ	ə	0.353
d	dʲ	0.322
z	zʲ	0.313
ɐ	ɪ	0.304
t	t	0.3
ɛ	ɵ	0.296
ʧ	-	0.279
ɦ	-	0.277
i	o	0.244
ɪ	i	0.24
x	xʲ	0.216
s	sʲ	0.215
ɔ	ə	0.203
w	f	0.203
ɐ	a_ˈ	0.202
ɪ	-	0.197
e	ɪ	0.197
ɫ	lʲ	0.18
e	-	0.177
d	d̥	0.176
ɛ	ɪ	0.166
z	-	0.165
i	ɪ	0.151
k	-	0.148
b	b̥	0.145
ɐ	-	0.141
ɪ	ɪ	0.14
ɑ	æ	0.139
e	o	0.137
u	ʉ	0.125
ʋ	ɫ	0.111
ɔ	o	0.103
ɔ_ˈ	ˈ	0.091
ɔ	o_ˈ	0.086
ɦ	ɡʲ	0.067
i	-	0.063
i	ɨ	0.061
ɑ	-	0.055
