Icelandic	Alsatian	probability
a	ə	0.517
a	-	0.424
a	d̥_ə	0.049
b̥	b̥	1.0
c	ʃ	1.0
cʰ	kʰ	1.0
d̥	d̥	0.525
d̥	t	0.38
d̥	ʃ	0.092
d̥_ʏ	d̥	1.0
f	f	1.0
h	h	1.0
j	-	0.718
j	m	0.079
j	x	0.064
j	ˈiː	0.064
j	v	0.052
j	ˈi	0.047
j_ˈoːu̯	ˈiː	0.803
j_ˈoːu̯	ˈeː	0.123
k	-	0.443
k	ʃ	0.409
k	k	0.12
k_ʏ	ʃ	0.251
kʰ	kʰ	0.587
kʰ	ʋ	0.376
kʰ	f	0.043
l	l	1.0
l̥	l	1.0
l̥_ʏ	l	0.501
m	m	0.947
m	e	0.055
m_ʏ	m	1.0
n	n	0.862
n	-	0.133
nː	n	0.803
nː	l	0.194
n̥	n	0.518
n̥	ə	0.381
n̥	-	0.091
p	f	0.833
p	m	0.139
r	ʁ	0.972
r	-	0.04
r̥	-	0.692
r̥	ʁ	0.295
s	s	0.521
s	ʃ	0.386
s	-	0.088
s_j	s	1.0
sː	s	0.501
t	-	0.436
t	s	0.231
t	t	0.189
t	ʦ	0.127
t_ʏ	s	1.0
tʰ	ʦ	1.0
u	i	0.288
u	ˈɒ	0.288
v	-	0.383
v	ʋ	0.337
v	b̥	0.116
v	s	0.058
v	w	0.051
v	f	0.045
v	v	0.04
v_ʏ	f	0.251
ð	t	0.764
ð	d̥	0.115
ð	-	0.056
ð	s	0.056
ŋ	ŋ	0.818
ŋ	n	0.096
ŋ	-	0.071
ɑu̯	i	0.251
ɛ	-	0.66
ɛ	ə	0.166
ɟ̊	ɡ̊	0.794
ɟ̊	-	0.165
ɟ̊ː	k	1.0
ɡ̊	-	0.58
ɡ̊	ɡ̊	0.349
ɡ̊	v	0.065
ɡ̊_ʏ	ə	1.0
ɡ̊ː	k	0.574
ɡ̊ː	-	0.288
ɣ	-	0.218
ɣ	j	0.175
ɣ	ʋ	0.175
ɣ	ʦ	0.175
ɪ	ə	0.498
ɪ	-	0.487
ɲ	ŋ	0.501
ʏ	-	0.85
ʏ	ə	0.097
ʏ	i	0.047
ʏ_r̥	i	1.0
ʰk	k	1.0
ʰp	p͡f	1.0
ʰt	x_t	0.354
ʰt	-	0.146
ʰt	s	0.146
ʰt	x	0.107
ʰt	t	0.102
ˈa	ˈɒ	0.613
ˈa	ˈe	0.166
ˈa	ˈɒː	0.145
ˈa	ˈʊː	0.061
ˈai̯	ˈiː	0.45
ˈai̯	ˈi	0.342
ˈaː	ˈɒ	0.587
ˈaː	ˈɒː	0.407
ˈaːi̯	ˈɒ	0.53
ˈaːi̯	ˈiː	0.461
ˈeːi̯	ˈai̯	0.5
ˈeːi̯	ˈəi̯	0.5
ˈi	ˈi	1.0
ˈiː	ˈiː	0.766
ˈiː	ˈʊː	0.128
ˈiː	ˈeː	0.098
ˈiː_r̥	ˈei̯	0.501
ˈou̯	ˈi	0.501
ˈoːu̯	ˈʊː	0.683
ˈoːu̯	ˈu	0.122
ˈoːu̯	ˈøː	0.122
ˈoːu̯	ˈeː	0.069
ˈu	ˈu	0.478
ˈu	j	0.158
ˈu	ʋ	0.158
ˈu	ˈo	0.105
ˈuː	ˈyː	0.564
ˈuː	ˈøi̯	0.174
ˈuː	j	0.12
ˈuː	ˈiː	0.089
ˈœ	ˈaː	0.401
ˈœ	ˈæː	0.201
ˈœ	ˈɒ	0.116
ˈœ	ˈɒː	0.072
ˈœː	ˈɛ	0.288
ˈœː	ə	0.095
ˈœː	ˈəi̯	0.095
ˈœːy̯	ˈoː	0.558
ˈœːy̯	ˈʊː	0.202
ˈœːy̯	ˈœ	0.139
ˈɑu̯	ˈɒ	1.0
ˈɑːu̯	ˈoː	0.533
ˈɑːu̯	ˈæː	0.168
ˈɑːu̯	ˈɒː	0.168
ˈɑːu̯	ˈeː	0.116
ˈɔ	ˈo	0.683
ˈɔ	ˈu	0.262
ˈɔ	ˈɔi̯	0.044
ˈɔu̯	ˈoː	0.213
ˈɔu̯	ˈɒː	0.213
ˈɔu̯	ˈi	0.144
ˈɔu̯	ˈøː	0.123
ˈɔː	ˈoː	0.501
ˈɛ	ˈi	0.212
ˈɛ	ˈe	0.18
ˈɛ	ˈəi̯	0.18
ˈɛ	ˈæ	0.119
ˈɛ	ˈɒ	0.103
ˈɛ	ˈæː	0.082
ˈɛ	ˈeː	0.061
ˈɛ	ˈɛ	0.049
ˈɛi̯	ˈəi̯	0.501
ˈɛː	ˈæ	0.283
ˈɛː	ˈe	0.246
ˈɛː	ˈeː	0.163
ˈɛː	ˈɒː	0.163
ˈɛː	ˈei̯	0.112
ˈɛːi̯	ˈəi̯	0.576
ˈɛːi̯	ˈeː	0.113
ˈɛːi̯	ˈoː	0.109
ˈɛːi̯	ˈaː	0.078
ˈɛːi̯	ˈʊː	0.078
ˈɪ	ˈi	0.585
ˈɪ	ˈu	0.174
ˈɪ	w	0.12
ˈɪ	ˈiː	0.086
ˈɪː	ˈi	0.594
ˈɪː	ˈe	0.196
ˈɪː	ˈæ	0.083
ˈʏ	ˈe	0.229
ˈʏ	ˈi	0.229
ˈʏ	ˈyː	0.229
ˈʏ	ˈu	0.151
ˈʏ	ˈø	0.1
ˈʏ_t	ˈo	1.0
ˈʏː	ˈiː	0.304
ˈʏː	ˈo	0.304
ˈʏː	ˈæː	0.175
ˈʏː	ˈu	0.109
θ	d̥	1.0
