Icelandic	German	probability
ˈʏː	ˈɔ	1.0
ˈʏ_t	ˈɔ	1.0
ˈʏ_n	ˈʊ_n	1.0
ˈɪː	ˈɪ	1.0
ˈɛːi̯	ˈaɪ̯	1.0
ˈɛi̯_t	ˈaɪ̯_n	1.0
ˈɛ_r	ˈɛ_ɐ	1.0
ˈɔ_r	ˈɔ_ɐ	1.0
ˈɑːu̯	ˈaː	1.0
ˈɑu̯_ŋ	ˈa	1.0
ˈɑu̯	ˈa	1.0
ˈœːy̯_ð	ˈoː_t	1.0
ˈœːy̯	ˈaʊ̯	1.0
ˈœː	-	1.0
ˈuː	ˈaʊ̯	1.0
ˈu	ˈʊ	1.0
ˈiː_t	ˈaɪ̯_s	1.0
ˈi	ˈɪ	1.0
ˈaːu̯	ˈoː	1.0
ˈau̯	ˈɛ	1.0
ʰk	k	1.0
ʏ_#>	#>	1.0
ɪ_r̥_#>	ɐ_#>	1.0
ɣ_ʏ_r̥_#>	ɡ̊_#>	1.0
ɣ_a_#>	ɡ_ə_#>	1.0
ɡ̊_ʏ	ɪ_ç	1.0
ɡ̊_#>	#>	1.0
ɡ̊	ɡ	1.0
ɛ	-	1.0
ŋ_ɡ̊_ʏ_r̥_#>	ŋ_#>	1.0
ŋ_ɡ̊	ŋ	1.0
ð_ʏ_r̥_#>	t_#>	1.0
ð_#>	t_#>	1.0
v_ʏ_r̥_#>	b̥_#>	1.0
v_ʏ	b_ɐ	1.0
t_ʏ_r̥_#>	s_#>	1.0
t_ʏ	t	1.0
t_l̥_#>	l_#>	1.0
t_l̥	l	1.0
t_#>	s_#>	1.0
sː	s	1.0
s_t	s_t	1.0
s_c	ʃ	1.0
s_#>	s_#>	1.0
r̥_t	ɐ_ʦ	1.0
r̥	ɐ	1.0
r_ˈiː	ʁ_ˈaɪ̯	1.0
r_ˈai̯	ʁ	1.0
r_ɪ_r̥_#>	ɐ_#>	1.0
p_ʏ_r̥_#>	f_#>	1.0
p	f	1.0
n_d̥	n_d	1.0
n	n	1.0
m_ʏ_r̥_#>	m_#>	1.0
m	m	1.0
l̥_ʏ_r̥_#>	l_#>	1.0
l̥	l	1.0
l_#>	l_#>	1.0
l	l	1.0
j_ˈɛː	ˈiː	1.0
j_ˈuː	ˈiː	1.0
j_ˈoːu̯_r̥_#>	ˈeː_#>	1.0
j_ˈoːu̯	ˈiː	1.0
d̥_ʏ_r̥_#>	d̥_#>	1.0
