Insular North Frisian	American English	probability
ˈʏ_ç	ˈaɪ̯	1.0
ˈɪ_ɾ	ˈaɪ̯_d	1.0
ˈɛː	-	1.0
ˈɛ_l	ˈɛ	1.0
ˈɔa̯_l	ˈæ	1.0
ˈøː_l	ɫ	1.0
ˈøː	-	1.0
ˈoː_x	ˈaɪ̯	1.0
ˈaː	ˈɔ	1.0
ˈaʊ̯	-	1.0
ˈa_x	ˈʌɪ̯	1.0
ʃ	-	1.0
ə_l	ɫ	1.0
ɐ_x	ˈɝ	1.0
ɐ_n	ɹ_n	1.0
ŋ	ŋ	1.0
ç_ə	oʊ̯	1.0
z	z	1.0
x_t	d	1.0
v_ˈʏ	w	1.0
v_ˈeː	w	1.0
tʲ	θ	1.0
s_ˈɛ	s_ˈɪ	1.0
s_l	s_l	1.0
s_k	ʃ	1.0
pʰ	pʰ	1.0
p	p	1.0
nʲ	n_d	1.0
m	m	1.0
lʲ	ɫ_d	1.0
h	h	1.0
e	-	1.0
b	b	1.0
aɪ̯	t_i	1.0
s	s	0.926
v	w	0.918
n	n	0.916
r	ɹ	0.885
f	f	0.871
ɡ	ɡ	0.794
k	k	0.788
kʰ	kʰ	0.783
ç	-	0.744
j	-	0.742
ˈʏ	ˈaʊ̯	0.697
x	-	0.693
ˈɔa̯	ˈɛ	0.643
ɐ	ɚ	0.631
ɾ	d	0.624
ˈaɪ̯	ˈeɪ̯	0.611
t	ʔ	0.59
ˈoː	-	0.581
ɪ	i	0.577
ə	-	0.573
ˈɔ	-	0.567
d	d	0.557
l	ɫ	0.518
tʰ	tʰ	0.507
tʰ	θ	0.493
l	l	0.482
ˈuː	ˈɔ	0.469
ˈœ	ˈʌ	0.433
ɪ	-	0.423
ˈoː	ˈi	0.419
ˈeː	ˈi	0.408
ˈaɪ̯	-	0.389
ˈyː	ˈaʊ̯	0.386
ˈʊ	ˈʌ	0.385
ˈɪ	ˈɪ	0.385
ɾ	ð	0.376
ˈyː	ˈi	0.369
ˈiː	ˈi	0.331
ˈeː	-	0.315
x	ɹ	0.307
ˈɛ	ˈɪ	0.306
ˈʏ	ˈʌ	0.303
ˈa	-	0.289
ˈa	ˈæ	0.287
ə	ə	0.282
ɐ	ɹ	0.277
ˈeː	ˈɛ	0.276
t	t	0.272
ˈɪ	ˈaɪ̯	0.271
ˈɔː	ˈɑ	0.27
ˈuː	ˈu	0.265
ˈuː	-	0.265
j	j	0.258
ç	ʤ	0.256
d	θ	0.248
ˈyː	-	0.245
ˈʊ	ˈɪ	0.239
ˈœ	-	0.239
ˈiː	ˈoʊ̯	0.233
ˈɔː	ˈeɪ̯	0.231
ˈɔː	ˈi	0.227
ˈa	ˈeɪ̯	0.218
kʰ	-	0.217
ˈɛ	ˈi	0.216
k	ʧ	0.212
ˈa	ˈɑ	0.206
ɡ	-	0.206
ˈiː	ˈaɪ̯	0.202
ˈɛ	ˈɛ	0.2
ˈɔa̯	ˈoʊ̯	0.198
ˈœ	ˈɪ	0.185
ˈɔː	ˈɛ	0.181
ˈɔa̯	ˈi_ɚ	0.159
ˈɔ	ˈʊ	0.144
ˈɔ	ˈɪ	0.144
ˈɔ	ˈɑ	0.144
ˈœ	ˈɛə̯	0.144
ˈʊ	ˈʊ	0.14
ˈʊ	ˈɛə̯	0.132
ˈɪ	ˈʌɪ̯	0.132
f	v	0.129
ˈɛ	-	0.124
ˈɪ	ˈi	0.122
ˈiː	ˈeɪ̯	0.119
ˈiː	ˈɛ	0.115
r	ˈɝ	0.115
d	-	0.11
ˈɛ	ˈɑ	0.109
ˈʊ	ˈoʊ̯	0.105
t	d	0.095
ˈɔː	ˈæ	0.091
ˈɪ	ˈɛ	0.089
d	ɾ	0.085
n	-	0.084
v	-	0.082
ə	ɫ	0.078
ə	ɪ	0.066
ɐ	d_ɚ	0.057
