Standard German	West Frisian	probability
ˈʊ_ɐ	ˈoə̯	1.0
ˈɪ_n	ˈiː	1.0
ˈɪ_l	ˈi_l	1.0
ˈɛː	-	1.0
ˈɔ_ɐ	ˈoə̯	1.0
ˈaː_ɐ	ˈiə̯_r	1.0
ˈaɪ̯_n	ˈiə̯_n	1.0
ˈa_l	ˈɔː	1.0
ʦ_v	t_v	1.0
ʦ	t	1.0
ʃ_l	s_l	1.0
ɪ	ɪ	1.0
ɡ̊	ɣ̥	1.0
ɡ_n	n	1.0
ə_n	ə	1.0
ŋ	ŋ	1.0
t_n	d_ə	1.0
s_t	s_t	1.0
s_n	t_ə	1.0
n_d̥	n	1.0
m	m	1.0
kʰ	ʦ	1.0
k_n	ɣ̥	1.0
j	j	1.0
h	h	1.0
f_ˈɪ	f_ˈɪ	1.0
f_n	p_ə	1.0
eː	j_ɪ	1.0
d_ɐ	r	1.0
d_n	n_ə	1.0
b_n	v_ə	1.0
a	ə	1.0
l	l	0.935
s	t	0.918
f	f	0.896
tʰ	d	0.836
z	s	0.788
d̥	d̥	0.777
b	b	0.768
ʁ	r	0.764
k	k	0.763
v	ʋ	0.732
ˈɔ	ˈɔ	0.688
d	d	0.662
n	n	0.656
ˈɪ	ˈɪ	0.644
ɐ	r	0.591
ʃ	s_k	0.589
x	k	0.587
ˈuː	ˈuə̯	0.573
ˈyː	ˈiə̯	0.565
ˈøː	-	0.562
ə	ə	0.498
ˈʏ	ˈɪ	0.491
t	t	0.467
ɡ	ɡ	0.462
ˈøː	ˈɪə̯	0.438
ˈɛ	ˈɛ	0.426
ˈoː	ˈoə̯	0.423
ç	k	0.417
x	χ	0.413
ʃ	s	0.411
ˈɔʏ̯	j	0.407
ˈa	ˈa	0.398
ə	-	0.387
ˈaː	-	0.349
ˈaɪ̯	ˈi	0.343
d	ʦ	0.338
ˈaʊ̯	ˈuː	0.337
t	d̥	0.328
ˈoː	-	0.319
ˈɔ	-	0.312
ˈɛ	-	0.308
ˈʏ	-	0.298
ˈaː	ˈa	0.298
ˈʊ	ˈu	0.294
ˈyː	-	0.285
ˈuː	ˈoː	0.284
ˈaʊ̯	ˈɪə̯	0.273
v	v	0.268
ˈɛ	ˈɪ	0.266
ˈoː	ˈɪə̯	0.259
ˈʊ	ˈɔ	0.256
ˈaʊ̯	-	0.246
ç	χ	0.245
ˈiː	j_ˈɪ	0.244
n	ə	0.243
k	ɣ	0.237
ʁ	-	0.236
ˈeː	ˈɛi̯	0.234
ˈeː	ˈiə̯	0.234
ˈiː	ˈiə̯	0.232
ˈiː	j	0.232
b	-	0.232
d̥	-	0.223
ˈɔʏ̯	ˈøə̯	0.215
ˈʏ	ˈɛː	0.211
ˈaː	ˈaː	0.203
ɐ	ə_r	0.196
ˈɔʏ̯	ˈuː	0.194
ɡ	z	0.194
ç	ɣ̥	0.192
ˈɔʏ̯	j_ˈuə̯	0.184
ˈiː	-	0.178
ˈeː	ˈɪə̯	0.178
ˈeː	ˈeː	0.178
ˈeː	-	0.178
ɐ	-	0.171
tʰ	-	0.164
ˈɪ	ˈi	0.162
ˈaɪ̯	ˈiː	0.151
ˈaɪ̯	j	0.151
ˈyː	ˈu̯o	0.15
ˈaː	ˈiə̯	0.15
ˈʊ	ˈuː	0.146
ɡ	ɣ_j	0.146
ç	k_ə	0.146
ˈuː	-	0.143
ˈaʊ̯	ˈɔ	0.143
ˈa	ˈɔː	0.14
ˈa	ˈaː	0.125
ɡ	ɣ	0.125
t	-	0.124
ˈa	-	0.12
ˈɪ	ˈɔ	0.119
z	z	0.116
ˈiː	ˈɪ	0.114
ə	ə_n	0.114
ˈʊ	ˈyː	0.112
ˈaɪ̯	ˈɪ	0.112
ˈaɪ̯	-	0.112
f	p	0.104
ˈa	ˈɪə̯	0.102
ˈʊ	ˈoə̯	0.096
ˈʊ	-	0.096
z	ɕ	0.096
t	d_ə	0.082
s	s	0.082
ˈɪ	j_ˈɔ	0.075
ɡ	j	0.073
ˈa	ˈɛː	0.071
n	-	0.069
ˈaɪ̯	ˈɪə̯	0.066
ˈaɪ̯	ˈɛ	0.066
