Occitan	Western Lombard	probability
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_e	<#	1.0
<#_f	<#_f	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_t	<#_t	1.0
<#_v	<#_v	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɥ_ˈɛ	<#_ˈœ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈa_w	<#_ˈoː	1.0
<#_ˈe	<#_l	1.0
a_l	a_l	1.0
a_s	a_s	1.0
a_ð	a_d	1.0
a_ɾ	a_r	1.0
a_β	a_v	1.0
b	-	1.0
d	d	1.0
i	ĩ	1.0
j_ˈɛ	ˈɛ	1.0
k	k	1.0
k_#>	k_#>	1.0
m	m	1.0
m_#>	m_#>	1.0
p	p	1.0
r_#>	r_n	1.0
s_t	s_t	1.0
t_#>	t_#>	1.0
t_ɾ	t_e	1.0
t_ˈa	t_ˈɑː	1.0
u_n	ũ	1.0
v	z_ɡ	1.0
w_#>	f_#>	1.0
ŋ	ˈã	1.0
ɣ	ɡ	1.0
ɥ_ˈɔ	ˈøː	1.0
ɲ	ɲ	1.0
ɲ_#>	ɲ_#>	1.0
ɾ_e	e_r	1.0
ʎ	j	1.0
ʎ_ɔ	j_a	1.0
ʦ_#>	s_#>	1.0
ˈa_n	ˈɑː_n	1.0
ˈa_β	ˈa_v	1.0
ˈe_j	ˈɛ	1.0
ˈi_n	ˈiː_n	1.0
ˈu_n	ˈũ	1.0
ˈy	ˈyː	1.0
ˈy_#>	ˈyː_r	1.0
ˈɔ_s	ˈɔ_s	1.0
ˈɛ_#>	ˈe_#>	1.0
ˈɛ_n	ˈẽ	1.0
ˈɛ_r	ˈɛ_r	1.0
s	z	0.111
s	ʧ	0.111
ð	d	0.571
ˈa	ˈɑː	0.41
ˈa_#>	ˈɑː_r	0.1
ˈi	j_ˈøː	0.111
ˈu	ˈɔ	0.111
ˈu	-	0.111
ˈu_#>	ˈũ_#>	0.571
<#_k	<#_k	0.912
e	i	0.192
j	j	0.222
l_#>	l_#>	0.852
r	r	0.882
t	-	0.182
u	y	0.2
u	-	0.2
ɔ_#>	#>	0.092
ˈe	ˈe	0.182
ˈe	ˈiː	0.182
ˈe	ˈɛ	0.182
#>	n_a	0.143
<#_s	<#_s	0.733
l	ʧ	0.083
n	ˈã	0.133
s	-	0.333
s_#>	p_#>	0.143
z	d	0.333
z	ʒ	0.333
z	-	0.333
ɾ	-	0.143
ˈa_w	ˈɔ	0.333
ˈa_w	ˈɔ_l	0.333
ˈa_w	ˈoː	0.333
ˈi	ˈiː	0.333
ˈi_#>	ˈĩ_#>	0.333
ˈɛ	-	0.083
ˈɛ	ˈɛ_s	0.083
<#_ʤ	<#_ʒ	0.714
a	-	0.444
e_#>	r_#>	0.714
s	s	0.444
ʤ	d	0.4
ʧ_#>	t_#>	0.714
#>	t_#>	0.5
<#_a	<#_u	0.25
<#_a	<#	0.375
<#_a	<#_a	0.375
l	-	0.125
l	l	0.375
w	l	0.5
w	-	0.5
ɥ_ˈɛ	ˈɔ	0.5
ɥ_ˈɛ	ˈøː	0.5
ˈa	-	0.205
ˈa	ˈa	0.385
ˈa_#>	ˈã_#>	0.25
ˈa_#>	ˈa_#>	0.65
ˈa_j	ˈɑː_d	0.5
ˈa_j	ˈa	0.5
ˈe	ˈeː	0.455
ˈe_#>	ˈɛ_#>	0.5
ˈe_#>	ˈẽ_#>	0.5
ˈɔ	ˈøː	0.385
ˈɔ	ˈɔ	0.615
ˈɛ	ˈɛ	0.625
β	v	0.5
β	b	0.5
<#_ʤ	<#_ʤ	0.286
a	a	0.556
e_#>	ʧ_#>	0.286
u	u	0.6
ʤ	-	0.6
ʧ_#>	ʧ_#>	0.286
#>	s_#>	0.357
<#_s	<#_ʧ	0.267
l	j	0.417
n	n	0.867
s_#>	s_#>	0.857
ɾ	r	0.857
ˈi	-	0.167
ˈi_#>	ˈi_#>	0.667
ˈu	ˈu	0.37
<#_k	<#	0.088
e	e	0.538
j	-	0.778
l_#>	ʧ_#>	0.148
r	-	0.118
t	t	0.818
ɔ_#>	a_#>	0.908
ˈu	ˈyː	0.148
ˈɛ	ˈeː	0.208
e	-	0.269
ð	t	0.429
ˈi	ˈi	0.389
ˈu	ˈuː	0.259
ˈu_#>	ˈuː_r	0.429
