West Frisian	Bavarian	probability
b	b̥	0.962
d	d̥	0.855
d	t	0.118
f	f	0.865
f	b̥	0.09
h	h	1.0
j	-	0.723
j	ˈiɐ̯	0.16
j	ˈai̯	0.073
k	x	0.367
k	kʰ	0.23
k	-	0.222
k	k	0.101
k	ç	0.079
l	l	0.604
l	j	0.396
m	m	0.928
m	-	0.072
n	n	0.807
n	-	0.106
n	ŋ	0.058
p	f	0.827
p	p͡f	0.12
p	p	0.053
r	r	0.528
r	ɐ	0.291
r	d̥_a	0.098
r	a	0.083
s	s	0.508
s	ʃ	0.466
t	s	0.308
t	d̥	0.261
t	ʦ	0.224
t	t	0.207
v	ʋ	0.56
v	m	0.16
v	-	0.148
v	f	0.074
v	b̥	0.058
z	s	0.349
z	r	0.292
z	ɡ̊	0.292
z	ŋ	0.068
ŋ	ŋ	0.787
ŋ	-	0.213
ɕ	s	1.0
ə	a	0.408
ə	n	0.342
ə	-	0.174
ɡ	ɡ̊	1.0
ɣ	ɡ̊	0.968
ɪ	eɐ̯	0.646
ɪ	i	0.202
ɪ	-	0.116
ʋ	ʋ	0.947
ʋ	-	0.053
ʦ	kʰ	0.501
ʦ	d̥	0.38
ʦ	ʦ	0.119
ˈa	ˈaː	0.189
ˈa	ˈo	0.175
ˈa	ˈɒː	0.12
ˈa	ˈoː	0.109
ˈa	ˈɒ	0.101
ˈa	ˈɔ	0.095
ˈa	ˈa	0.07
ˈa	ˈi	0.055
ˈaː	ˈeː	0.232
ˈaː	ˈoɐ̯	0.201
ˈaː	ˈe	0.153
ˈaː	ˈɒ	0.129
ˈaː	ˈɔ	0.088
ˈaː	ˈaː	0.07
ˈeː	ˈi	0.416
ˈeː	ˈou̯	0.305
ˈeː	ˈɛː	0.141
ˈeː	ˈeː	0.078
ˈeː	ˈai̯	0.06
ˈi	ˈai̯	0.413
ˈi	ˈi	0.404
ˈi	ˈuɐ̯	0.109
ˈiə̯	ˈoɐ̯	0.428
ˈiə̯	ˈeɐ̯	0.151
ˈiə̯	ˈɛː	0.097
ˈiə̯	ˈiː	0.053
ˈiə̯	ˈe	0.052
ˈiː	ˈi	0.326
ˈiː	ˈai̯	0.243
ˈiː	ˈoɐ̯	0.133
ˈiː	ˈa	0.13
ˈiː	ˈo	0.06
ˈiː	ˈɑː	0.06
ˈoə̯	ˈoɐ̯	0.336
ˈoə̯	ˈi	0.196
ˈoə̯	ˈoː	0.183
ˈoə̯	ˈɔ	0.125
ˈoə̯	r	0.076
ˈoː	ˈeɐ̯	0.416
ˈoː	ˈuɐ̯	0.391
ˈoː	ˈu	0.193
ˈu	ˈu	0.846
ˈu	ˈoː	0.154
ˈuə̯	ˈuɐ̯	0.586
ˈuə̯	a	0.331
ˈuː	ˈau̯	0.536
ˈuː	ˈai̯	0.148
ˈuː	ˈoː	0.136
ˈuː	ˈu	0.104
ˈuː	ˈou̯	0.075
ˈu̯o	ˈiɐ̯	1.0
ˈy	ˈɛ	0.944
ˈy	ˈu	0.056
ˈyː	ˈu	0.556
ˈyː	ˈau̯	0.277
ˈyː	ˈai̯	0.167
ˈø	ˈɛ	1.0
ˈøə̯	ˈai̯	1.0
ˈɔ	ˈo	0.288
ˈɔ	ˈu	0.226
ˈɔ	-	0.185
ˈɔ	ˈaː	0.106
ˈɔ	ˈi	0.077
ˈɔ	ˈɔ	0.075
ˈɔu̯	ˈo	0.728
ˈɔu̯	ˈi	0.272
ˈɔː	ˈo	0.635
ˈɔː	ˈɔ	0.131
ˈɔː	ˈiː	0.121
ˈɔː	ˈa	0.114
ˈɛ	ˈai̯	0.262
ˈɛ	ˈe	0.212
ˈɛ	ˈɛ	0.175
ˈɛ	ˈa	0.171
ˈɛ	ˈeɐ̯	0.063
ˈɛ	ˈi	0.061
ˈɛi̯	ˈeː	0.298
ˈɛi̯	ˈa	0.214
ˈɛi̯	ˈoɐ̯	0.167
ˈɛi̯	ˈoː	0.152
ˈɛi̯	ˈɛ	0.102
ˈɛi̯	ˈe	0.066
ˈɛː	ˈu	0.32
ˈɛː	ˈa	0.31
ˈɛː	ˈai̯	0.123
ˈɛː	ˈe	0.123
ˈɛː	ˈoː	0.123
ˈɪ	ˈi	0.352
ˈɪ	ˈeː	0.213
ˈɪ	ˈʏ	0.095
ˈɪ	-	0.077
ˈɪ	ˈɛ	0.061
ˈɪ	ˈu	0.052
ˈɪ	ˈe	0.05
ˈɪə̯	ˈaː	0.218
ˈɪə̯	ˈe	0.204
ˈɪə̯	ˈoɐ̯	0.173
ˈɪə̯	ˈeː	0.107
ˈɪə̯	ˈou̯	0.106
ˈɪə̯	ˈa	0.056
ˈɪə̯	ˈɛ	0.051
χ	x	0.554
χ	ɡ̊	0.375
χ	k	0.071
