Scots	Scots	probability
θ_r	d	1.0
ˈɛː	ˈɪɛ̯_ŋ	1.0
ˈøː	-	1.0
ˈoː	-	1.0
ˈiː_r	ɐ	1.0
ˈi_f	ˈaɪ̯_v	1.0
ˈaːɪ̯	ˈiː	1.0
ˈaː	ˈɪ_k	1.0
ʧ	-	1.0
ʤ	-	1.0
ʍ	v	1.0
ʃ	ʃ	1.0
ə_r	ɐ	1.0
ə_n	n	1.0
ŋ	ŋ	1.0
z	z	1.0
x	x	1.0
w_ˈɪ	v	1.0
v	-	1.0
p	p	1.0
n_d	n_n	1.0
m	m	1.0
kʰ	k	1.0
h	h	1.0
f_#>	l_ʋ_#>	1.0
e	ɪ_ç	1.0
d_r	d_r	1.0
b	b	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#	<#_v	1.0
f	f	0.958
l	l	0.944
n	n	0.892
ɡ	x	0.846
t	t	0.8
w	v	0.737
k	k	0.706
θ	d	0.692
ˈʌu̯	-	0.667
ˈʌ	ˈʊ	0.667
ˈuː	ˈuː	0.667
ð	d	0.667
i	ɪ_ç	0.667
d	d̥	0.647
ˈəi̯	ˈiː	0.615
ˈo	-	0.6
ç	x	0.6
j	-	0.6
s	s	0.585
ˈe	ˈeː	0.571
ˈø	-	0.556
ˈɑː	ˈa	0.538
ˈu	ˈʊ	0.5
ˈa	ˈa	0.5
#>	ˈiː_#>	0.5
#>	d̥_#>	0.5
ˈɪ	ˈɪ	0.474
ˈiː	ˈaɪ̯	0.467
ˈø	ˈoː	0.444
ˈa	-	0.417
ˈɛ	-	0.4
ˈo	ˈɔ	0.4
ç	-	0.4
j	j	0.4
ˈəi̯	-	0.385
r	r	0.375
ˈʌu̯	ˈyːœ̯	0.333
ˈʌ	-	0.333
ˈuː	ˈʊ_l	0.333
ˈi	ˈøː	0.333
ð	-	0.333
i	aɪ̯	0.333
θ	d̥	0.308
ˈu	ˈuː	0.3
ˈi	-	0.286
r	ɐ	0.281
s	ʃ	0.268
ˈiː	ˈiː	0.267
d	d	0.265
w	ʋ	0.263
ˈeː	ˈa	0.25
r	-	0.25
ˈɑː	ˈɔ	0.231
ˈɑː	-	0.231
ˈɛ	ˈɪɛ̯	0.2
ˈɛ	ˈɛ	0.2
ˈɛ	ˈa	0.2
ˈu	-	0.2
ˈi	ˈɔː	0.19
ˈi	ˈaʊ̯	0.19
k	k_n	0.176
ˈeː	ˈɔː_n	0.167
ˈeː	ˈaː	0.167
ˈeː	n	0.167
ˈeː	-	0.167
ˈɪ	-	0.158
ɡ	-	0.154
ˈe	ˈaː	0.143
ˈe	ˈaʊ̯	0.143
ˈe	ˈa	0.143
ˈiː	ˈɔː	0.133
ˈiː	ˈaɪ̯_ɡ	0.133
t	t_n	0.125
k	-	0.118
ˈɪ	ˈʏ	0.105
s	z̥	0.098
r	ˈuːə̯	0.094
d	d_n	0.088
ˈeː	ˈɒː	0.083
ˈa	ˈyə̯	0.083
ˈɪ	ˈoː	0.079
ˈɪ	ˈa	0.079
t	-	0.075
l	ɡ_l	0.056
n	n_ˈɪə̯	0.054
n	n_n	0.054
ˈɪ	ˈɪɛ̯	0.053
ˈɪ	ˈuːə̯	0.053
