Westphalian	Westphalian	probability
ˈɪə̯	-	1.0
ˈɛː	-	1.0
ˈɒː	ˈuə̯	1.0
ˈø	-	1.0
ˈyːœ̯	ˈi	1.0
ˈyə̯	ˈə	1.0
ˈeː	ˈeː	1.0
ˈaː	ˈaː	1.0
ˈaɪ̯_#>	#>	1.0
ˈa_ɐ	ˈaː	1.0
ʃ_k_#>	ʃ_#>	1.0
ʃ	ʃ	1.0
ɪ	ə	1.0
ə	-	1.0
ɐ	ɐ	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
s_t	ʃ_t	1.0
r	ʀ	1.0
m	m	1.0
l	l	1.0
k_ə	χ	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d̥_#>	#>	1.0
d	d	1.0
aɪ̯	e	1.0
<#_ˈuː	<#_ˈɑɪ̯	1.0
<#_t	<#_ʦ	1.0
<#_n	<#_n	1.0
b	b	0.909
s	z	0.875
ˈaɪ̯	ˈɜɪ̯	0.846
d̥	d̥	0.846
v	v	0.821
ˈɛ	-	0.8
ç	ɕ	0.778
ʋ	w	0.75
n	n	0.676
ˈuː	ˈɑʊ̯	0.667
ˈiː	ˈæːɪ̯	0.643
ˈɪɛ̯	-	0.636
x	ɡ	0.632
#>	n_#>	0.625
ˈʏ	ˈe	0.6
ˈoː	ˈu	0.6
ˈiɛ̯	-	0.6
z	z	0.6
ˈɔː	ˈoː	0.571
ɡ	-	0.571
ˈɔ	ˈɑ	0.5
ˈɔ	ˈaː	0.5
ˈyː	ˈɑɪ̯	0.5
ˈyː	-	0.5
ˈuːə̯	ˈuː_ɐ	0.5
ˈuːə̯	ˈo	0.5
ˈuə̯	ˈo	0.5
ˈuə̯	-	0.5
ˈa	ˈaː	0.5
k	kʰ	0.444
ˈʊ	ˈo	0.438
ˈɪ	ˈɑ	0.435
ˈaʊ̯	ˈəʊ̯	0.429
ˈaʊ̯	ˈaː	0.429
ɡ	ə	0.429
ˈa	ˈɑ	0.417
ˈʏ	ˈə	0.4
ˈoː	ˈʊ	0.4
ˈiɛ̯	ˈiː	0.4
z	z̥	0.4
p	p	0.4
p	f	0.4
ˈøː	ˈɜɪ̯	0.375
ˈøː	-	0.375
#>	d̥_#>	0.375
ˈɪɛ̯	ˈiə̯	0.364
ˈuː	-	0.333
t	t	0.324
t	s	0.324
ˈɪ	ˈə	0.304
ˈʊ	-	0.25
ˈøː	ˈi	0.25
ʋ	ə_v̥	0.25
ç	-	0.222
k	ɕ	0.222
ˈɔː	ˈəʊ̯	0.214
ˈɔː	-	0.214
ˈiː	ˈɑɪ̯	0.214
x	ɕ	0.211
t	ʦ	0.206
n	ə_n	0.203
ˈɛ	ˈiː	0.2
p	f_ə	0.2
ˈʊ	ˈɔ	0.188
x	χ	0.158
ˈaɪ̯	ˈi	0.154
d̥	t	0.154
ˈiː	ˈiː_ɐ	0.143
ˈaʊ̯	-	0.143
ˈɪ	ˈe	0.13
ˈɪ	-	0.13
ˈʊ	ˈæːʊ̯	0.125
s	z̥	0.125
t	s_ə	0.118
k	k_ə	0.111
v	v̥	0.107
b	-	0.091
ˈa	ˈuə̯	0.083
k	χ	0.074
k	ɕ_ə	0.074
k	k	0.074
v	-	0.071
