Gallurese	Gallurese	probability
ˈɛ_#>	ˈɛ_#>	1.0
ˈɔ_r	ˈɔ_r	1.0
ˈu_t	ˈu_dː	1.0
ˈe_#>	ˈe_#>	1.0
ˈa_#>	ˈa_#>	1.0
ʧː	ʦː_j	1.0
ʦː	ʦː	1.0
ʦ	ʦ	1.0
ʣ	ʣ	1.0
ʒ	ʒ	1.0
ʃː	ʃː	1.0
ɲː	ɲː	1.0
ɟː	ʤː	1.0
ɟ	ʤ	1.0
ɔ	ɔ	1.0
ŋ	ŋ	1.0
z	z	1.0
w	w	1.0
u_r	u_r	1.0
u_l	u_r	1.0
u	u	1.0
t_ˈa	d_ˈa	1.0
sː	sː	1.0
s_k	x	1.0
rː	rː	1.0
r	r	1.0
p_u	p_u	1.0
nː	nː	1.0
n_u	n_u	1.0
n	n	1.0
mː	mː	1.0
l_ʦ	ʦː	1.0
l_u	r_u	1.0
kː	kː	1.0
j	j	1.0
i_k	i_ɡː	1.0
fː	fː	1.0
f	f	1.0
d_u	d_u	1.0
d_a	d_a	1.0
d	d	1.0
cː	ʧː	1.0
c	ʧ	1.0
bː	-	1.0
a_n	a_n	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_a	<#_a	1.0
<#	<#_i	1.0
#>	i_#>	1.0
a	a	0.967
ˈa	ˈa	0.962
ˈi	ˈi	0.923
b	b	0.9
v	v	0.889
i	i	0.886
ˈe	ˈe	0.88
tː	tː	0.875
ˈɛ	ˈɛ	0.871
ʧ	ʦ	0.85
ɡ	ɡ	0.846
ˈo	ˈo	0.818
ˈɔ	ˈɔ	0.8
m	m	0.8
p	p	0.778
k	k	0.766
t	t	0.684
ɖː	dː	0.647
ˈu	ˈu	0.645
s	s	0.6
o	u	0.5
o	o	0.5
l	l	0.442
t	dː	0.316
ˈu	ˈo	0.29
ɖː	ʎː	0.235
s	ɬ	0.2
m	mː	0.2
l	r	0.186
ˈo	ˈɔ	0.182
l	ɬ	0.163
ɡ	ɡː	0.154
ʧ	-	0.15
p	bː	0.139
ˈɛ	ˈe	0.129
ˈɔ	ˈo	0.125
tː	-	0.125
ˈe	ˈi	0.12
ɖː	lː	0.118
l	j	0.116
v	b	0.111
k	ɡː	0.106
s	i	0.1
s	-	0.1
b	β	0.1
p	pː	0.083
ˈi	ˈe	0.077
ˈɔ	ˈɔ_β	0.075
ˈu	ˈɔ	0.065
k	ɡ	0.064
k	-	0.064
i	β_i	0.063
